('192.168.70.129', 58360, '12.1.1.154', 10001);('192.168.70.129', 58360, '12.1.1.154', 10001);('192.168.70.129', 58360, '12.1.1.154', 10001);('192.168.70.129', 54770, '12.1.1.154', 10000);('192.168.70.129', 54770, '12.1.1.154', 10000);('192.168.70.129', 54770, '12.1.1.154', 10000);total;total;total;
1685944048.282629;1;25;1685944048.282629;1;13;1685944048.282629;6;52;
1685944048.482629;0;46;1685944048.482629;0;41;1685944048.482629;2;89;
1685944048.682629;0;77;1685944048.682629;0;36;1685944048.682629;0;113;
1685944048.8826292;0;133;1685944048.8826292;0;5;1685944048.8826292;0;138;
1685944049.0826292;0;105;1685944049.0826292;0;31;1685944049.0826292;0;136;
1685944049.2826293;0;148;1685944049.2826293;0;0;1685944049.2826293;0;148;
1685944049.4826293;0;138;1685944049.4826293;0;35;1685944049.4826293;0;173;
1685944049.6826293;0;151;1685944049.6826293;0;0;1685944049.6826293;0;151;
1685944049.8826294;0;161;1685944049.8826294;0;0;1685944049.8826294;0;161;
1685944050.0826294;0;169;1685944050.0826294;0;1;1685944050.0826294;0;170;
1685944050.2826295;0;135;1685944050.2826295;0;35;1685944050.2826295;0;170;
1685944050.4826295;0;147;1685944050.4826295;0;0;1685944050.4826295;0;147;
1685944050.6826296;0;132;1685944050.6826296;0;0;1685944050.6826296;0;132;
1685944050.8826296;0;126;1685944050.8826296;0;0;1685944050.8826296;0;126;
1685944051.0826297;0;129;1685944051.0826297;0;0;1685944051.0826297;0;129;
1685944051.2826297;0;130;1685944051.2826297;0;0;1685944051.2826297;0;130;
1685944051.4826298;0;130;1685944051.4826298;0;0;1685944051.4826298;0;130;
1685944051.6826298;0;126;1685944051.6826298;0;1;1685944051.6826298;0;127;
1685944051.8826299;0;127;1685944051.8826299;0;2;1685944051.8826299;0;129;
1685944052.08263;0;95;1685944052.08263;0;32;1685944052.08263;0;127;
1685944052.28263;0;129;1685944052.28263;0;1;1685944052.28263;0;130;
1685944052.48263;0;121;1685944052.48263;0;2;1685944052.48263;0;123;
1685944052.68263;0;125;1685944052.68263;0;0;1685944052.68263;0;125;
1685944052.88263;0;132;1685944052.88263;0;0;1685944052.88263;0;132;
1685944053.0826302;0;132;1685944053.0826302;0;0;1685944053.0826302;0;132;
1685944053.2826302;0;129;1685944053.2826302;0;0;1685944053.2826302;0;129;
1685944053.4826303;0;123;1685944053.4826303;0;0;1685944053.4826303;0;123;
1685944053.6826303;0;133;1685944053.6826303;0;0;1685944053.6826303;0;133;
1685944053.8826303;0;126;1685944053.8826303;0;0;1685944053.8826303;0;126;
1685944054.0826304;0;124;1685944054.0826304;0;0;1685944054.0826304;0;124;
1685944054.2826304;0;130;1685944054.2826304;0;0;1685944054.2826304;0;130;
1685944054.4826305;0;128;1685944054.4826305;0;0;1685944054.4826305;0;128;
1685944054.6826305;0;87;1685944054.6826305;0;19;1685944054.6826305;0;106;
1685944054.8826306;0;95;1685944054.8826306;0;26;1685944054.8826306;0;121;
1685944055.0826306;0;112;1685944055.0826306;0;0;1685944055.0826306;0;112;
1685944055.2826307;0;106;1685944055.2826307;0;0;1685944055.2826307;0;106;
1685944055.4826307;0;101;1685944055.4826307;0;0;1685944055.4826307;0;101;
1685944055.6826308;0;104;1685944055.6826308;0;0;1685944055.6826308;0;104;
1685944055.8826308;0;105;1685944055.8826308;0;0;1685944055.8826308;0;105;
1685944056.0826309;0;105;1685944056.0826309;0;0;1685944056.0826309;0;105;
1685944056.282631;0;103;1685944056.282631;0;0;1685944056.282631;0;103;
1685944056.482631;0;100;1685944056.482631;0;0;1685944056.482631;0;100;
1685944056.682631;0;102;1685944056.682631;0;0;1685944056.682631;0;102;
1685944056.882631;0;103;1685944056.882631;0;0;1685944056.882631;0;103;
1685944057.082631;0;102;1685944057.082631;0;0;1685944057.082631;0;102;
1685944057.2826312;0;44;1685944057.2826312;0;68;1685944057.2826312;0;112;
1685944057.4826312;0;116;1685944057.4826312;0;0;1685944057.4826312;0;116;
1685944057.6826313;0;118;1685944057.6826313;0;0;1685944057.6826313;0;118;
1685944057.8826313;0;114;1685944057.8826313;0;0;1685944057.8826313;0;114;
1685944058.0826313;0;117;1685944058.0826313;0;0;1685944058.0826313;0;117;
1685944058.2826314;0;114;1685944058.2826314;0;6;1685944058.2826314;0;120;
1685944058.4826314;0;112;1685944058.4826314;0;18;1685944058.4826314;0;130;
1685944058.6826315;0;131;1685944058.6826315;0;0;1685944058.6826315;0;131;
1685944058.8826315;0;75;1685944058.8826315;0;57;1685944058.8826315;0;132;
1685944059.0826316;0;111;1685944059.0826316;0;21;1685944059.0826316;0;132;
1685944059.2826316;0;142;1685944059.2826316;0;0;1685944059.2826316;0;142;
1685944059.4826317;0;161;1685944059.4826317;0;0;1685944059.4826317;0;161;
1685944059.6826317;0;188;1685944059.6826317;0;0;1685944059.6826317;0;188;
1685944059.8826318;0;180;1685944059.8826318;0;0;1685944059.8826318;0;180;
1685944060.0826318;0;198;1685944060.0826318;0;0;1685944060.0826318;0;198;
1685944060.2826319;0;198;1685944060.2826319;0;0;1685944060.2826319;0;198;
1685944060.482632;0;200;1685944060.482632;0;0;1685944060.482632;0;200;
1685944060.682632;0;85;1685944060.682632;0;100;1685944060.682632;0;185;
1685944060.882632;0;136;1685944060.882632;0;53;1685944060.882632;0;189;
1685944061.082632;0;195;1685944061.082632;0;0;1685944061.082632;0;195;
1685944061.282632;0;194;1685944061.282632;0;0;1685944061.282632;0;194;
1685944061.4826322;0;146;1685944061.4826322;0;0;1685944061.4826322;0;146;
1685944061.6826322;0;142;1685944061.6826322;0;0;1685944061.6826322;0;142;
1685944061.8826323;0;135;1685944061.8826323;0;0;1685944061.8826323;0;135;
1685944062.0826323;0;123;1685944062.0826323;0;0;1685944062.0826323;0;123;
1685944062.2826324;0;88;1685944062.2826324;0;39;1685944062.2826324;0;127;
1685944062.4826324;0;0;1685944062.4826324;0;105;1685944062.4826324;0;105;
1685944062.6826324;0;20;1685944062.6826324;0;86;1685944062.6826324;0;106;
1685944062.8826325;0;106;1685944062.8826325;0;0;1685944062.8826325;0;106;
1685944063.0826325;0;106;1685944063.0826325;0;0;1685944063.0826325;0;106;
1685944063.2826326;0;106;1685944063.2826326;0;0;1685944063.2826326;0;106;
