('192.168.70.129', 53130, '12.1.1.160', 10001);('192.168.70.129', 32792, '12.1.1.160', 10000);
1685951247.96177;1685951247.966306;
1685951253.326769;1685951272.671775;
1685951253.335731;1685951272.676298;
1685951253.336963;1685951272.680838;
1685951253.351091;1685951272.695998;
1685951253.351116;1685951272.696037;
1685951253.351137;1685951272.696074;
1685951253.35116;1685951272.725832;
1685951253.351181;1685951272.74183;
1685951253.351192;1685951272.741858;
1685951253.356276;1685951272.746201;
1685951253.36078;1685951272.746849;
1685951253.360844;1685951272.761803;
1685951253.360866;1685951272.776031;
1685951253.406726;1685951272.776231;
1685951253.411762;1685951272.776264;
1685951253.426167;1685951272.776288;
1685951253.42626;1685951272.776321;
1685951253.426283;1685951272.776351;
1685951253.426305;1685951272.776429;
1685951253.426338;1685951272.776464;
1685951253.426374;1685951273.291734;
1685951253.426415;1685951273.301769;
1685951253.426437;1685951273.306863;
1685951253.426497;1685951273.306942;
1685951253.426519;1685951273.310832;
1685951253.426541;1685951273.315824;
1685951253.426563;1685951273.315897;
1685951253.426584;1685951273.316404;
1685951253.426616;1685951273.31645;
1685951253.426638;1685951273.326289;
1685951253.426703;1685951273.331783;
1685951253.426727;1685951273.336296;
1685951253.426749;1685951273.350871;
1685951254.355865;1685951273.350938;
1685951254.356455;1685951273.356032;
1685951254.356612;1685951273.356057;
1685951254.356658;1685951273.37209;
1685951254.356695;1685951273.372127;
1685951254.356731;1685951273.372159;
1685951254.356767;1685951273.372192;
1685951254.356823;1685951273.372222;
1685951254.356859;1685951273.372282;
1685951254.385972;1685951273.391976;
1685951254.386013;1685951273.392077;
1685951254.386048;1685951273.39211;
1685951254.386084;1685951273.392136;
1685951254.386119;1685951273.392166;
1685951254.386209;1685951273.432074;
1685951254.386244;1685951273.432115;
1685951254.386278;1685951273.43214;
1685951254.386314;1685951273.450988;
1685951254.421753;1685951273.451048;
1685951254.425914;1685951273.471133;
1685951254.425953;1685951273.471162;
1685951254.42599;1685951273.471187;
1685951254.43698;1685951273.471213;
1685951254.445905;1685951273.471238;
