('192.168.70.129', 38076, '12.1.1.156', 10000);('192.168.70.129', 38076, '12.1.1.156', 10000);('192.168.70.129', 52730, '12.1.1.156', 10001);('192.168.70.129', 52730, '12.1.1.156', 10001);total;total;
1685947048.369596;2900200.0;1685947048.369596;1721000.0;1685947048.369596;4670680.0;
1685947048.569596;2308800.0;1685947048.569596;5248480.0;1685947048.569596;7557280.0;
1685947048.769596;1888800.0;1685947048.769596;9084000.0;1685947048.769596;10972800.0;
1685947048.9695961;2006720.0;1685947048.9695961;11324480.0;1685947048.9695961;13331200.0;
1685947049.1695962;2064640.0;1685947049.1695962;11088640.0;1685947049.1695962;13153280.0;
1685947049.3695962;0.0;1685947049.3695962;20880160.0;1685947049.3695962;20880160.0;
1685947049.5695963;1421280.0;1685947049.5695963;12681600.0;1685947049.5695963;14102880.0;
1685947049.7695963;767520.0;1685947049.7695963;19731840.0;1685947049.7695963;20499360.0;
1685947049.9695964;0.0;1685947049.9695964;12383680.0;1685947049.9695964;12383680.0;
1685947050.1695964;0.0;1685947050.1695964;19994720.0;1685947050.1695964;19994720.0;
1685947050.3695965;1419200.0;1685947050.3695965;17282560.0;1685947050.3695965;18701760.0;
1685947050.5695965;825440.0;1685947050.5695965;15335840.0;1685947050.5695965;16161280.0;
1685947050.7695966;60000.0;1685947050.7695966;15040000.0;1685947050.7695966;15100000.0;
1685947050.9695966;0.0;1685947050.9695966;14156640.0;1685947050.9695966;14156640.0;
1685947051.1695967;0.0;1685947051.1695967;13742880.0;1685947051.1695967;13742880.0;
1685947051.3695967;0.0;1685947051.3695967;2253760.0;1685947051.3695967;2253760.0;
1685947051.5695968;0.0;1685947051.5695968;0.0;1685947051.5695968;0.0;
1685947051.7695968;0.0;1685947051.7695968;47763840.0;1685947051.7695968;47763840.0;
1685947051.9695969;0.0;1685947051.9695969;0.0;1685947051.9695969;0.0;
1685947052.169597;1655040.0;1685947052.169597;0.0;1685947052.169597;1655040.0;
1685947052.369597;1061280.0;1685947052.369597;0.0;1685947052.369597;1061280.0;
1685947052.569597;117920.0;1685947052.569597;0.0;1685947052.569597;117920.0;
1685947052.769597;0.0;1685947052.769597;52140480.0;1685947052.769597;52140480.0;
1685947052.969597;0.0;1685947052.969597;0.0;1685947052.969597;0.0;
1685947053.1695971;0.0;1685947053.1695971;0.0;1685947053.1695971;0.0;
1685947053.3695972;0.0;1685947053.3695972;0.0;1685947053.3695972;0.0;
1685947053.5695972;0.0;1685947053.5695972;0.0;1685947053.5695972;0.0;
1685947053.7695973;0.0;1685947053.7695973;52366080.0;1685947053.7695973;52366080.0;
1685947053.9695973;4129280.0;1685947053.9695973;3960000.0;1685947053.9695973;8089280.0;
1685947054.1695974;117920.0;1685947054.1695974;9600000.0;1685947054.1695974;9717920.0;
1685947054.3695974;0.0;1685947054.3695974;0.0;1685947054.3695974;0.0;
1685947054.5695975;0.0;1685947054.5695975;0.0;1685947054.5695975;0.0;
1685947054.7695975;0.0;1685947054.7695975;3960000.0;1685947054.7695975;3960000.0;
1685947054.9695976;0.0;1685947054.9695976;6900000.0;1685947054.9695976;6900000.0;
1685947055.1695976;0.0;1685947055.1695976;5700000.0;1685947055.1695976;5700000.0;
1685947055.3695977;0.0;1685947055.3695977;1397760.0;1685947055.3695977;1397760.0;
1685947055.5695977;0.0;1685947055.5695977;0.0;1685947055.5695977;0.0;
1685947055.7695978;0.0;1685947055.7695978;0.0;1685947055.7695978;0.0;
1685947055.9695978;0.0;1685947055.9695978;1440000.0;1685947055.9695978;1440000.0;
1685947056.1695979;1063360.0;1685947056.1695979;17653280.0;1685947056.1695979;18716640.0;
1685947056.369598;4075520.0;1685947056.369598;0.0;1685947056.369598;4075520.0;
1685947056.569598;0.0;1685947056.569598;0.0;1685947056.569598;0.0;
1685947056.769598;0.0;1685947056.769598;28234880.0;1685947056.769598;28234880.0;
1685947056.969598;0.0;1685947056.969598;10119200.0;1685947056.969598;10119200.0;
1685947057.169598;0.0;1685947057.169598;15301120.0;1685947057.169598;15301120.0;
1685947057.3695982;0.0;1685947057.3695982;12679520.0;1685947057.3695982;12679520.0;
1685947057.5695982;0.0;1685947057.5695982;11562400.0;1685947057.5695982;11562400.0;
1685947057.7695982;5025120.0;1685947057.7695982;29161120.0;1685947057.7695982;34186240.0;
1685947057.9695983;0.0;1685947057.9695983;0.0;1685947057.9695983;0.0;
1685947058.1695983;0.0;1685947058.1695983;0.0;1685947058.1695983;0.0;
1685947058.3695984;0.0;1685947058.3695984;0.0;1685947058.3695984;0.0;
1685947058.5695984;0.0;1685947058.5695984;43988320.0;1685947058.5695984;43988320.0;
1685947058.7695985;0.0;1685947058.7695985;0.0;1685947058.7695985;0.0;
1685947058.9695985;0.0;1685947058.9695985;0.0;1685947058.9695985;0.0;
1685947059.1695986;0.0;1685947059.1695986;0.0;1685947059.1695986;0.0;
1685947059.3695986;0.0;1685947059.3695986;40568640.0;1685947059.3695986;40568640.0;
1685947059.5695987;0.0;1685947059.5695987;0.0;1685947059.5695987;0.0;
1685947059.7695987;0.0;1685947059.7695987;0.0;1685947059.7695987;0.0;
