Throughput;Throughput;Sending Rate;Sending Rate;
1685949448.376794;0.4723673972656522;1685949448.376794;0.4775548016269934;
1685949448.5767941;0.4655432659850799;1685949448.5767941;0.4987510405732229;
1685949448.7767942;0.38467423127181305;1685949448.7767942;0.4467809657102869;
1685949448.9767942;0.2575002680046281;1685949448.9767942;0.26144437973209084;
1685949449.1767943;0.30512579524020644;1685949449.1767943;0.37209177874857285;
1685949449.3767943;0.2528275862662642;1685949449.3767943;0.25871827797114183;
1685949449.5767944;0.3415461359472286;1685949449.5767944;0.3628156318235261;
1685949449.7767944;0.25;1685949449.7767944;0.25340120314669135;
1685949449.9767945;0.2537635879054586;1685949449.9767945;0.257040856802856;
1685949450.1767945;0.2724536409572711;1685949450.1767945;0.3010687368724517;
1685949450.3767946;0.3075347006840539;1685949450.3767946;0.3157510049945182;
1685949450.5767946;0.25298046577586203;1685949450.5767946;0.25;
1685949450.7767947;0.25;1685949450.7767947;0.25;
1685949450.9767947;0.25251516185107964;1685949450.9767947;0.253184584178499;
1685949451.1767948;0.25;1685949451.1767948;0.25;
1685949451.3767948;0.2525772871588856;1685949451.3767948;0.2562102217936355;
1685949451.5767949;1;1685949451.5767949;0.25;
1685949451.776795;0.25;1685949451.776795;0.3629610115911486;
1685949451.976795;0.25;1685949451.976795;0.2530119388903001;
1685949452.176795;0.25126784849927913;1685949452.176795;0.2564924114671164;
1685949452.376795;0.25;1685949452.376795;0.25;
1685949452.576795;1;1685949452.576795;0.25;
1685949452.7767951;1;1685949452.7767951;0.25;
1685949452.9767952;0.25;1685949452.9767952;0.25271404651362644;
1685949453.1767952;0.25;1685949453.1767952;0.25;
1685949453.3767953;1;1685949453.3767953;0.25;
1685949453.5767953;0.29241494164835696;1685949453.5767953;0.25628831322918727;
1685949453.7767954;0.25;1685949453.7767954;0.3816658452439625;
1685949453.9767954;0.25;1685949453.9767954;0.25;
1685949454.1767955;1;1685949454.1767955;0.25;
1685949454.3767955;1;1685949454.3767955;0.25;
1685949454.5767956;0.25;1685949454.5767956;0.2589257252151737;
1685949454.7767956;0.2636379866507941;1685949454.7767956;0.25;
1685949454.9767957;0.25;1685949454.9767957;0.25;
1685949455.1767957;1;1685949455.1767957;0.25;
1685949455.3767958;1;1685949455.3767958;0.25;
1685949455.5767958;1;1685949455.5767958;0.25;
1685949455.7767959;0.25;1685949455.7767959;0.25;
1685949455.976796;0.2687188236097765;1685949455.976796;0.33440366972477065;
1685949456.176796;0.3713944987883983;1685949456.176796;0.4789051094890511;
1685949456.376796;0.2830426512956358;1685949456.376796;0.2737556561085973;
1685949456.576796;0.25;1685949456.576796;0.25;
1685949456.776796;0.25;1685949456.776796;0.25;
1685949456.9767962;0.2531235006502979;1685949456.9767962;0.2536974391840904;
1685949457.1767962;0.25;1685949457.1767962;0.25657780855115114;
1685949457.3767962;0.25;1685949457.3767962;0.49944506104328523;
1685949457.5767963;0.25;1685949457.5767963;0.25;
1685949457.7767963;0.2578494831516369;1685949457.7767963;0.27019814530655817;
1685949457.9767964;1;1685949457.9767964;0.25;
1685949458.1767964;1;1685949458.1767964;0.25;
1685949458.3767965;0.25;1685949458.3767965;0.25;
1685949458.5767965;0.25;1685949458.5767965;0.25;
1685949458.7767966;1;1685949458.7767966;0.25;
1685949458.9767966;0.25;1685949458.9767966;0.28632310928327004;
1685949459.1767967;0.25;1685949459.1767967;0.45;
1685949459.3767967;0.25;1685949459.3767967;0.25;
1685949459.5767968;0.25;1685949459.5767968;0.25;
1685949459.7767968;0.25;1685949459.7767968;0.2809538950715421;
1685949459.9767969;0.2792484307741204;1685949459.9767969;0.25;
1685949460.176797;0.25;1685949460.176797;0.25;
1685949460.376797;1;1685949460.376797;0.25;
1685949460.576797;0.25;1685949460.576797;0.25;
1685949460.776797;0.25;1685949460.776797;0.2747835289590148;
1685949460.976797;0.25;1685949460.976797;0.39116576411179055;
1685949461.1767972;1;1685949461.1767972;0.25;
1685949461.3767972;1;1685949461.3767972;0.25;
1685949461.5767972;0.25;1685949461.5767972;0.25;
1685949461.7767973;0.2768647813729166;1685949461.7767973;0.30037617999858046;
1685949461.9767973;0.45869370613894944;1685949461.9767973;0.40354722997210046;
1685949462.1767974;0.25252893449211;1685949462.1767974;0.2677291324264783;
1685949462.3767974;0.25545384259000686;1685949462.3767974;0.25;
1685949462.5767975;0.3165528430630266;1685949462.5767975;0.3169371196754564;
1685949462.7767975;0.25549171359740147;1685949462.7767975;0.25823951951226876;
1685949462.9767976;0.2557754803386069;1685949462.9767976;0.2527623466210854;
1685949463.1767976;0.25;1685949463.1767976;0.25;
1685949463.3767977;0.4671819128081191;1685949463.3767977;0.498557822187647;
1685949463.5767977;0.25;1685949463.5767977;0.25;
1685949463.7767978;0.43658286691320203;1685949463.7767978;0.44398631807816724;
1685949463.9767978;0.30368605585004166;1685949463.9767978;0.30981231478432664;
1685949464.1767979;0.2553444619089096;1685949464.1767979;0.25;
1685949464.376798;0.25837669389831786;1685949464.376798;0.2611056268509378;
1685949464.576798;0.25;1685949464.576798;0.25;
1685949464.776798;0.34534167759974277;1685949464.776798;0.36696777049048407;
1685949464.976798;0.253480691218043;1685949464.976798;0.25;
1685949465.176798;0.25;1685949465.176798;0.25;
1685949465.3767982;0.404385608047026;1685949465.3767982;0.3255709342560554;
1685949465.5767982;0.3170494006317;1685949465.5767982;0.31374367622259697;
1685949465.7767982;0.25523261243347634;1685949465.7767982;0.2553185470182189;
1685949465.9767983;0.25276417911411203;1685949465.9767983;0.2526454285874251;
1685949466.1767983;0.25;1685949466.1767983;0.25;
1685949466.3767984;0.398314687722764;1685949466.3767984;0.4043588505191983;
1685949466.5767984;0.25;1685949466.5767984;0.25;
1685949466.7767985;0.4955556550961703;1685949466.7767985;0.48800832715450865;
1685949466.9767985;0.31586017620238216;1685949466.9767985;0.3151212553495007;
1685949467.1767986;0.25;1685949467.1767986;0.25;
