('192.168.70.129', 57144, '12.1.1.159', 10000);('192.168.70.129', 57144, '12.1.1.159', 10000);('192.168.70.129', 57144, '12.1.1.159', 10000);('192.168.70.129', 45810, '12.1.1.159', 10001);('192.168.70.129', 45810, '12.1.1.159', 10001);('192.168.70.129', 45810, '12.1.1.159', 10001);('192.168.70.129', 57148, '12.1.1.159', 10000);('192.168.70.129', 57148, '12.1.1.159', 10000);('192.168.70.129', 57148, '12.1.1.159', 10000);('192.168.70.129', 45814, '12.1.1.159', 10001);('192.168.70.129', 45814, '12.1.1.159', 10001);('192.168.70.129', 45814, '12.1.1.159', 10001);
;;;;;;72728.164949;19.0;0;72728.164949;10.0;0;
;;;;;;72728.268989;29.0;29.0;72728.268989;31.0;0;
;;;;;;72728.372931;30.0;29.0;72728.372931;46.0;0;
;;;;;;72728.476905;31.0;29.0;72728.476905;78.0;0;
;;;;;;72728.580899;32.0;29.0;72728.580899;128.0;0;
;;;;;;72728.684723;34.0;29.0;72728.684723;164.0;0;
;;;;;;72728.788674;34.0;29.0;72728.788674;215.0;0;
;;;;;;72728.892527;34.0;29.0;72728.892527;294.0;0;
;;;;;;72728.996577;35.0;29.0;72728.996577;329.0;0;
;;;;;;72729.10053;35.0;29.0;72729.10053;412.0;0;
;;;;;;72729.204352;35.0;29.0;72729.204352;509.0;0;
;;;;;;72729.3084;36.0;29.0;72729.3084;587.0;0;
;;;;;;72729.412233;37.0;29.0;72729.412233;623.0;0;
;;;;;;72729.516112;37.0;29.0;72729.516112;665.0;0;
;;;;;;72729.620177;37.0;29.0;72729.620177;784.0;0;
;;;;;;72729.724034;37.0;29.0;72729.724034;866.0;0;
;;;;;;72729.828085;37.0;29.0;72729.828085;966.0;0;
;;;;;;72729.932459;37.0;29.0;72729.932459;1008.0;0;
;;;;;;72730.036838;37.0;29.0;72730.036838;1140.0;0;
;;;;;;72730.140816;38.0;29.0;72730.140816;1180.0;0;
;;;;;;72730.244743;38.0;29.0;72730.244743;1246.0;0;
;;;;;;72730.348791;39.0;29.0;72730.348791;1293.0;0;
;;;;;;72730.452898;39.0;29.0;72730.452898;1363.0;0;
;;;;;;72730.556921;39.0;29.0;72730.556921;1439.0;0;
;;;;;;72730.660857;39.0;29.0;72730.660857;1477.0;0;
;;;;;;72730.76482;39.0;29.0;72730.76482;1551.0;0;
;;;;;;72730.86866;39.0;29.0;72730.86866;1647.0;0;
;;;;;;72730.972687;39.0;29.0;72730.972687;1743.0;0;
;;;;;;72731.07657;39.0;29.0;72731.07657;1819.0;0;
;;;;;;72731.180436;39.0;29.0;72731.180436;1893.0;0;
;;;;;;72731.284378;39.0;29.0;72731.284378;1969.0;0;
;;;;;;72731.388181;39.0;29.0;72731.388181;2039.0;0;
;;;;;;72731.492078;39.0;29.0;72731.492078;2113.0;0;
;;;;;;72731.596135;39.0;29.0;72731.596135;2187.0;0;
;;;;;;72731.700052;39.0;29.0;72731.700052;2261.0;0;
;;;;;;72731.80395;39.0;29.0;72731.80395;2333.0;0;
;;;;;;72731.907938;43.0;29.0;72731.907938;2379.0;0;
;;;;;;72732.011956;43.0;29.0;72732.011956;2455.0;0;
;;;;;;72732.11592;44.0;29.0;72732.11592;2539.0;0;
;;;;;;72732.231997;46.0;29.0;72732.231997;2611.0;0;
;;;;;;72732.335941;46.0;29.0;72732.335941;2711.0;0;
;;;;;;72732.439784;46.0;29.0;72732.439784;2803.0;0;
;;;;;;72732.543846;46.0;29.0;72732.543846;2907.0;0;
;;;;;;72732.64794;46.0;29.0;72732.64794;3003.0;0;
;;;;;;72732.75294;46.0;29.0;72732.75294;3095.0;0;
;;;;;;72732.856762;46.0;29.0;72732.856762;3193.0;0;
;;;;;;72732.960677;46.0;29.0;72732.960677;3291.0;0;
;;;;;;72733.064753;46.0;29.0;72733.064753;3395.0;0;
;;;;;;72733.168706;46.0;29.0;72733.168706;3488.0;0;
;;;;;;72733.272767;46.0;29.0;72733.272767;3584.0;0;
;;;;;;72733.376626;46.0;29.0;72733.376626;3684.0;0;
;;;;;;72733.480687;46.0;29.0;72733.480687;3774.0;0;
;;;;;;72733.58463;46.0;29.0;72733.58463;3876.0;0;
;;;;;;72733.688552;46.0;29.0;72733.688552;1932.0;1980.0;
;;;;;;72733.79262;65.0;29.0;72733.79262;1823.0;1980.0;
;;;;;;72733.896958;70.0;29.0;72733.896958;1823.0;1980.0;
;;;;;;72734.001076;70.0;29.0;72734.001076;1823.0;1980.0;
;;;;;;72734.105287;70.0;29.0;72734.105287;1796.0;1980.0;
