('192.168.70.129', 57148, '12.1.1.159', 10000);('192.168.70.129', 57148, '12.1.1.159', 10000);('192.168.70.129', 45814, '12.1.1.159', 10001);('192.168.70.129', 45814, '12.1.1.159', 10001);total;total;
1685950048.32918;1328040.0;1685950048.32918;668040.0;1685950048.32918;2041400.0;
1685950048.52918;2160000.0;1685950048.52918;3240000.0;1685950048.52918;5402080.0;
1685950048.72918;1980000.0;1685950048.72918;4800000.0;1685950048.72918;6780000.0;
1685950048.9291801;1740000.0;1685950048.9291801;6300000.0;1685950048.9291801;8040000.0;
1685950049.1291802;2040000.0;1685950049.1291802;6180000.0;1685950049.1291802;8220000.0;
1685950049.3291802;0.0;1685950049.3291802;10320000.0;1685950049.3291802;10320000.0;
1685950049.5291803;2100000.0;1685950049.5291803;7740000.0;1685950049.5291803;9840000.0;
1685950049.7291803;0.0;1685950049.7291803;9480000.0;1685950049.7291803;9480000.0;
1685950049.9291804;0.0;1685950049.9291804;8880000.0;1685950049.9291804;8880000.0;
1685950050.1291804;0.0;1685950050.1291804;9840000.0;1685950050.1291804;9840000.0;
1685950050.3291805;1560000.0;1685950050.3291805;7680000.0;1685950050.3291805;9240000.0;
1685950050.5291805;660000.0;1685950050.5291805;7200000.0;1685950050.5291805;7860000.0;
1685950050.7291806;0.0;1685950050.7291806;8100000.0;1685950050.7291806;8100000.0;
1685950050.9291806;0.0;1685950050.9291806;7860000.0;1685950050.9291806;7860000.0;
1685950051.1291807;0.0;1685950051.1291807;8340000.0;1685950051.1291807;8340000.0;
1685950051.3291807;0.0;1685950051.3291807;8520000.0;1685950051.3291807;8520000.0;
1685950051.5291808;0.0;1685950051.5291808;8520000.0;1685950051.5291808;8520000.0;
1685950051.7291808;0.0;1685950051.7291808;8460000.0;1685950051.7291808;8460000.0;
1685950051.9291809;480000.0;1685950051.9291809;7860000.0;1685950051.9291809;8340000.0;
1685950052.129181;1140000.0;1685950052.129181;7560000.0;1685950052.129181;8700000.0;
1685950052.329181;720000.0;1685950052.329181;8880000.0;1685950052.329181;9600000.0;
1685950052.529181;0.0;1685950052.529181;10980000.0;1685950052.529181;10980000.0;
1685950052.729181;0.0;1685950052.729181;11100000.0;1685950052.729181;11100000.0;
1685950052.929181;0.0;1685950052.929181;11340000.0;1685950052.929181;11340000.0;
1685950053.1291811;0.0;1685950053.1291811;11160000.0;1685950053.1291811;11160000.0;
1685950053.3291812;0.0;1685950053.3291812;11233280.0;1685950053.3291812;11233280.0;
1685950053.5291812;0.0;1685950053.5291812;11160000.0;1685950053.5291812;11160000.0;
1685950053.7291813;0.0;1685950053.7291813;11160000.0;1685950053.7291813;11160000.0;
1685950053.9291813;2760000.0;1685950053.9291813;7560000.0;1685950053.9291813;10320000.0;
1685950054.1291814;0.0;1685950054.1291814;9300000.0;1685950054.1291814;9300000.0;
1685950054.3291814;0.0;1685950054.3291814;9180000.0;1685950054.3291814;9180000.0;
1685950054.5291815;0.0;1685950054.5291815;8160000.0;1685950054.5291815;8160000.0;
1685950054.7291815;0.0;1685950054.7291815;7440000.0;1685950054.7291815;7440000.0;
1685950054.9291816;0.0;1685950054.9291816;6360000.0;1685950054.9291816;6360000.0;
1685950055.1291816;0.0;1685950055.1291816;5940000.0;1685950055.1291816;5940000.0;
1685950055.3291817;0.0;1685950055.3291817;5700000.0;1685950055.3291817;5700000.0;
1685950055.5291817;0.0;1685950055.5291817;5640000.0;1685950055.5291817;5640000.0;
1685950055.7291818;0.0;1685950055.7291818;5700000.0;1685950055.7291818;5700000.0;
1685950055.9291818;0.0;1685950055.9291818;5700000.0;1685950055.9291818;5700000.0;
1685950056.1291819;3540000.0;1685950056.1291819;2160000.0;1685950056.1291819;5700000.0;
1685950056.329182;660000.0;1685950056.329182;5400000.0;1685950056.329182;6060000.0;
1685950056.529182;0.0;1685950056.529182;7260000.0;1685950056.529182;7260000.0;
1685950056.729182;0.0;1685950056.729182;6840000.0;1685950056.729182;6840000.0;
1685950056.929182;0.0;1685950056.929182;7200000.0;1685950056.929182;7200000.0;
1685950057.129182;0.0;1685950057.129182;7517760.0;1685950057.129182;7517760.0;
1685950057.3291821;0.0;1685950057.3291821;7200000.0;1685950057.3291821;7200000.0;
1685950057.5291822;1860000.0;1685950057.5291822;5113280.0;1685950057.5291822;6973280.0;
1685950057.7291822;4440000.0;1685950057.7291822;3180000.0;1685950057.7291822;7620000.0;
1685950057.9291823;0.0;1685950057.9291823;7500000.0;1685950057.9291823;7500000.0;
1685950058.1291823;0.0;1685950058.1291823;7500000.0;1685950058.1291823;7500000.0;
1685950058.3291824;0.0;1685950058.3291824;8220000.0;1685950058.3291824;8220000.0;
1685950058.5291824;0.0;1685950058.5291824;7980000.0;1685950058.5291824;7980000.0;
1685950058.7291825;0.0;1685950058.7291825;8340000.0;1685950058.7291825;8340000.0;
1685950058.9291825;0.0;1685950058.9291825;8160000.0;1685950058.9291825;8160000.0;
1685950059.1291826;0.0;1685950059.1291826;8220000.0;1685950059.1291826;8220000.0;
1685950059.3291826;0.0;1685950059.3291826;8160000.0;1685950059.3291826;8160000.0;
1685950059.5291827;0.0;1685950059.5291827;8400000.0;1685950059.5291827;8400000.0;
1685950059.7291827;0.0;1685950059.7291827;8460000.0;1685950059.7291827;8460000.0;
1685950059.9291828;0.0;1685950059.9291828;8940000.0;1685950059.9291828;8940000.0;
1685950060.1291828;0.0;1685950060.1291828;10500000.0;1685950060.1291828;10500000.0;
1685950060.3291829;6000000.0;1685950060.3291829;5064480.0;1685950060.3291829;11064480.0;
1685950060.529183;3420000.0;1685950060.529183;7020000.0;1685950060.529183;10440000.0;
1685950060.729183;0.0;1685950060.729183;11940000.0;1685950060.729183;11940000.0;
1685950060.929183;0.0;1685950060.929183;11880000.0;1685950060.929183;11880000.0;
1685950061.129183;0.0;1685950061.129183;9780000.0;1685950061.129183;9780000.0;
1685950061.329183;0.0;1685950061.329183;9960000.0;1685950061.329183;9960000.0;
1685950061.5291831;0.0;1685950061.5291831;8820000.0;1685950061.5291831;8820000.0;
1685950061.7291832;0.0;1685950061.7291832;8280000.0;1685950061.7291832;8280000.0;
1685950061.9291832;6240000.0;1685950061.9291832;1800000.0;1685950061.9291832;8040000.0;
1685950062.1291833;7920000.0;1685950062.1291833;120000.0;1685950062.1291833;8040000.0;
1685950062.3291833;0.0;1685950062.3291833;7952160.0;1685950062.3291833;7952160.0;
1685950062.5291834;0.0;1685950062.5291834;8040000.0;1685950062.5291834;8040000.0;
1685950062.7291834;0.0;1685950062.7291834;7980000.0;1685950062.7291834;7980000.0;
1685950062.9291835;0.0;1685950062.9291835;8040000.0;1685950062.9291835;8040000.0;
1685950063.1291835;0.0;1685950063.1291835;7980000.0;1685950063.1291835;7980000.0;
1685950063.3291836;0.0;1685950063.3291836;8640000.0;1685950063.3291836;8640000.0;
1685950063.5291836;6120000.0;1685950063.5291836;3360000.0;1685950063.5291836;9480000.0;
1685950063.7291837;8580000.0;1685950063.7291837;1920000.0;1685950063.7291837;10500000.0;
1685950063.9291837;0.0;1685950063.9291837;10440000.0;1685950063.9291837;10440000.0;
1685950064.1291838;0.0;1685950064.1291838;11220000.0;1685950064.1291838;11220000.0;
1685950064.3291838;0.0;1685950064.3291838;11160000.0;1685950064.3291838;11160000.0;
1685950064.5291839;0.0;1685950064.5291839;9540000.0;1685950064.5291839;9540000.0;
1685950064.729184;60000.0;1685950064.729184;8700000.0;1685950064.729184;8760000.0;
1685950064.929184;6180000.0;1685950064.929184;3060000.0;1685950064.929184;9240000.0;
1685950065.129184;8340000.0;1685950065.129184;900000.0;1685950065.129184;9240000.0;
1685950065.329184;60000.0;1685950065.329184;9060000.0;1685950065.329184;9120000.0;
1685950065.529184;0.0;1685950065.529184;9300000.0;1685950065.529184;9300000.0;
1685950065.7291842;0.0;1685950065.7291842;9240000.0;1685950065.7291842;9240000.0;
1685950065.9291842;0.0;1685950065.9291842;9180000.0;1685950065.9291842;9180000.0;
1685950066.1291842;120000.0;1685950066.1291842;9116800.0;1685950066.1291842;9236800.0;
1685950066.3291843;10080000.0;1685950066.3291843;0.0;1685950066.3291843;10080000.0;
1685950066.5291843;4920000.0;1685950066.5291843;6540000.0;1685950066.5291843;11460000.0;
1685950066.7291844;0.0;1685950066.7291844;11280000.0;1685950066.7291844;11280000.0;
1685950066.9291844;60000.0;1685950066.9291844;10920000.0;1685950066.9291844;10980000.0;
1685950067.1291845;9660000.0;1685950067.1291845;960000.0;1685950067.1291845;10620000.0;
1685950067.3291845;6420000.0;1685950067.3291845;4440000.0;1685950067.3291845;10860000.0;
1685950067.5291846;0.0;1685950067.5291846;10440000.0;1685950067.5291846;10440000.0;
1685950067.7291846;60000.0;1685950067.7291846;10740000.0;1685950067.7291846;10800000.0;
1685950067.9291847;6300000.0;1685950067.9291847;4140000.0;1685950067.9291847;10440000.0;
1685950068.1291847;10560000.0;1685950068.1291847;0.0;1685950068.1291847;10560000.0;
1685950068.3291848;540000.0;1685950068.3291848;9600000.0;1685950068.3291848;10140000.0;
1685950068.5291848;0.0;1685950068.5291848;10320000.0;1685950068.5291848;10320000.0;
1685950068.7291849;720000.0;1685950068.7291849;9600000.0;1685950068.7291849;10320000.0;
1685950068.929185;10200000.0;1685950068.929185;240000.0;1685950068.929185;10440000.0;
1685950069.129185;8220000.0;1685950069.129185;2220000.0;1685950069.129185;10440000.0;
1685950069.329185;60000.0;1685950069.329185;10320000.0;1685950069.329185;10380000.0;
1685950069.529185;0.0;1685950069.529185;10860000.0;1685950069.529185;10860000.0;
1685950069.729185;4020000.0;1685950069.729185;6480000.0;1685950069.729185;10500000.0;
1685950069.9291852;10740000.0;1685950069.9291852;0.0;1685950069.9291852;10740000.0;
1685950070.1291852;6900000.0;1685950070.1291852;3720000.0;1685950070.1291852;10620000.0;
1685950070.3291852;120000.0;1685950070.3291852;10380000.0;1685950070.3291852;10500000.0;
1685950070.5291853;180000.0;1685950070.5291853;10620000.0;1685950070.5291853;10800000.0;
1685950070.7291853;4920000.0;1685950070.7291853;5160000.0;1685950070.7291853;10080000.0;
1685950070.9291854;10560000.0;1685950070.9291854;60000.0;1685950070.9291854;10620000.0;
1685950071.1291854;9120000.0;1685950071.1291854;1740000.0;1685950071.1291854;10860000.0;
1685950071.3291855;420000.0;1685950071.3291855;10500000.0;1685950071.3291855;10920000.0;
1685950071.5291855;0.0;1685950071.5291855;11160000.0;1685950071.5291855;11160000.0;
1685950071.7291856;4620000.0;1685950071.7291856;6480000.0;1685950071.7291856;11100000.0;
1685950071.9291856;10800000.0;1685950071.9291856;120000.0;1685950071.9291856;10920000.0;
1685950072.1291857;11160000.0;1685950072.1291857;0.0;1685950072.1291857;11160000.0;
1685950072.3291857;3180000.0;1685950072.3291857;7620000.0;1685950072.3291857;10800000.0;
1685950072.5291858;120000.0;1685950072.5291858;11160000.0;1685950072.5291858;11280000.0;
1685950072.7291858;480000.0;1685950072.7291858;10800000.0;1685950072.7291858;11280000.0;
1685950072.9291859;10260000.0;1685950072.9291859;360000.0;1685950072.9291859;10620000.0;
1685950073.129186;9840000.0;1685950073.129186;120000.0;1685950073.129186;9960000.0;
1685950073.329186;11160000.0;1685950073.329186;0.0;1685950073.329186;11160000.0;
1685950073.529186;4200000.0;1685950073.529186;7200000.0;1685950073.529186;11400000.0;
1685950073.729186;180000.0;1685950073.729186;10920000.0;1685950073.729186;11100000.0;
