('12.1.1.151', 45510, '192.168.70.129', 10000);('12.1.1.151', 45510, '192.168.70.129', 10000);('12.1.1.151', 45510, '192.168.70.129', 10000);('12.1.1.151', 44932, '192.168.70.129', 10001);('12.1.1.151', 44932, '192.168.70.129', 10001);('12.1.1.151', 44932, '192.168.70.129', 10001);('12.1.1.151', 45514, '192.168.70.129', 10000);('12.1.1.151', 45514, '192.168.70.129', 10000);('12.1.1.151', 45514, '192.168.70.129', 10000);('12.1.1.151', 44936, '192.168.70.129', 10001);('12.1.1.151', 44936, '192.168.70.129', 10001);('12.1.1.151', 44936, '192.168.70.129', 10001);
;;;;;;4727.805331;18.0;1508.0;4727.805331;10.0;1508.0;
;;;;;;4727.908892;30.0;30.0;4727.908892;21.0;1508.0;
;;;;;;4728.012439;30.0;30.0;4728.012439;39.0;1508.0;
;;;;;;4728.115969;31.0;30.0;4728.115969;41.0;1508.0;
;;;;;;4728.219473;31.0;30.0;4728.219473;44.0;1508.0;
;;;;;;4728.323023;32.0;30.0;4728.323023;82.0;1508.0;
;;;;;;4728.426663;33.0;30.0;4728.426663;98.0;1508.0;
;;;;;;4728.530271;33.0;30.0;4728.530271;142.0;1508.0;
;;;;;;4728.633919;34.0;30.0;4728.633919;164.0;1508.0;
;;;;;;4728.737683;35.0;30.0;4728.737683;197.0;1508.0;
;;;;;;4728.841363;35.0;30.0;4728.841363;234.0;1508.0;
;;;;;;4728.944986;35.0;30.0;4728.944986;268.0;1508.0;
;;;;;;4729.048503;35.0;30.0;4729.048503;300.0;1508.0;
;;;;;;4729.152084;35.0;30.0;4729.152084;328.0;1508.0;
;;;;;;4729.255649;36.0;30.0;4729.255649;328.0;1508.0;
;;;;;;4729.35913;36.0;30.0;4729.35913;359.0;1508.0;
;;;;;;4729.462686;36.0;30.0;4729.462686;387.0;1508.0;
;;;;;;4729.566278;36.0;30.0;4729.566278;414.0;1508.0;
;;;;;;4729.669888;36.0;30.0;4729.669888;445.0;1508.0;
;;;;;;4729.773492;36.0;30.0;4729.773492;473.0;1508.0;
;;;;;;4729.877127;36.0;30.0;4729.877127;503.0;1508.0;
;;;;;;4729.980744;36.0;30.0;4729.980744;535.0;1508.0;
;;;;;;4730.084326;36.0;30.0;4730.084326;565.0;1508.0;
;;;;;;4730.188019;36.0;30.0;4730.188019;595.0;1508.0;
;;;;;;4730.291592;36.0;30.0;4730.291592;627.0;1508.0;
;;;;;;4730.39532;37.0;30.0;4730.39532;655.0;1508.0;
;;;;;;4730.498862;38.0;30.0;4730.498862;668.0;1508.0;
;;;;;;4730.602423;38.0;30.0;4730.602423;711.0;1508.0;
;;;;;;4730.706039;38.0;30.0;4730.706039;754.0;1508.0;
;;;;;;4730.809664;38.0;30.0;4730.809664;781.0;1508.0;
;;;;;;4730.913329;38.0;30.0;4730.913329;806.0;1508.0;
;;;;;;4731.017194;38.0;30.0;4731.017194;851.0;1508.0;
;;;;;;4731.121051;38.0;30.0;4731.121051;893.0;1508.0;
;;;;;;4731.224744;38.0;30.0;4731.224744;916.0;1508.0;
;;;;;;4731.328341;38.0;30.0;4731.328341;958.0;1508.0;
;;;;;;4731.431959;38.0;30.0;4731.431959;985.0;1508.0;
;;;;;;4731.535591;38.0;30.0;4731.535591;1040.0;1508.0;
;;;;;;4731.63922;38.0;30.0;4731.63922;1068.0;1508.0;
;;;;;;4731.742832;38.0;30.0;4731.742832;1112.0;1508.0;
;;;;;;4731.856555;38.0;30.0;4731.856555;1162.0;1508.0;
;;;;;;4731.960231;38.0;30.0;4731.960231;1199.0;1508.0;
;;;;;;4732.063884;38.0;30.0;4732.063884;1239.0;1508.0;
;;;;;;4732.167456;38.0;30.0;4732.167456;1273.0;1508.0;
;;;;;;4732.271106;42.0;30.0;4732.271106;1309.0;1508.0;
;;;;;;4732.374751;52.0;30.0;4732.374751;1320.0;1508.0;
;;;;;;4732.478393;53.0;30.0;4732.478393;1342.0;1508.0;
;;;;;;4732.582009;53.0;30.0;4732.582009;1380.0;1508.0;
;;;;;;4732.685631;53.0;30.0;4732.685631;1415.0;1508.0;
;;;;;;4732.789251;54.0;30.0;4732.789251;1450.0;1508.0;
;;;;;;4732.892888;54.0;30.0;4732.892888;1488.0;1508.0;
;;;;;;4732.996507;54.0;30.0;4732.996507;1508.0;1508.0;
;;;;;;4733.100131;54.0;30.0;4733.100131;1508.0;1508.0;
;;;;;;4733.203845;56.0;30.0;4733.203845;1508.0;1508.0;
;;;;;;4733.307415;56.0;30.0;4733.307415;1508.0;1508.0;
;;;;;;4733.411032;56.0;30.0;4733.411032;1508.0;1508.0;
;;;;;;4733.514953;56.0;30.0;4733.514953;1508.0;1508.0;
;;;;;;4733.618845;56.0;30.0;4733.618845;1508.0;1508.0;
;;;;;;4733.722673;56.0;30.0;4733.722673;1508.0;1508.0;
;;;;;;4733.826344;56.0;30.0;4733.826344;1508.0;1508.0;
;;;;;;4733.930014;56.0;30.0;4733.930014;1508.0;1508.0;
;;;;;;4734.033697;56.0;30.0;4734.033697;1508.0;1508.0;
;;;;;;4734.137286;56.0;30.0;4734.137286;1508.0;1508.0;
;;;;;;4734.240852;56.0;30.0;4734.240852;1508.0;1508.0;
;;;;;;1685938054.3444;56.0;30.0;1685938054.3444;1508.0;1508.0;
;;;;;;4734.448196;56.0;30.0;4734.448196;1508.0;1508.0;
;;;;;;4734.551784;56.0;30.0;4734.551784;1508.0;1508.0;
;;;;;;4734.655388;56.0;30.0;4734.655388;1508.0;1508.0;
;;;;;;4734.758967;56.0;30.0;4734.758967;1508.0;1508.0;
;;;;;;4734.862622;56.0;30.0;4734.862622;1508.0;1508.0;
;;;;;;4734.966239;56.0;30.0;4734.966239;1508.0;1508.0;
;;;;;;4735.069888;56.0;30.0;4735.069888;1508.0;1508.0;
;;;;;;4735.173703;56.0;30.0;4735.173703;1508.0;1508.0;
;;;;;;4735.277302;56.0;30.0;4735.277302;1508.0;1508.0;
;;;;;;4735.380878;56.0;30.0;4735.380878;1508.0;1508.0;
;;;;;;4735.484435;56.0;30.0;4735.484435;1508.0;1508.0;
;;;;;;4735.588015;56.0;30.0;4735.588015;1508.0;1508.0;
;;;;;;4735.691592;56.0;30.0;4735.691592;1508.0;1508.0;
;;;;;;4735.79516;57.0;30.0;4735.79516;1508.0;1508.0;
;;;;;;4735.89878;57.0;30.0;4735.89878;1508.0;1508.0;
;;;;;;4736.00239;72.0;30.0;4736.00239;1508.0;1508.0;
;;;;;;4736.106016;78.0;30.0;4736.106016;1508.0;1508.0;
;;;;;;4736.209596;79.0;30.0;4736.209596;1508.0;1508.0;
;;;;;;4736.313223;79.0;30.0;4736.313223;1508.0;1508.0;
;;;;;;4736.416789;79.0;30.0;4736.416789;1508.0;1508.0;
;;;;;;4736.520363;79.0;30.0;4736.520363;1508.0;1508.0;
;;;;;;4736.624007;79.0;30.0;4736.624007;1508.0;1508.0;
;;;;;;4736.727639;81.0;30.0;4736.727639;1508.0;1508.0;
;;;;;;4736.831281;81.0;30.0;4736.831281;1508.0;1508.0;
;;;;;;4736.940131;81.0;30.0;4736.940131;1508.0;1508.0;
;;;;;;4737.043768;84.0;30.0;4737.043768;1509.0;1508.0;
;;;;;;4737.147386;84.0;30.0;4737.147386;1509.0;1508.0;
;;;;;;4737.251038;84.0;30.0;4737.251038;1509.0;1508.0;
;;;;;;4737.354818;84.0;30.0;4737.354818;1509.0;1508.0;
;;;;;;4737.458526;84.0;30.0;4737.458526;1509.0;1508.0;
;;;;;;4737.562189;84.0;30.0;4737.562189;1509.0;1508.0;
