('192.168.70.134', 45514, '192.168.70.129', 10000);('192.168.70.134', 45514, '192.168.70.129', 10000);('192.168.70.134', 44936, '192.168.70.129', 10001);('192.168.70.134', 44936, '192.168.70.129', 10001);total;total;
1685940447.971971;848040.0;1685940447.971971;668040.0;1685940447.971971;1564920.0;
1685940448.171971;1140000.0;1685940448.171971;1200000.0;1685940448.171971;2340000.0;
1685940448.3719711;1560000.0;1685940448.3719711;1620000.0;1685940448.3719711;3180000.0;
1685940448.5719712;1860000.0;1685940448.5719712;2880000.0;1685940448.5719712;4740000.0;
1685940448.7719712;1860000.0;1685940448.7719712;3420000.0;1685940448.7719712;5280000.0;
1685940448.9719713;120000.0;1685940448.9719713;4380000.0;1685940448.9719713;4500000.0;
1685940449.1719713;0.0;1685940449.1719713;3720000.0;1685940449.1719713;3720000.0;
1685940449.3719714;1860000.0;1685940449.3719714;1620000.0;1685940449.3719714;3480000.0;
1685940449.5719714;240000.0;1685940449.5719714;3240000.0;1685940449.5719714;3480000.0;
1685940449.7719715;0.0;1685940449.7719715;3420000.0;1685940449.7719715;3420000.0;
1685940449.9719715;0.0;1685940449.9719715;3480000.0;1685940449.9719715;3480000.0;
1685940450.1719716;0.0;1685940450.1719716;3480000.0;1685940450.1719716;3480000.0;
1685940450.3719716;0.0;1685940450.3719716;3540000.0;1685940450.3719716;3540000.0;
1685940450.5719717;1920000.0;1685940450.5719717;2220000.0;1685940450.5719717;4140000.0;
1685940450.7719717;120000.0;1685940450.7719717;4860000.0;1685940450.7719717;4980000.0;
1685940450.9719718;120000.0;1685940450.9719718;4020000.0;1685940450.9719718;4140000.0;
1685940451.1719718;0.0;1685940451.1719718;4140000.0;1685940451.1719718;4140000.0;
1685940451.3719718;0.0;1685940451.3719718;4140000.0;1685940451.3719718;4140000.0;
1685940451.571972;0.0;1685940451.571972;4260000.0;1685940451.571972;4260000.0;
1685940451.771972;0.0;1685940451.771972;4140000.0;1685940451.771972;4140000.0;
1685940451.971972;0.0;1685940451.971972;4680000.0;1685940451.971972;4680000.0;
1685940452.171972;0.0;1685940452.171972;4920000.0;1685940452.171972;4920000.0;
1685940452.371972;540000.0;1685940452.371972;3900000.0;1685940452.371972;4440000.0;
1685940452.5719721;1440000.0;1685940452.5719721;1980000.0;1685940452.5719721;3420000.0;
1685940452.7719722;0.0;1685940452.7719722;4380000.0;1685940452.7719722;4380000.0;
1685940452.9719722;120000.0;1685940452.9719722;4080000.0;1685940452.9719722;4200000.0;
1685940453.1719723;0.0;1685940453.1719723;3780000.0;1685940453.1719723;3780000.0;
1685940453.3719723;180000.0;1685940453.3719723;4260000.0;1685940453.3719723;4440000.0;
1685940453.5719724;0.0;1685940453.5719724;3960000.0;1685940453.5719724;3960000.0;
1685940453.7719724;0.0;1685940453.7719724;5580000.0;1685940453.7719724;5580000.0;
1685940453.9719725;0.0;1685940453.9719725;4680000.0;1685940453.9719725;4680000.0;
1685940454.1719725;0.0;1685940454.1719725;3480000.0;1685940454.1719725;3480000.0;
1685940454.3719726;0.0;1685940454.3719726;5520000.0;1685940454.3719726;5520000.0;
1685940454.5719726;0.0;1685940454.5719726;4500000.0;1685940454.5719726;4500000.0;
1685940454.7719727;0.0;1685940454.7719727;3600000.0;1685940454.7719727;3600000.0;
1685940454.9719727;0.0;1685940454.9719727;4080000.0;1685940454.9719727;4080000.0;
1685940455.1719728;0.0;1685940455.1719728;5460000.0;1685940455.1719728;5460000.0;
1685940455.3719728;0.0;1685940455.3719728;4620000.0;1685940455.3719728;4620000.0;
1685940455.5719728;0.0;1685940455.5719728;4080000.0;1685940455.5719728;4080000.0;
1685940455.771973;0.0;1685940455.771973;4740000.0;1685940455.771973;4740000.0;
1685940455.971973;120000.0;1685940455.971973;4260000.0;1685940455.971973;4380000.0;
1685940456.171973;2580000.0;1685940456.171973;2700000.0;1685940456.171973;5280000.0;
1685940456.371973;120000.0;1685940456.371973;3420000.0;1685940456.371973;3540000.0;
1685940456.571973;0.0;1685940456.571973;5340000.0;1685940456.571973;5340000.0;
1685940456.7719731;0.0;1685940456.7719731;5220000.0;1685940456.7719731;5220000.0;
1685940456.9719732;240000.0;1685940456.9719732;5460000.0;1685940456.9719732;5700000.0;
1685940457.1719732;300000.0;1685940457.1719732;5290080.0;1685940457.1719732;5590080.0;
1685940457.3719733;0.0;1685940457.3719733;5640000.0;1685940457.3719733;5640000.0;
1685940457.5719733;0.0;1685940457.5719733;5580000.0;1685940457.5719733;5580000.0;
1685940457.7719734;0.0;1685940457.7719734;5160000.0;1685940457.7719734;5160000.0;
1685940457.9719734;0.0;1685940457.9719734;4320000.0;1685940457.9719734;4320000.0;
1685940458.1719735;0.0;1685940458.1719735;2940000.0;1685940458.1719735;2940000.0;
1685940458.3719735;0.0;1685940458.3719735;4380000.0;1685940458.3719735;4380000.0;
1685940458.5719736;0.0;1685940458.5719736;4920000.0;1685940458.5719736;4920000.0;
1685940458.7719736;0.0;1685940458.7719736;5340000.0;1685940458.7719736;5340000.0;
1685940458.9719737;0.0;1685940458.9719737;5100000.0;1685940458.9719737;5100000.0;
1685940459.1719737;0.0;1685940459.1719737;3480000.0;1685940459.1719737;3480000.0;
1685940459.3719738;180000.0;1685940459.3719738;5460000.0;1685940459.3719738;5640000.0;
1685940459.5719738;0.0;1685940459.5719738;4440000.0;1685940459.5719738;4440000.0;
1685940459.7719738;0.0;1685940459.7719738;3900000.0;1685940459.7719738;3900000.0;
1685940459.971974;900000.0;1685940459.971974;3840000.0;1685940459.971974;4740000.0;
1685940460.171974;2940000.0;1685940460.171974;2220000.0;1685940460.171974;5160000.0;
1685940460.371974;120000.0;1685940460.371974;5160000.0;1685940460.371974;5280000.0;
1685940460.571974;0.0;1685940460.571974;5280000.0;1685940460.571974;5280000.0;
1685940460.771974;360000.0;1685940460.771974;4800000.0;1685940460.771974;5160000.0;
1685940460.9719741;0.0;1685940460.9719741;5280000.0;1685940460.9719741;5280000.0;
1685940461.1719742;540000.0;1685940461.1719742;2700000.0;1685940461.1719742;3240000.0;
1685940461.3719742;0.0;1685940461.3719742;4680000.0;1685940461.3719742;4680000.0;
1685940461.5719743;0.0;1685940461.5719743;4140000.0;1685940461.5719743;4140000.0;
1685940461.7719743;0.0;1685940461.7719743;4552320.0;1685940461.7719743;4552320.0;
1685940461.9719744;0.0;1685940461.9719744;3480000.0;1685940461.9719744;3480000.0;
1685940462.1719744;0.0;1685940462.1719744;4860000.0;1685940462.1719744;4860000.0;
1685940462.3719745;0.0;1685940462.3719745;4680000.0;1685940462.3719745;4680000.0;
1685940462.5719745;0.0;1685940462.5719745;5280000.0;1685940462.5719745;5280000.0;
1685940462.7719746;0.0;1685940462.7719746;4380000.0;1685940462.7719746;4380000.0;
1685940462.9719746;0.0;1685940462.9719746;4680000.0;1685940462.9719746;4680000.0;
1685940463.1719747;0.0;1685940463.1719747;4560000.0;1685940463.1719747;4560000.0;
1685940463.3719747;0.0;1685940463.3719747;4740000.0;1685940463.3719747;4740000.0;
1685940463.5719748;180000.0;1685940463.5719748;4440000.0;1685940463.5719748;4620000.0;
1685940463.7719748;0.0;1685940463.7719748;4260000.0;1685940463.7719748;4260000.0;
1685940463.9719748;0.0;1685940463.9719748;3240000.0;1685940463.9719748;3240000.0;
1685940464.171975;1620000.0;1685940464.171975;1740000.0;1685940464.171975;3360000.0;
1685940464.371975;4380000.0;1685940464.371975;360000.0;1685940464.371975;4740000.0;
1685940464.571975;0.0;1685940464.571975;4800000.0;1685940464.571975;4800000.0;
1685940464.771975;0.0;1685940464.771975;4020000.0;1685940464.771975;4020000.0;
1685940464.971975;0.0;1685940464.971975;3720000.0;1685940464.971975;3720000.0;
1685940465.1719751;540000.0;1685940465.1719751;4200000.0;1685940465.1719751;4740000.0;
1685940465.3719752;0.0;1685940465.3719752;4500000.0;1685940465.3719752;4500000.0;
1685940465.5719752;540000.0;1685940465.5719752;3000000.0;1685940465.5719752;3540000.0;
1685940465.7719753;300000.0;1685940465.7719753;5100000.0;1685940465.7719753;5400000.0;
1685940465.9719753;0.0;1685940465.9719753;3240000.0;1685940465.9719753;3240000.0;
1685940466.1719754;0.0;1685940466.1719754;3540000.0;1685940466.1719754;3540000.0;
1685940466.3719754;0.0;1685940466.3719754;4200000.0;1685940466.3719754;4200000.0;
1685940466.5719755;0.0;1685940466.5719755;4920000.0;1685940466.5719755;4920000.0;
1685940466.7719755;0.0;1685940466.7719755;2760000.0;1685940466.7719755;2760000.0;
1685940466.9719756;0.0;1685940466.9719756;5392320.0;1685940466.9719756;5392320.0;
1685940467.1719756;0.0;1685940467.1719756;4200000.0;1685940467.1719756;4200000.0;
1685940467.3719757;0.0;1685940467.3719757;5220000.0;1685940467.3719757;5220000.0;
1685940467.5719757;0.0;1685940467.5719757;4200000.0;1685940467.5719757;4200000.0;
1685940467.7719758;0.0;1685940467.7719758;4440000.0;1685940467.7719758;4440000.0;
1685940467.9719758;0.0;1685940467.9719758;4500000.0;1685940467.9719758;4500000.0;
1685940468.1719759;180000.0;1685940468.1719759;4860000.0;1685940468.1719759;5040000.0;
1685940468.371976;0.0;1685940468.371976;4920000.0;1685940468.371976;4920000.0;
1685940468.571976;0.0;1685940468.571976;4200000.0;1685940468.571976;4200000.0;
1685940468.771976;4140000.0;1685940468.771976;240000.0;1685940468.771976;4380000.0;
1685940468.971976;4920000.0;1685940468.971976;420000.0;1685940468.971976;5340000.0;
1685940469.171976;0.0;1685940469.171976;4500000.0;1685940469.171976;4500000.0;
1685940469.3719761;0.0;1685940469.3719761;5280000.0;1685940469.3719761;5280000.0;
1685940469.5719762;840000.0;1685940469.5719762;4860000.0;1685940469.5719762;5700000.0;
1685940469.7719762;0.0;1685940469.7719762;2940000.0;1685940469.7719762;2940000.0;
1685940469.9719763;0.0;1685940469.9719763;4980000.0;1685940469.9719763;4980000.0;
