Throughput;Throughput;Sending Rate;Sending Rate;
1685936848.3838956;0.4658699659432393;1685936848.3838956;0.40524694231738523;
1685936848.5838957;0.4618623382963144;1685936848.5838957;0.49;
1685936848.7838957;0.2913793103448276;1685936848.7838957;0.3524390243902439;
1685936848.9838958;0.4010315817586967;1685936848.9838958;0.4618623382963144;
1685936849.1838958;0.3147666863555818;1685936849.1838958;0.3900713436385256;
1685936849.3838959;0.32334963325183375;1685936849.3838959;0.3558823529411765;
1685936849.583896;0.25;1685936849.583896;0.25;
1685936849.783896;0.4530192608016658;1685936849.783896;0.47247191011235956;
1685936849.983896;0.31601460702509193;1685936849.983896;0.3833181403828623;
1685936850.183896;0.25;1685936850.183896;0.25;
1685936850.383896;0.25;1685936850.383896;0.25;
1685936850.5838962;0.25;1685936850.5838962;0.25;
1685936850.7838962;0.34720898570456094;1685936850.7838962;0.44377868434472206;
1685936850.9838963;0.33636579572446557;1685936850.9838963;0.38298383749420545;
1685936851.1838963;0.25955065293211127;1685936851.1838963;0.2628190922922446;
1685936851.3838964;0.25;1685936851.3838964;0.25;
1685936851.5838964;0.25;1685936851.5838964;0.25;
1685936851.7838964;0.25;1685936851.7838964;0.25;
1685936851.9838965;0.25;1685936851.9838965;0.25;
1685936852.1838965;0.25;1685936852.1838965;0.25;
1685936852.3838966;0.4464993394980185;1685936852.3838966;0.4322701688555347;
1685936852.5838966;0.2734187568890333;1685936852.5838966;0.28974562798092207;
1685936852.7838967;0.25;1685936852.7838967;0.25;
1685936852.9838967;0.2679623694820635;1685936852.9838967;0.271389284986759;
1685936853.1838968;0.25;1685936853.1838968;0.25;
1685936853.3838968;0.25;1685936853.3838968;0.25;
1685936853.5838969;0.25;1685936853.5838969;0.25;
1685936853.783897;0.25;1685936853.783897;0.25;
1685936853.983897;0.25;1685936853.983897;0.25;
1685936854.183897;1;1685936854.183897;0.25;
1685936854.383897;1;1685936854.383897;0.25;
1685936854.583897;0.25;1685936854.583897;0.25;
1685936854.7838972;0.25;1685936854.7838972;0.25;
1685936854.9838972;0.25;1685936854.9838972;0.25;
1685936855.1838973;0.4994325346784363;1685936855.1838973;0.49;
1685936855.3838973;0.3723969871510855;1685936855.3838973;0.3355294996081646;
1685936855.5838974;0.25;1685936855.5838974;0.256171898811338;
1685936855.7838974;0.2721784130113356;1685936855.7838974;0.25549384206713355;
1685936855.9838974;0.25;1685936855.9838974;0.25;
1685936856.1838975;0.25;1685936856.1838975;0.25;
1685936856.3838975;0.25;1685936856.3838975;0.25;
1685936856.5838976;0.25;1685936856.5838976;0.2888255277845183;
1685936856.7838976;1;1685936856.7838976;0.25;
