('12.1.1.151', 45208, '192.168.70.129', 10000);('12.1.1.151', 45208, '192.168.70.129', 10000);('12.1.1.151', 45208, '192.168.70.129', 10000);('12.1.1.151', 44630, '192.168.70.129', 10001);('12.1.1.151', 44630, '192.168.70.129', 10001);('12.1.1.151', 44630, '192.168.70.129', 10001);total;total;total;
1685938048.3338351;1;38;1685938048.3338351;1;32;1685938048.3338351;9;87;
1685938048.5338352;0;45;1685938048.5338352;0;43;1685938048.5338352;0;88;
1685938048.7338352;0;8;1685938048.7338352;0;69;1685938048.7338352;0;77;
1685938048.9338353;0;33;1685938048.9338353;0;79;1685938048.9338353;0;112;
1685938049.1338353;0;31;1685938049.1338353;0;88;1685938049.1338353;0;119;
1685938049.3338354;0;3;1685938049.3338354;0;169;1685938049.3338354;0;172;
1685938049.5338354;0;2;1685938049.5338354;0;115;1685938049.5338354;0;117;
1685938049.7338355;0;31;1685938049.7338355;0;57;1685938049.7338355;0;88;
1685938049.9338355;0;1;1685938049.9338355;0;121;1685938049.9338355;0;122;
1685938050.1338356;0;2;1685938050.1338356;0;106;1685938050.1338356;0;108;
1685938050.3338356;0;0;1685938050.3338356;0;115;1685938050.3338356;0;115;
1685938050.5338356;0;0;1685938050.5338356;0;120;1685938050.5338356;0;120;
1685938050.7338357;0;15;1685938050.7338357;0;72;1685938050.7338357;0;87;
1685938050.9338357;0;19;1685938050.9338357;0;118;1685938050.9338357;0;137;
1685938051.1338358;0;2;1685938051.1338358;0;163;1685938051.1338358;0;165;
1685938051.3338358;0;0;1685938051.3338358;0;125;1685938051.3338358;0;125;
1685938051.533836;0;2;1685938051.533836;0;161;1685938051.533836;0;163;
1685938051.733836;0;0;1685938051.733836;0;131;1685938051.733836;0;131;
1685938051.933836;0;0;1685938051.933836;0;146;1685938051.933836;0;146;
1685938052.133836;0;0;1685938052.133836;0;165;1685938052.133836;0;165;
1685938052.333836;0;0;1685938052.333836;0;119;1685938052.333836;0;119;
1685938052.5338361;0;25;1685938052.5338361;0;73;1685938052.5338361;0;98;
1685938052.7338362;0;20;1685938052.7338362;0;103;1685938052.7338362;0;123;
1685938052.9338362;0;2;1685938052.9338362;0;133;1685938052.9338362;0;135;
1685938053.1338363;0;0;1685938053.1338363;0;161;1685938053.1338363;0;161;
1685938053.3338363;0;4;1685938053.3338363;0;131;1685938053.3338363;0;135;
1685938053.5338364;0;0;1685938053.5338364;0;109;1685938053.5338364;0;109;
1685938053.7338364;0;0;1685938053.7338364;0;88;1685938053.7338364;0;88;
1685938053.9338365;0;0;1685938053.9338365;0;86;1685938053.9338365;0;86;
1685938054.1338365;0;4;1685938054.1338365;0;66;1685938054.1338365;0;70;
1685938054.3338366;0;0;1685938054.3338366;0;0;1685938054.3338366;0;0;
