('12.1.1.151', 45354, '192.168.70.129', 10000);('12.1.1.151', 45354, '192.168.70.129', 10000);('12.1.1.151', 44776, '192.168.70.129', 10001);('12.1.1.151', 44776, '192.168.70.129', 10001);total;total;
1685939248.449698;2108040.0;1685939248.449698;1868040.0;1685939248.449698;4024920.0;
1685939248.649698;1920000.0;1685939248.649698;2460000.0;1685939248.649698;4380000.0;
1685939248.849698;1320000.0;1685939248.849698;2520000.0;1685939248.849698;3840000.0;
1685939249.049698;1980000.0;1685939249.049698;6660000.0;1685939249.049698;8640000.0;
1685939249.2496982;2040000.0;1685939249.2496982;6720000.0;1685939249.2496982;8760000.0;
1685939249.4496982;60000.0;1685939249.4496982;9060000.0;1685939249.4496982;9120000.0;
1685939249.6496983;60000.0;1685939249.6496983;5520000.0;1685939249.6496983;5580000.0;
1685939249.8496983;1980000.0;1685939249.8496983;1620000.0;1685939249.8496983;3600000.0;
1685939250.0496984;0.0;1685939250.0496984;6902080.0;1685939250.0496984;6902080.0;
1685939250.2496984;120000.0;1685939250.2496984;9600000.0;1685939250.2496984;9720000.0;
1685939250.4496984;0.0;1685939250.4496984;7320000.0;1685939250.4496984;7320000.0;
1685939250.6496985;0.0;1685939250.6496985;6960000.0;1685939250.6496985;6960000.0;
1685939250.8496985;1140000.0;1685939250.8496985;5160000.0;1685939250.8496985;6300000.0;
1685939251.0496986;960000.0;1685939251.0496986;7020000.0;1685939251.0496986;7980000.0;
1685939251.2496986;0.0;1685939251.2496986;9540000.0;1685939251.2496986;9540000.0;
1685939251.4496987;120000.0;1685939251.4496987;6900000.0;1685939251.4496987;7020000.0;
1685939251.6496987;0.0;1685939251.6496987;8460000.0;1685939251.6496987;8460000.0;
1685939251.8496988;0.0;1685939251.8496988;9480000.0;1685939251.8496988;9480000.0;
1685939252.0496988;0.0;1685939252.0496988;8940000.0;1685939252.0496988;8940000.0;
1685939252.2496989;0.0;1685939252.2496989;9060000.0;1685939252.2496989;9060000.0;
1685939252.449699;0.0;1685939252.449699;8220000.0;1685939252.449699;8220000.0;
1685939252.649699;2880000.0;1685939252.649699;3482080.0;1685939252.649699;6362080.0;
1685939252.849699;0.0;1685939252.849699;8400000.0;1685939252.849699;8400000.0;
1685939253.049699;0.0;1685939253.049699;11460000.0;1685939253.049699;11460000.0;
