timestamp,rsrp,bler,mcs
0.0,-60,0.0,9
1.0,-60,0.0,13
2.0,-56,0.19483,14
3.0,-49,0.06894,12
4.0,-49,0.17083,16
5.0,-49,0.06919,15
6.0,-49,0.12228,16
7.0,-50,0.04734,17
8.0,-50,0.14895,14
9.0,-50,0.05268,14
10.0,-49,0.12243,14
11.0,-50,0.04269,16
12.0,-51,0.11127,15
13.0,-51,0.04071,18
14.0,-52,0.1388,13
15.0,-52,0.0484,14
16.0,-53,0.12243,16
17.0,-53,0.04349,18
18.0,-52,0.10711,15
19.0,-51,0.04024,18
20.0,-52,0.10304,14
21.0,-51,0.04194,18
22.0,-51,0.08606,15
23.0,-51,0.15363,17
24.0,-50,0.07629,14
25.0,-50,0.16505,16
26.0,-50,0.09968,15
27.0,-51,0.04589,16
28.0,-51,0.15194,15
29.0,-51,0.05298,15
30.0,-51,0.21494,14
31.0,-51,0.07495,11
32.0,-51,0.05162,17
33.0,-51,0.14136,13
34.0,-50,0.04929,14
35.0,-51,0.14576,14
36.0,-52,0.05082,14
37.0,-52,0.12364,15
38.0,-52,0.0436,17
39.0,-52,0.1338,14
40.0,-53,0.04665,15
41.0,-54,0.0962,18
42.0,-54,0.09109,14
43.0,-55,0.08327,18
44.0,-56,0.08403,15
45.0,-56,0.18111,18
46.0,-56,0.08764,14
47.0,-56,0.06651,18
48.0,-55,0.08796,15
49.0,-56,0.12965,18
50.0,-55,0.08025,14
51.0,-55,0.19664,17
52.0,-55,0.08829,13
53.0,-56,0.04131,18
54.0,-55,0.1668,15
55.0,-55,0.07232,14
56.0,-55,0.064,14
57.0,-60,0.12905,14
58.0,-54,0.04722,15
59.0,-54,0.14619,15
60.0,0,0.05097,15
61.0,-54,0.16821,14
62.0,-55,0.05865,13
63.0,-55,0.08131,17
64.0,-54,0.06109,17
65.0,-53,0.10189,17
66.0,-53,0.05619,17
67.0,-53,0.13379,15
68.0,-53,0.08267,15
69.0,-53,0.05248,15
70.0,-52,0.05217,18
71.0,-52,0.141,12
72.0,-51,0.11232,12
73.0,-51,0.05251,12
74.0,-51,0.16896,17
75.0,-51,0.06959,15
76.0,-52,0.25905,17
77.0,-51,0.10491,11
78.0,-51,0.03658,14
79.0,-51,0.22652,15
80.0,-50,0.0793,12
81.0,-51,0.0534,17
82.0,-52,0.11913,17
83.0,-51,0.14039,16
84.0,-51,0.05201,16
85.0,-51,0.16147,13
86.0,-51,0.0563,13
87.0,-52,0.16815,15
88.0,-52,0.05863,14
89.0,-52,0.154,14
90.0,-51,0.0537,14
91.0,-52,0.14141,14
92.0,0,0.04931,15
93.0,-53,0.08927,18
94.0,-53,0.13188,14
95.0,-54,0.04598,15
96.0,-53,0.07767,18
97.0,-53,0.08886,15
98.0,-54,0.09835,19
99.0,-55,0.11851,12
100.0,-54,0.04132,14
