timestamp,rsrp,bler,mcs
0.0,-61,0.19618,27
1.0,-61,0.34311,17
2.0,-55,0.11963,10
3.0,-50,0.04487,12
4.0,-50,0.01795,22
5.0,-50,0.1732,23
6.0,-50,0.07069,21
7.0,-51,0.06233,23
8.0,-51,0.10651,24
9.0,-50,0.06731,24
10.0,-62,0.1001,24
11.0,-51,0.10156,24
12.0,-63,0.10473,24
13.0,-52,0.11291,24
14.0,-56,0.10816,24
15.0,-65,0.11422,24
16.0,-54,0.12318,24
17.0,-58,0.12191,24
18.0,-52,0.08008,24
19.0,-53,0.06162,24
20.0,-55,0.16682,22
21.0,-52,0.05817,21
22.0,-74,0.0766,25
23.0,-57,0.0695,25
24.0,-63,0.07777,25
25.0,-51,0.10253,25
26.0,-51,0.08301,25
27.0,-52,0.09916,25
28.0,-58,0.07178,25
29.0,-57,0.10459,25
30.0,-61,0.09689,25
31.0,-52,0.06416,25
32.0,-52,0.09208,25
33.0,-51,0.11831,25
34.0,-51,0.13003,25
35.0,-52,0.12812,25
36.0,-53,0.1216,25
37.0,-52,0.11552,25
38.0,-53,0.11843,23
39.0,-53,0.0756,23
40.0,-54,0.06346,24
41.0,-55,0.11946,24
42.0,-57,0.10751,24
43.0,-56,0.06886,24
44.0,-65,0.07907,24
45.0,-57,0.08358,24
46.0,-56,0.1099,24
47.0,-64,0.0901,24
48.0,-62,0.07784,24
49.0,-56,0.11406,24
50.0,-56,0.1247,24
51.0,-58,0.11576,23
52.0,-56,0.10089,23
53.0,-56,0.06726,23
54.0,-56,0.10105,24
55.0,-56,0.12501,22
56.0,-55,0.04978,23
57.0,-55,0.09719,23
58.0,-55,0.09425,23
59.0,-55,0.11511,23
60.0,-55,0.12909,23
61.0,-55,0.09323,23
62.0,-56,0.11304,23
63.0,-55,0.07034,23
64.0,-54,0.10628,23
65.0,-54,0.14345,21
66.0,-54,0.05445,21
67.0,-54,0.08091,22
68.0,-54,0.11869,22
69.0,-54,0.14201,22
70.0,-53,0.07346,20
71.0,-52,0.04814,22
72.0,-52,0.11413,22
73.0,-52,0.11584,22
74.0,-52,0.11973,22
75.0,-52,0.12471,22
76.0,-52,0.10776,20
77.0,-52,0.084,20
78.0,-52,0.07994,20
79.0,-51,0.10021,20
80.0,-51,0.12176,20
81.0,-52,0.11964,19
82.0,-52,0.0746,19
83.0,-52,0.04603,21
84.0,-52,0.12578,20
85.0,-52,0.10041,20
86.0,-52,0.09606,20
87.0,-52,0.04582,21
88.0,-53,0.11074,20
89.0,-52,0.04877,21
90.0,-52,0.11803,22
91.0,-53,0.13387,21
92.0,-53,0.12333,20
93.0,-54,0.11547,20
94.0,-54,0.0867,20
95.0,-55,0.05102,21
96.0,-54,0.0983,22
97.0,-54,0.1027,22
98.0,-55,0.0761,22
99.0,-55,0.10777,22
100.0,-55,0.09197,20
