('192.168.70.129', 51504, '12.1.1.157', 10001);('192.168.70.129', 51504, '12.1.1.157', 10001);
1685896502.750145;169825.81132075473;
1685896502.950145;1283886.3127272727;
1685896503.150145;4174383.2538860105;
1685896503.350145;8419531.145118734;
1685896503.5501451;10486149.0;
1685896503.7501452;14533590.393638171;
1685896503.9501452;21369349.1826742;
1685896504.1501453;24511872.576576576;
1685896504.3501453;22684342.24113475;
1685896504.5501454;24901580.266666666;
1685896504.7501454;23366400.350684933;
1685896504.9501455;24366378.82181818;
1685896505.1501455;23861222.620689657;
1685896505.3501456;23184524.763005782;
1685896505.5501456;24688937.77245509;
1685896505.7501457;23773021.591397848;
1685896505.9501457;23353905.029239766;
1685896506.1501458;24902514.64347826;
1685896506.3501458;23686954.03753351;
1685896506.5501459;24626313.442622952;
1685896506.750146;22332951.172413792;
1685896506.950146;24796349.908496734;
1685896507.150146;23218053.94795539;
1685896507.350146;25025620.825396825;
1685896507.550146;22652096.0;
1685896507.7501462;23934140.474576272;
1685896507.9501462;25086023.111111112;
1685896508.1501462;23520388.671532847;
1685896508.3501463;22245315.14285714;
1685896508.5501463;25090408.039408866;
1685896508.7501464;24667213.47368421;
1685896508.9501464;21731584.0;
1685896509.1501465;23515542.85714286;
1685896509.3501465;24715173.302857142;
1685896509.5501466;21783296.0;
1685896509.7501466;22286629.575757574;
1685896509.9501467;24777785.742222223;
1685896510.1501467;21602525.405405406;
1685896510.3501468;23670887.609756097;
1685896510.5501468;25134003.31707317;
1685896510.7501469;25142656.0;
1685896510.950147;25142656.0;
1685896511.150147;25142656.0;
1685896511.350147;25142656.0;
1685896511.550147;25142656.0;
1685896511.750147;16474691.81754386;
1685896511.9501472;23105906.368231047;
1685896512.1501472;25084736.0;
1685896512.3501472;25084736.0;
1685896512.5501473;23218009.021001615;
1685896512.7501473;18857849.5328084;
1685896512.9501474;18345404.53836478;
1685896513.1501474;12534853.333333334;
1685896513.3501475;12550944.949152542;
1685896513.5501475;12552870.375;
1685896513.7501476;12551929.747126436;
1685896513.9501476;12572431.968063872;
1685896514.1501477;12571469.679389313;
1685896514.3501477;12566607.719298245;
1685896514.5501478;12574462.863232682;
1685896514.7501478;12582603.416216217;
1685896514.9501479;12592862.900343644;
1685896515.150148;12598610.967272727;
1685896515.350148;12601969.805940595;
1685896515.550148;12614388.405797102;
1685896515.750148;12623361.585840708;
1685896515.950148;12629889.532934131;
1685896516.1501482;12636092.450805008;
1685896516.3501482;12653773.88235294;
1685896516.5501482;12652314.940711463;
