('12.1.1.151', 50050, '192.168.70.129', 10001);('12.1.1.151', 50050, '192.168.70.129', 10001);('12.1.1.151', 50050, '192.168.70.129', 10001);total;total;total;
1685805677.854461;1;19;1685805677.854461;4;27;
1685805678.054461;0;62;1685805678.054461;0;62;
1685805678.254461;3;66;1685805678.254461;3;66;
1685805678.454461;15;34;1685805678.454461;15;34;
1685805678.6544611;6;84;1685805678.6544611;6;84;
1685805678.8544612;0;62;1685805678.8544612;0;62;
1685805679.0544612;0;120;1685805679.0544612;0;120;
1685805679.2544613;0;115;1685805679.2544613;0;115;
1685805679.4544613;0;202;1685805679.4544613;0;202;
1685805679.6544614;0;145;1685805679.6544614;0;145;
1685805679.8544614;0;152;1685805679.8544614;0;152;
1685805680.0544615;0;133;1685805680.0544615;0;133;
1685805680.2544615;0;88;1685805680.2544615;0;88;
1685805680.4544616;0;92;1685805680.4544616;0;92;
1685805680.6544616;0;92;1685805680.6544616;0;92;
1685805680.8544617;0;96;1685805680.8544617;0;96;
1685805681.0544617;0;90;1685805681.0544617;0;90;
1685805681.2544618;0;90;1685805681.2544618;0;90;
1685805681.4544618;0;90;1685805681.4544618;0;90;
1685805681.6544619;0;92;1685805681.6544619;0;92;
1685805681.854462;0;88;1685805681.854462;0;88;
1685805682.054462;0;92;1685805682.054462;0;92;
1685805682.254462;0;115;1685805682.254462;0;115;
1685805682.454462;0;126;1685805682.454462;0;126;
1685805682.654462;0;135;1685805682.654462;0;135;
1685805682.8544621;0;148;1685805682.8544621;0;148;
1685805683.0544622;0;165;1685805683.0544622;0;165;
1685805683.2544622;0;152;1685805683.2544622;0;152;
1685805683.4544623;0;155;1685805683.4544623;0;155;
1685805683.6544623;0;168;1685805683.6544623;0;168;
1685805683.8544624;0;155;1685805683.8544624;0;155;
1685805684.0544624;0;158;1685805684.0544624;0;158;
1685805684.2544625;0;149;1685805684.2544625;0;149;
1685805684.4544625;0;160;1685805684.4544625;0;160;
1685805684.6544626;0;147;1685805684.6544626;0;147;
1685805684.8544626;0;157;1685805684.8544626;0;157;
1685805685.0544627;0;152;1685805685.0544627;0;152;
1685805685.2544627;0;157;1685805685.2544627;0;157;
1685805685.4544628;0;143;1685805685.4544628;0;143;
1685805685.6544628;0;160;1685805685.6544628;0;160;
1685805685.8544629;0;117;1685805685.8544629;0;117;
1685805686.054463;0;184;1685805686.054463;0;184;
1685805686.254463;0;149;1685805686.254463;0;149;
1685805686.454463;0;149;1685805686.454463;0;149;
1685805686.654463;0;160;1685805686.654463;0;160;
1685805686.854463;0;149;1685805686.854463;0;149;
1685805687.0544631;0;145;1685805687.0544631;0;145;
1685805687.2544632;0;174;1685805687.2544632;0;174;
1685805687.4544632;0;156;1685805687.4544632;0;156;
1685805687.6544633;0;153;1685805687.6544633;0;153;
1685805687.8544633;0;158;1685805687.8544633;0;158;
1685805688.0544634;0;153;1685805688.0544634;0;153;
1685805688.2544634;0;133;1685805688.2544634;0;133;
1685805688.4544635;0;135;1685805688.4544635;0;135;
1685805688.6544635;0;151;1685805688.6544635;0;151;
1685805688.8544636;0;137;1685805688.8544636;0;137;
1685805689.0544636;0;185;1685805689.0544636;0;185;
1685805689.2544637;0;159;1685805689.2544637;0;159;
1685805689.4544637;0;143;1685805689.4544637;0;143;
1685805689.6544638;0;154;1685805689.6544638;0;154;
1685805689.8544638;0;128;1685805689.8544638;0;128;
1685805690.0544639;0;176;1685805690.0544639;0;176;
1685805690.254464;0;146;1685805690.254464;0;146;
1685805690.454464;0;145;1685805690.454464;0;145;
1685805690.654464;0;145;1685805690.654464;0;145;
1685805690.854464;0;133;1685805690.854464;0;133;
1685805691.054464;0;147;1685805691.054464;0;147;
1685805691.2544641;0;162;1685805691.2544641;0;162;
1685805691.4544642;0;153;1685805691.4544642;0;153;
1685805691.6544642;0;150;1685805691.6544642;0;150;
