('192.168.70.134', 50160, '192.168.70.129', 10001);('192.168.70.134', 50160, '192.168.70.129', 10001);total;total;
1685806878.0063;1088040.0;1685806878.0063;1120320.0;
1685806878.2063;1740000.0;1685806878.2063;1740000.0;
1685806878.4063;1860000.0;1685806878.4063;1860000.0;
1685806878.6063;3420000.0;1685806878.6063;3420000.0;
1685806878.8063002;5160000.0;1685806878.8063002;5160000.0;
1685806879.0063002;6120000.0;1685806879.0063002;6120000.0;
1685806879.2063003;4980000.0;1685806879.2063003;4980000.0;
1685806879.4063003;9120000.0;1685806879.4063003;9120000.0;
1685806879.6063004;10740000.0;1685806879.6063004;10740000.0;
1685806879.8063004;9240000.0;1685806879.8063004;9240000.0;
1685806880.0063004;8400000.0;1685806880.0063004;8400000.0;
1685806880.2063005;7980000.0;1685806880.2063005;7980000.0;
1685806880.4063005;6180000.0;1685806880.4063005;6180000.0;
1685806880.6063006;5340000.0;1685806880.6063006;5340000.0;
1685806880.8063006;5520000.0;1685806880.8063006;5520000.0;
1685806881.0063007;5280000.0;1685806881.0063007;5280000.0;
1685806881.2063007;5520000.0;1685806881.2063007;5520000.0;
1685806881.4063008;5520000.0;1685806881.4063008;5520000.0;
1685806881.6063008;5520000.0;1685806881.6063008;5520000.0;
1685806881.8063009;5340000.0;1685806881.8063009;5340000.0;
1685806882.006301;5520000.0;1685806882.006301;5520000.0;
1685806882.206301;6720000.0;1685806882.206301;6720000.0;
1685806882.406301;7920000.0;1685806882.406301;7920000.0;
1685806882.606301;8760000.0;1685806882.606301;8760000.0;
1685806882.806301;9360000.0;1685806882.806301;9360000.0;
1685806883.0063012;10200000.0;1685806883.0063012;10200000.0;
1685806883.2063012;10620000.0;1685806883.2063012;10620000.0;
1685806883.4063013;9600000.0;1685806883.4063013;9600000.0;
1685806883.6063013;10380000.0;1685806883.6063013;10380000.0;
1685806883.8063014;9900000.0;1685806883.8063014;9900000.0;
1685806884.0063014;10320000.0;1685806884.0063014;10320000.0;
1685806884.2063015;10620000.0;1685806884.2063015;10620000.0;
1685806884.4063015;8400000.0;1685806884.4063015;8400000.0;
1685806884.6063015;10980000.0;1685806884.6063015;10980000.0;
1685806884.8063016;9300000.0;1685806884.8063016;9300000.0;
1685806885.0063016;11100000.0;1685806885.0063016;11100000.0;
