('12.1.1.151', 50226, '192.168.70.129', 10001);('12.1.1.151', 50226, '192.168.70.129', 10001);total;total;
1685807477.916997;2888040.0;1685807477.916997;2912440.0;
1685807478.116997;7200000.0;1685807478.116997;7200000.0;
1685807478.316997;2400000.0;1685807478.316997;2400000.0;
1685807478.516997;2220000.0;1685807478.516997;2220000.0;
1685807478.7169971;3360000.0;1685807478.7169971;3360000.0;
1685807478.9169972;5160000.0;1685807478.9169972;5160000.0;
1685807479.1169972;6720000.0;1685807479.1169972;6720000.0;
1685807479.3169973;7740000.0;1685807479.3169973;7740000.0;
1685807479.5169973;12780000.0;1685807479.5169973;12780000.0;
1685807479.7169974;10920000.0;1685807479.7169974;10920000.0;
1685807479.9169974;8940000.0;1685807479.9169974;8940000.0;
1685807480.1169975;8220000.0;1685807480.1169975;8220000.0;
1685807480.3169975;6360000.0;1685807480.3169975;6360000.0;
1685807480.5169976;5580000.0;1685807480.5169976;5580000.0;
1685807480.7169976;5640000.0;1685807480.7169976;5640000.0;
1685807480.9169977;5640000.0;1685807480.9169977;5640000.0;
1685807481.1169977;5640000.0;1685807481.1169977;5640000.0;
1685807481.3169978;5640000.0;1685807481.3169978;5640000.0;
1685807481.5169978;5160000.0;1685807481.5169978;5160000.0;
1685807481.7169979;5640000.0;1685807481.7169979;5640000.0;
1685807481.916998;6960000.0;1685807481.916998;6960000.0;
1685807482.116998;7740000.0;1685807482.116998;7740000.0;
1685807482.316998;8340000.0;1685807482.316998;8340000.0;
1685807482.516998;9720000.0;1685807482.516998;9720000.0;
1685807482.716998;10200000.0;1685807482.716998;10200000.0;
1685807482.9169981;10440000.0;1685807482.9169981;10440000.0;
1685807483.1169982;10140000.0;1685807483.1169982;10140000.0;
1685807483.3169982;10440000.0;1685807483.3169982;10440000.0;
1685807483.5169983;10680000.0;1685807483.5169983;10680000.0;
1685807483.7169983;9720000.0;1685807483.7169983;9720000.0;
1685807483.9169984;10200000.0;1685807483.9169984;10200000.0;
1685807484.1169984;9660000.0;1685807484.1169984;9660000.0;
1685807484.3169985;11700000.0;1685807484.3169985;11700000.0;
