('12.1.1.151', 50282, '192.168.70.129', 10001);('12.1.1.151', 50282, '192.168.70.129', 10001);('12.1.1.151', 50282, '192.168.70.129', 10001);('12.1.1.151', 50284, '192.168.70.129', 10001);('12.1.1.151', 50284, '192.168.70.129', 10001);('12.1.1.151', 50284, '192.168.70.129', 10001);
;;;120117.877856;18.0;0;
;;;120117.982234;41.0;0;
;;;120118.087312;69.0;0;
;;;120118.192173;111.0;0;
;;;120118.297422;93.0;55.0;
;;;120118.40235;42.0;55.0;
;;;120118.506991;42.0;55.0;
;;;120118.611546;55.0;55.0;
;;;120118.71582;36.0;55.0;
;;;120118.820282;13.0;55.0;
;;;120118.924398;54.0;55.0;
;;;120119.028305;57.0;55.0;
;;;120119.133538;57.0;55.0;
;;;120119.239033;58.0;55.0;
;;;120119.343774;60.0;55.0;
;;;120119.448349;61.0;55.0;
;;;120119.552903;63.0;55.0;
;;;120119.657409;65.0;55.0;
;;;120119.761651;66.0;55.0;
;;;120119.865875;67.0;55.0;
;;;120119.970123;68.0;55.0;
;;;120120.074921;70.0;55.0;
;;;120120.179693;70.0;55.0;
;;;120120.283761;71.0;55.0;
;;;120120.387833;72.0;55.0;
;;;120120.492491;73.0;55.0;
;;;120120.59659;73.0;55.0;
;;;120120.700724;74.0;55.0;
;;;120120.805527;74.0;55.0;
;;;120120.910066;75.0;55.0;
;;;120121.014432;76.0;55.0;
;;;120121.118485;76.0;55.0;
;;;120121.222614;77.0;55.0;
;;;120121.327012;78.0;55.0;
;;;120121.431538;78.0;55.0;
;;;120121.535658;79.0;55.0;
;;;120121.640123;79.0;55.0;
;;;120121.745015;80.0;55.0;
;;;120121.861281;81.0;55.0;
;;;120121.965644;81.0;55.0;
;;;120122.069954;82.0;55.0;
;;;120122.174812;83.0;55.0;
;;;120122.279038;84.0;55.0;
;;;120122.38364;85.0;55.0;
;;;120122.488694;86.0;55.0;
;;;120122.593105;87.0;55.0;
;;;120122.697394;88.0;55.0;
;;;120122.802161;89.0;55.0;
;;;120122.906739;90.0;55.0;
;;;120123.011146;92.0;55.0;
;;;120123.115648;93.0;55.0;
;;;120123.220074;94.0;55.0;
;;;120123.32546;95.0;55.0;
;;;120123.429808;97.0;55.0;
;;;120123.534506;98.0;55.0;
;;;120123.64008;99.0;55.0;
;;;120123.745062;100.0;55.0;
;;;120123.850058;102.0;55.0;
;;;120123.955512;103.0;55.0;
;;;120124.059852;104.0;55.0;
;;;120124.165057;105.0;55.0;
;;;120124.269589;106.0;55.0;
;;;120124.374312;107.0;55.0;
;;;120124.478613;108.0;55.0;
;;;120124.583177;109.0;55.0;
;;;120124.688034;111.0;55.0;
;;;120124.792669;112.0;55.0;
;;;120124.897087;113.0;55.0;
;;;120125.001642;114.0;55.0;
;;;120125.107009;115.0;55.0;
;;;120125.211652;116.0;55.0;
;;;120125.316508;117.0;55.0;
;;;120125.420805;118.0;55.0;
;;;120125.525211;119.0;55.0;
;;;120125.630156;120.0;55.0;
;;;120125.735267;121.0;55.0;
;;;120125.840027;122.0;55.0;
;;;120125.94515;122.0;55.0;
;;;120126.049677;123.0;55.0;
;;;120126.154028;124.0;55.0;
;;;120126.259022;125.0;55.0;
;;;120126.363664;126.0;55.0;
;;;120126.468393;127.0;55.0;
;;;120126.572876;128.0;55.0;
;;;120126.677746;129.0;55.0;
;;;120126.78261;130.0;55.0;
;;;120126.903172;131.0;55.0;
;;;120127.007465;132.0;55.0;
;;;120127.112473;133.0;55.0;
;;;120127.217787;133.0;55.0;
;;;120127.32274;134.0;55.0;
;;;120127.428019;135.0;55.0;
;;;120127.532452;136.0;55.0;
;;;120127.637387;137.0;55.0;
;;;120127.741754;138.0;55.0;
;;;120127.846119;139.0;55.0;
;;;120127.950624;139.0;55.0;
;;;120128.055388;140.0;55.0;
;;;120128.160541;141.0;55.0;
;;;120128.26527;142.0;55.0;
;;;120128.370479;142.0;55.0;
;;;120128.475399;143.0;55.0;
;;;120128.580601;143.0;55.0;
;;;120128.68541;144.0;55.0;
;;;120128.790677;145.0;55.0;
;;;120128.896138;146.0;55.0;
;;;120129.001437;147.0;55.0;
;;;120129.106227;147.0;55.0;
;;;120129.211047;148.0;55.0;
;;;120129.315453;149.0;55.0;
;;;120129.42037;150.0;55.0;
;;;120129.525332;150.0;55.0;
;;;120129.629524;151.0;55.0;
;;;120129.734345;152.0;55.0;
;;;120129.83967;153.0;55.0;
;;;120129.944485;153.0;55.0;
