timestamp,rsrp,bler,mcs
0.0,-61,0.01351,28
1.0,-62,0.33203,19
2.0,-50,0.12139,12
3.0,-50,0.04233,14
4.0,-53,0.02707,24
5.0,-52,0.13426,23
6.0,-51,0.06215,23
7.0,-51,0.08566,24
8.0,-51,0.0906,24
9.0,-50,0.08751,24
10.0,-58,0.11264,24
11.0,-61,0.10277,24
12.0,-52,0.10198,22
13.0,-52,0.07468,23
14.0,-53,0.05657,24
15.0,-58,0.12608,24
16.0,-68,0.10387,24
17.0,-53,0.12418,23
18.0,-54,0.07905,23
19.0,-52,0.06236,23
20.0,-52,0.09804,23
21.0,-52,0.08951,23
22.0,-52,0.08782,23
23.0,-51,0.09458,23
24.0,-51,0.07263,23
25.0,-59,0.07204,24
26.0,-54,0.07689,24
27.0,-55,0.11034,24
28.0,-59,0.1334,24
29.0,-80,0.12258,24
30.0,-52,0.09211,24
31.0,-52,0.08609,24
32.0,-60,0.11028,24
33.0,-51,0.11656,24
34.0,-51,0.1006,24
35.0,-52,0.13161,21
36.0,-52,0.04589,22
37.0,-61,0.0643,23
38.0,-53,0.1422,23
39.0,-53,0.06714,22
40.0,-54,0.07453,24
41.0,-54,0.12141,24
42.0,-63,0.11997,24
43.0,-79,0.11794,24
44.0,-59,0.11804,24
45.0,-64,0.09987,24
46.0,-63,0.11341,24
47.0,-65,0.10749,24
48.0,-56,0.09274,22
49.0,-56,0.05579,23
50.0,-55,0.11349,24
51.0,-56,0.12774,24
52.0,-66,0.14916,24
53.0,-56,0.07478,22
54.0,-56,0.08157,24
55.0,-64,0.1248,22
56.0,-55,0.05059,22
57.0,-55,0.15851,22
58.0,-55,0.06492,22
59.0,-55,0.06342,23
60.0,-57,0.08941,23
61.0,-67,0.08088,23
62.0,-56,0.10457,24
63.0,-55,0.09699,23
64.0,-54,0.0813,23
65.0,-54,0.09034,23
66.0,-58,0.09201,23
67.0,-54,0.08613,23
68.0,-54,0.07717,23
69.0,-53,0.13039,23
70.0,-53,0.13261,22
71.0,-52,0.1102,22
72.0,-52,0.07163,22
73.0,-55,0.07804,23
74.0,-59,0.14814,23
75.0,-52,0.07003,21
76.0,-52,0.09073,22
77.0,-52,0.11892,21
78.0,-52,0.09236,21
79.0,-51,0.13837,21
80.0,-51,0.14545,20
81.0,-52,0.08547,19
82.0,-52,0.04281,21
83.0,-52,0.06825,21
84.0,-52,0.08122,21
85.0,-52,0.07588,21
86.0,-52,0.05635,21
87.0,-52,0.08129,22
88.0,-53,0.10164,22
89.0,-52,0.08953,22
90.0,-52,0.07265,22
91.0,-52,0.09575,22
92.0,-54,0.11127,21
93.0,-54,0.10026,21
94.0,-54,0.0657,21
95.0,-54,0.13893,24
96.0,-54,0.0934,22
97.0,-54,0.05053,22
98.0,-55,0.13792,23
99.0,-55,0.12094,23
100.0,-55,0.10756,21
