('192.168.70.129', 51092, '12.1.1.152', 10000);('192.168.70.129', 51092, '12.1.1.152', 10000);('192.168.70.129', 51092, '12.1.1.152', 10000);total;total;total;
0.060958147048950195;1;17;-0.33904194831848145;0;0;
0.260958194732666;0;43;-0.13904190063476562;0;0;
0.46095824241638184;0;47;0.060958147048950195;1;17;
0.6609582901000977;0;67;0.260958194732666;0;43;
0.8609583377838135;0;73;0.46095824241638184;0;47;
1.0609583854675293;0;80;0.6609582901000977;0;67;
1.2609584331512451;0;88;0.8609583377838135;0;73;
1.460958480834961;0;93;1.0609583854675293;0;80;
1.6609585285186768;0;65;1.2609584331512451;0;88;
1.8609585762023926;0;47;1.460958480834961;0;93;
2.0609586238861084;0;86;1.6609585285186768;0;65;
2.260958671569824;0;90;1.8609585762023926;0;47;
2.46095871925354;0;93;2.0609586238861084;0;86;
2.660958766937256;0;90;2.260958671569824;0;90;
2.8609588146209717;0;86;2.46095871925354;0;93;
3.0609588623046875;0;96;2.660958766937256;0;90;
3.2609589099884033;0;84;2.8609588146209717;0;86;
3.460958957672119;0;92;3.0609588623046875;0;96;
3.660959005355835;0;62;3.2609589099884033;0;84;
3.860959053039551;0;55;3.460958957672119;0;92;
4.060959100723267;0;55;3.660959005355835;0;62;
4.260959148406982;0;43;3.860959053039551;0;55;
4.460959196090698;0;37;4.060959100723267;0;55;
4.660959243774414;0;38;4.260959148406982;0;43;
4.86095929145813;0;43;4.460959196090698;0;37;
5.060959339141846;0;46;4.660959243774414;0;38;
5.2609593868255615;0;37;4.86095929145813;0;43;
5.460959434509277;0;52;5.060959339141846;0;46;
5.660959482192993;0;42;5.2609593868255615;0;37;
5.860959529876709;0;55;5.460959434509277;0;52;
6.060959577560425;0;47;5.660959482192993;0;42;
6.260959625244141;0;42;5.860959529876709;0;55;
6.4609596729278564;0;49;6.060959577560425;0;47;
6.660959720611572;0;44;6.260959625244141;0;42;
6.860959768295288;0;44;6.4609596729278564;0;49;
7.060959815979004;0;46;6.660959720611572;0;44;
7.26095986366272;0;40;6.860959768295288;0;44;
7.4609599113464355;0;51;7.060959815979004;0;46;
7.660959959030151;0;46;7.26095986366272;0;40;
7.860960006713867;0;43;7.4609599113464355;0;51;
8.060960054397583;0;44;7.660959959030151;0;46;
8.260960102081299;0;44;7.860960006713867;0;43;
8.460960149765015;0;44;8.060960054397583;0;44;
8.66096019744873;0;41;8.260960102081299;0;44;
8.860960245132446;0;40;8.460960149765015;0;44;
9.060960292816162;0;43;8.66096019744873;0;41;
9.260960340499878;0;46;8.860960245132446;0;40;
9.460960388183594;0;40;9.060960292816162;0;43;
9.66096043586731;0;36;9.260960340499878;0;46;
9.860960483551025;0;43;9.460960388183594;0;40;
10.060960531234741;0;54;9.66096043586731;0;36;
10.260960578918457;0;48;9.860960483551025;0;43;
10.460960626602173;0;57;10.060960531234741;0;54;
10.660960674285889;0;53;10.260960578918457;0;48;
