timestamp,rsrp,bler,mcs
0.0,0,0.0,13
1.0,-60,0.0694,21
2.0,-48,0.06438,21
3.0,-48,0.05825,21
4.0,-48,0.10236,23
5.0,-48,0.14877,21
6.0,-49,0.12972,21
7.0,-49,0.11485,21
8.0,-49,0.11759,21
9.0,-48,0.11785,21
10.0,-48,0.11226,21
11.0,-49,0.08023,21
12.0,-50,0.07515,21
13.0,-51,0.06917,21
14.0,-51,0.05416,21
15.0,-52,0.06593,22
16.0,-52,0.08513,22
17.0,-51,0.0941,22
18.0,-50,0.09591,22
19.0,-50,0.09554,22
20.0,-50,0.09931,22
21.0,-50,0.0957,22
22.0,-50,0.09335,22
23.0,-49,0.09233,22
24.0,-49,0.10751,22
25.0,-49,0.12319,22
26.0,-50,0.12061,22
27.0,-50,0.09984,22
28.0,-50,0.10531,22
29.0,-50,0.09758,22
30.0,-50,0.09295,22
31.0,-50,0.09367,22
32.0,-50,0.10448,22
33.0,-49,0.11221,22
34.0,-50,0.11296,22
35.0,-51,0.08927,22
36.0,-51,0.08711,22
37.0,-51,0.07696,22
38.0,-51,0.08041,22
39.0,-52,0.07856,22
40.0,-53,0.08635,22
41.0,-54,0.09381,22
42.0,-54,0.10959,22
43.0,-54,0.11289,22
44.0,-55,0.11201,22
45.0,-55,0.10374,22
46.0,-55,0.11553,22
47.0,-54,0.11419,22
48.0,-55,0.10434,22
49.0,-54,0.10562,22
50.0,-54,0.11773,22
51.0,-54,0.10275,22
52.0,-54,0.11058,22
53.0,-54,0.10559,22
54.0,-54,0.10805,22
55.0,-54,0.11598,22
56.0,-53,0.10301,22
57.0,-53,0.10209,22
58.0,-53,0.09922,22
59.0,-53,0.09794,22
60.0,-53,0.09822,22
61.0,-53,0.09844,22
62.0,-54,0.1043,22
63.0,-53,0.10089,22
64.0,-52,0.09216,22
65.0,-52,0.0885,22
66.0,-52,0.08348,22
67.0,-52,0.0773,22
68.0,-52,0.08312,22
69.0,-51,0.07971,22
70.0,-51,0.08408,22
71.0,-50,0.09073,22
72.0,-50,0.09972,22
73.0,-50,0.09906,22
74.0,-50,0.10322,22
75.0,-51,0.08774,22
76.0,-50,0.08838,22
77.0,-50,0.09722,22
78.0,-50,0.09851,22
79.0,-49,0.09701,22
80.0,-50,0.09633,22
81.0,-51,0.09882,22
82.0,-50,0.09118,22
83.0,-50,0.09401,22
84.0,-50,0.08854,22
85.0,-50,0.08516,22
86.0,-51,0.0798,22
87.0,-51,0.07794,22
88.0,-51,0.07638,22
89.0,-50,0.08694,22
90.0,-51,0.0842,22
91.0,-52,0.08585,22
92.0,-52,0.09112,22
93.0,-52,0.08808,22
94.0,-53,0.07891,22
95.0,-52,0.08161,22
96.0,-52,0.07598,22
97.0,-52,0.072,22
98.0,-54,0.10534,22
99.0,-53,0.10866,22
100.0,-54,0.08011,20
