timestamp,rsrp,bler,mcs
0.0,-63,0.16667,6
1.0,-63,0.17281,6
2.0,-65,0.43534,6
3.0,-53,0.16272,6
4.0,-52,0.05674,6
5.0,-52,0.13131,6
6.0,-52,0.04579,7
7.0,-53,0.10235,6
8.0,-53,0.11301,8
9.0,-53,0.06071,7
10.0,-52,0.11539,6
11.0,-53,0.04431,8
12.0,-53,0.077,7
13.0,-54,0.12345,7
14.0,-54,0.0743,8
15.0,-55,0.07492,7
16.0,-56,0.11768,7
17.0,-56,0.07726,8
18.0,-55,0.07958,7
19.0,-66,0.13325,7
20.0,-55,0.04646,8
21.0,-54,0.08425,6
22.0,-57,0.15795,7
23.0,-54,0.05507,7
24.0,-53,0.07317,7
25.0,-53,0.13158,6
26.0,-53,0.04588,7
27.0,-53,0.09289,6
28.0,306783332,0.14574,8
29.0,-54,0.06216,7
30.0,-54,0.10998,7
31.0,-54,0.11835,8
32.0,-54,0.0861,6
33.0,-68,0.1523,7
34.0,-53,0.0531,7
35.0,-53,0.09781,6
36.0,-54,0.13323,8
37.0,-55,0.06813,6
38.0,-55,0.11162,7
39.0,-55,0.08633,8
40.0,-55,0.08671,6
41.0,-56,0.17108,7
42.0,-57,0.0604,6
43.0,-58,0.10668,7
44.0,-58,0.07954,8
45.0,-59,0.07253,6
46.0,-65,0.14294,6
47.0,-59,0.04984,7
48.0,-58,0.09008,7
49.0,-62,0.15743,6
50.0,-58,0.05489,6
51.0,-58,0.09655,6
52.0,-58,0.13694,8
53.0,-58,0.07648,6
54.0,-58,0.08963,7
55.0,-58,0.14388,6
56.0,-58,0.08892,6
57.0,-57,0.10776,6
58.0,-57,0.19837,6
59.0,-57,0.18801,6
60.0,-57,0.19817,6
61.0,-57,0.18591,6
62.0,-57,0.12625,6
63.0,-58,0.0736,6
64.0,-57,0.10856,6
65.0,-56,0.28294,6
66.0,-56,0.40318,6
67.0,-56,0.41128,6
68.0,-56,0.41902,6
69.0,-56,0.41618,6
70.0,-55,0.50089,6
71.0,-55,0.61093,6
72.0,-54,0.55505,6
73.0,-54,0.50525,6
74.0,-54,0.45821,6
75.0,-54,0.44287,6
76.0,-54,0.52039,6
77.0,-54,0.58919,6
78.0,-54,0.64627,6
79.0,-54,0.68787,6
80.0,-53,0.70835,6
81.0,-53,0.83612,6
82.0,-54,0.85196,6
83.0,-54,0.76502,6
84.0,-54,0.71347,6
85.0,-54,0.70468,6
86.0,-54,0.68816,6
87.0,-54,0.67503,6
88.0,-55,0.66786,6
89.0,-55,0.66931,6
90.0,-54,0.55489,6
91.0,-54,0.56552,6
92.0,-67,0.64177,6
93.0,-56,0.66281,6
94.0,-56,0.6443,6
95.0,-56,0.65625,6
96.0,-56,0.54947,6
97.0,-56,0.44543,6
98.0,-57,0.36329,6
99.0,-57,0.34412,6
100.0,-57,0.46443,6
