('12.1.1.152', 37194, '192.168.70.129', 10000);('12.1.1.152', 37194, '192.168.70.129', 10000);('12.1.1.152', 37194, '192.168.70.129', 10000);('12.1.1.152', 37196, '192.168.70.129', 10000);('12.1.1.152', 37196, '192.168.70.129', 10000);('12.1.1.152', 37196, '192.168.70.129', 10000);
;;;1687545986.8589876;10.0;0;
;;;1687545986.8624678;10.0;0;
;;;1687545986.8659637;10.0;0;
;;;1687545986.8694613;10.0;0;
;;;1687545986.8728898;10.0;0;
;;;1687545986.8764236;10.0;0;
;;;1687545986.8799062;10.0;0;
;;;1687545986.8834422;10.0;0;
;;;1687545986.8869636;10.0;0;
;;;1687545986.8904395;10.0;0;
;;;1687545986.8938885;10.0;0;
;;;1687545986.8973525;10.0;0;
;;;1687545986.9007745;10.0;0;
;;;1687545986.9042635;10.0;0;
;;;1687545986.90778;10.0;0;
;;;1687545986.911245;10.0;0;
;;;1687545986.9147637;10.0;0;
;;;1687545986.918295;10.0;0;
;;;1687545986.9217172;10.0;0;
;;;1687545986.9251814;10.0;0;
;;;1687545986.9286559;10.0;0;
;;;1687545986.9324026;12.0;0;
;;;1687545986.9359696;12.0;0;
;;;1687545986.9395072;13.0;0;
;;;1687545986.943537;15.0;0;
;;;1687545986.9471543;15.0;0;
;;;1687545986.9506307;16.0;0;
;;;1687545986.9541671;16.0;0;
;;;1687545986.9576898;17.0;0;
;;;1687545986.9611578;17.0;0;
;;;1687545986.964912;18.0;0;
;;;1687545986.9686477;18.0;0;
;;;1687545986.972626;18.0;0;
;;;1687545986.9760957;18.0;0;
;;;1687545986.979772;18.0;0;
;;;1687545986.983563;18.0;0;
;;;1687545986.9874482;18.0;0;
;;;1687545986.9910333;18.0;0;
;;;1687545986.9947324;18.0;0;
;;;1687545986.998409;18.0;0;
;;;1687545987.0022814;18.0;0;
;;;1687545987.0059202;18.0;0;
;;;1687545987.009711;18.0;0;
;;;1687545987.0135918;30.0;0;
;;;1687545987.0176072;34.0;0;
;;;1687545987.0213602;34.0;0;
;;;1687545987.0252883;34.0;0;
;;;1687545987.028712;34.0;0;
;;;1687545987.0321546;34.0;0;
;;;1687545987.0356445;34.0;0;
;;;1687545987.0392044;34.0;0;
;;;1687545987.0429726;35.0;0;
;;;1687545987.0464113;37.0;0;
;;;1687545987.0499961;37.0;0;
;;;1687545987.053485;37.0;0;
;;;1687545987.0572445;38.0;0;
;;;1687545987.060726;40.0;0;
;;;1687545987.064775;41.0;0;
;;;1687545987.0685394;41.0;0;
;;;1687545987.0721214;41.0;0;
;;;1687545987.0756128;41.0;0;
;;;1687545987.079607;41.0;0;
;;;1687545987.0842125;41.0;0;
;;;1687545987.0879169;41.0;0;
;;;1687545987.0915246;41.0;0;
;;;1687545987.095209;41.0;0;
;;;1687545987.0987337;41.0;0;
;;;1687545987.1022868;41.0;0;
;;;1687545987.1058443;41.0;0;
;;;1687545987.1096022;41.0;0;
;;;1687545987.113102;42.0;0;
;;;1687545987.1166139;45.0;0;
;;;1687545987.1202567;49.0;0;
;;;1687545987.1238046;49.0;0;
;;;1687545987.1276588;49.0;0;
;;;1687545987.1311927;49.0;0;
;;;1687545987.1346796;49.0;0;
;;;1687545987.1383185;51.0;0;
;;;1687545987.1418705;51.0;0;
;;;1687545987.1454027;51.0;0;
;;;1687545987.1489315;51.0;0;
;;;1687545987.1524277;51.0;0;
;;;1687545987.1559415;51.0;0;
;;;1687545987.1600156;51.0;0;
;;;1687545987.1637604;51.0;0;
;;;1687545987.1673844;51.0;0;
;;;1687545987.1712742;57.0;0;
;;;1687545987.1749985;57.0;0;
;;;1687545987.1795373;57.0;0;
;;;1687545987.1832714;57.0;0;
;;;1687545987.1866786;59.0;0;
;;;1687545987.1900606;59.0;0;
;;;1687545987.1934228;59.0;0;
;;;1687545987.1968899;59.0;0;
;;;1687545987.2003748;59.0;0;
;;;1687545987.203769;59.0;0;
;;;1687545987.2071147;62.0;0;
;;;1687545987.210709;62.0;0;
;;;1687545987.2146466;62.0;0;
;;;1687545987.2183068;62.0;0;
;;;1687545987.2216694;62.0;0;
;;;1687545987.2250774;62.0;0;
;;;1687545987.2285886;62.0;0;
;;;1687545987.2319424;65.0;0;
;;;1687545987.2353003;65.0;0;
;;;1687545987.2386577;65.0;0;
;;;1687545987.2420158;65.0;0;
;;;1687545987.2454333;67.0;0;
;;;1687545987.2487643;67.0;0;
;;;1687545987.252141;67.0;0;
;;;1687545987.255492;67.0;0;
;;;1687545987.2588806;67.0;0;
;;;1687545987.2622616;67.0;0;
;;;1687545987.2656186;67.0;0;
;;;1687545987.2689557;67.0;0;
;;;1687545987.2723188;67.0;0;
;;;1687545987.2756975;67.0;0;
;;;1687545987.2790873;67.0;0;
;;;1687545987.2825637;68.0;0;
