('192.168.70.134', 37196, '192.168.70.129', 10000);('192.168.70.134', 37196, '192.168.70.129', 10000);total;total;
1687545986.996737;488040.0;1687545986.996737;520640.0;
1687545987.196737;2460000.0;1687545987.196737;2460000.0;
1687545987.396737;3780000.0;1687545987.396737;3780000.0;
1687545987.5967371;4980000.0;1687545987.5967371;4980000.0;
1687545987.7967372;4800000.0;1687545987.7967372;4800000.0;
1687545987.9967372;4080000.0;1687545987.9967372;4080000.0;
1687545988.1967373;3540000.0;1687545988.1967373;3540000.0;
1687545988.3967373;3600000.0;1687545988.3967373;3600000.0;
1687545988.5967374;3720000.0;1687545988.5967374;3720000.0;
1687545988.7967374;3662080.0;1687545988.7967374;3662080.0;
1687545988.9967375;3720000.0;1687545988.9967375;3720000.0;
1687545989.1967375;3780000.0;1687545989.1967375;3780000.0;
1687545989.3967376;4560000.0;1687545989.3967376;4560000.0;
1687545989.5967376;5280000.0;1687545989.5967376;5280000.0;
1687545989.7967377;3780000.0;1687545989.7967377;3780000.0;
1687545989.9967377;4140000.0;1687545989.9967377;4140000.0;
1687545990.1967378;4920000.0;1687545990.1967378;4920000.0;
1687545990.3967378;5580000.0;1687545990.3967378;5580000.0;
1687545990.5967379;3960000.0;1687545990.5967379;3960000.0;
1687545990.796738;5220000.0;1687545990.796738;5220000.0;
1687545990.996738;5400000.0;1687545990.996738;5400000.0;
1687545991.196738;5820000.0;1687545991.196738;5820000.0;
1687545991.396738;4560000.0;1687545991.396738;4560000.0;
1687545991.596738;5820000.0;1687545991.596738;5820000.0;
1687545991.7967381;5580000.0;1687545991.7967381;5580000.0;
1687545991.9967382;4920000.0;1687545991.9967382;4920000.0;
1687545992.1967382;4800000.0;1687545992.1967382;4800000.0;
1687545992.3967383;3960000.0;1687545992.3967383;3960000.0;
1687545992.5967383;4380000.0;1687545992.5967383;4380000.0;
1687545992.7967384;5760000.0;1687545992.7967384;5760000.0;
1687545992.9967384;5340000.0;1687545992.9967384;5340000.0;
1687545993.1967385;4560000.0;1687545993.1967385;4560000.0;
1687545993.3967385;5400000.0;1687545993.3967385;5400000.0;
1687545993.5967386;5160000.0;1687545993.5967386;5160000.0;
1687545993.7967386;5580000.0;1687545993.7967386;5580000.0;
1687545993.9967387;5880000.0;1687545993.9967387;5880000.0;
1687545994.1967387;4740000.0;1687545994.1967387;4740000.0;
1687545994.3967388;5700000.0;1687545994.3967388;5700000.0;
1687545994.5967388;3540000.0;1687545994.5967388;3540000.0;
1687545994.7967389;5340000.0;1687545994.7967389;5340000.0;
1687545994.996739;4020000.0;1687545994.996739;4020000.0;
1687545995.196739;3780000.0;1687545995.196739;3780000.0;
1687545995.396739;3660000.0;1687545995.396739;3660000.0;
1687545995.596739;5142400.0;1687545995.596739;5142400.0;
1687545995.796739;5400000.0;1687545995.796739;5400000.0;
1687545995.9967391;5280000.0;1687545995.9967391;5280000.0;
1687545996.1967392;4380000.0;1687545996.1967392;4380000.0;
1687545996.3967392;4860000.0;1687545996.3967392;4860000.0;
1687545996.5967393;2880000.0;1687545996.5967393;2880000.0;
1687545996.7967393;4260000.0;1687545996.7967393;4260000.0;
1687545996.9967394;4620000.0;1687545996.9967394;4620000.0;
1687545997.1967394;5640000.0;1687545997.1967394;5640000.0;
1687545997.3967395;5280000.0;1687545997.3967395;5280000.0;
1687545997.5967395;5280000.0;1687545997.5967395;5280000.0;
1687545997.7967396;5220000.0;1687545997.7967396;5220000.0;
1687545997.9967396;5400000.0;1687545997.9967396;5400000.0;
1687545998.1967397;5580000.0;1687545998.1967397;5580000.0;
1687545998.3967397;2580000.0;1687545998.3967397;2580000.0;
1687545998.5967398;3720000.0;1687545998.5967398;3720000.0;
1687545998.7967398;4800000.0;1687545998.7967398;4800000.0;
1687545998.9967399;5340000.0;1687545998.9967399;5340000.0;
1687545999.19674;5700000.0;1687545999.19674;5700000.0;
1687545999.39674;5679840.0;1687545999.39674;5679840.0;
1687545999.59674;5580000.0;1687545999.59674;5580000.0;
1687545999.79674;4500000.0;1687545999.79674;4500000.0;
1687545999.99674;4920000.0;1687545999.99674;4920000.0;
1687546000.1967402;5820000.0;1687546000.1967402;5820000.0;
1687546000.3967402;5880000.0;1687546000.3967402;5880000.0;
1687546000.5967402;5520000.0;1687546000.5967402;5520000.0;
1687546000.7967403;3840000.0;1687546000.7967403;3840000.0;
1687546000.9967403;4080000.0;1687546000.9967403;4080000.0;
1687546001.1967404;5040000.0;1687546001.1967404;5040000.0;
1687546001.3967404;4740000.0;1687546001.3967404;4740000.0;
1687546001.5967405;6000000.0;1687546001.5967405;6000000.0;
1687546001.7967405;5100000.0;1687546001.7967405;5100000.0;
1687546001.9967406;4980000.0;1687546001.9967406;4980000.0;
1687546002.1967406;5160000.0;1687546002.1967406;5160000.0;
1687546002.3967407;5340000.0;1687546002.3967407;5340000.0;
1687546002.5967407;4320000.0;1687546002.5967407;4320000.0;
1687546002.7967408;3360000.0;1687546002.7967408;3360000.0;
1687546002.9967408;6060000.0;1687546002.9967408;6060000.0;
1687546003.1967409;4620000.0;1687546003.1967409;4620000.0;
1687546003.396741;4740000.0;1687546003.396741;4740000.0;
1687546003.596741;5464640.0;1687546003.596741;5464640.0;
