timestamp,rsrp,bler,mcs
0.0,-61,0.00351,28
1.0,-62,0.42783,24
2.0,-50,0.20025,14
3.0,-50,0.07081,12
4.0,-50,0.03249,18
5.0,-51,0.0554,25
6.0,-51,0.09601,25
7.0,-51,0.11182,25
8.0,-51,0.12478,25
9.0,-50,0.12433,24
10.0,-50,0.10648,24
11.0,165191002,0.09528,24
12.0,-61,0.08857,24
13.0,-52,0.07577,24
14.0,-54,0.0614,24
15.0,-55,0.08942,24
16.0,-62,0.08819,24
17.0,-53,0.09197,24
18.0,-52,0.14194,24
19.0,-141,0.09873,24
20.0,-68,0.14423,22
21.0,-52,0.05142,22
22.0,-52,0.21367,22
23.0,-51,0.0745,19
24.0,-51,0.05415,25
25.0,-63,0.12219,25
26.0,-51,0.09095,25
27.0,-52,0.10099,25
28.0,-52,0.09732,25
29.0,-52,0.10587,25
30.0,-52,0.13079,25
31.0,-64,0.15361,23
32.0,-52,0.06226,23
33.0,-55,0.06379,23
34.0,-51,0.05392,24
35.0,-52,0.07413,24
36.0,-53,0.11112,24
37.0,-96,0.11216,24
38.0,-60,0.11463,24
39.0,-59,0.12087,24
40.0,-54,0.1492,24
41.0,-66,0.10035,24
42.0,-64,0.1063,24
43.0,-56,0.09507,24
44.0,-58,0.07906,24
45.0,-57,0.10559,24
46.0,-57,0.102,24
47.0,-56,0.11381,24
48.0,-56,0.14219,22
49.0,-56,0.05566,22
50.0,-56,0.10306,24
51.0,-56,0.14895,23
52.0,-56,0.06384,23
53.0,-56,0.0695,23
54.0,-56,0.07921,23
55.0,-56,0.0685,23
56.0,-55,0.07777,23
57.0,-55,0.10329,23
58.0,-55,0.09811,23
59.0,-55,0.13332,23
60.0,-55,0.11399,23
61.0,-55,0.12092,23
62.0,-56,0.102,23
63.0,-59,0.10521,23
64.0,-54,0.1099,22
65.0,-54,0.07013,22
66.0,-54,0.05621,22
67.0,-54,0.05838,22
68.0,-54,0.05396,22
69.0,-53,0.07972,22
70.0,-53,0.11454,22
71.0,-52,0.11033,22
72.0,-52,0.08292,22
73.0,-52,0.07636,22
74.0,-52,0.06318,22
75.0,-52,0.08294,22
76.0,-52,0.15525,20
77.0,-52,0.06048,20
78.0,-52,0.05979,21
79.0,-51,0.1202,21
80.0,-51,0.12279,19
81.0,-52,0.0618,19
82.0,-52,0.09007,21
83.0,-52,0.0751,21
84.0,-52,0.06204,21
85.0,-52,0.06925,21
86.0,-52,0.05372,21
87.0,-53,0.10809,22
88.0,-53,0.1228,22
89.0,-52,0.09501,22
90.0,-52,0.11087,22
91.0,-53,0.13184,21
92.0,-54,0.08984,21
93.0,-54,0.07354,21
94.0,-54,0.05389,21
95.0,-54,0.07301,22
96.0,-54,0.05643,22
97.0,-54,0.05282,22
98.0,-55,0.05367,22
99.0,-55,0.07905,22
100.0,-55,0.15821,21
