timestamp,rsrp,bler,mcs
0.0,-59,0.0,9
1.0,-60,0.0,15
2.0,-61,0.10993,21
3.0,-48,0.12168,21
4.0,-48,0.09933,21
5.0,-48,0.08312,21
6.0,-49,0.10944,21
7.0,-49,0.11945,21
8.0,-49,0.11993,21
9.0,-49,0.11679,21
10.0,-48,0.12897,21
11.0,-49,0.12665,21
12.0,-50,0.10656,21
13.0,-50,0.08723,21
14.0,-51,0.07681,21
15.0,-52,0.06732,21
16.0,-52,0.06646,21
17.0,-52,0.06043,21
18.0,-52,0.05318,22
19.0,-50,0.08893,22
20.0,-51,0.10018,22
21.0,-51,0.10136,22
22.0,-50,0.11131,22
23.0,-50,0.1068,22
24.0,-50,0.12159,22
25.0,-49,0.1314,22
26.0,-49,0.12419,22
27.0,-49,0.11824,22
28.0,-50,0.11928,22
29.0,-50,0.1188,22
30.0,-50,0.10864,22
31.0,-50,0.10875,22
32.0,-50,0.10815,22
33.0,-50,0.10156,22
34.0,-49,0.11534,22
35.0,-50,0.12584,22
36.0,-50,0.10316,22
37.0,-51,0.09675,22
38.0,-52,0.0931,22
39.0,-51,0.09418,22
40.0,-51,0.0918,22
41.0,-52,0.09982,22
42.0,-54,0.13131,22
43.0,-54,0.13892,22
44.0,-55,0.12435,22
45.0,-55,0.13259,22
46.0,-55,0.12665,22
47.0,-55,0.13036,22
48.0,-55,0.11922,22
49.0,-54,0.12183,22
50.0,-54,0.12297,22
51.0,-54,0.13351,22
52.0,-54,0.13992,22
53.0,-55,0.13215,22
54.0,-55,0.122,22
55.0,-54,0.14606,22
56.0,-54,0.1334,22
57.0,-53,0.13662,22
58.0,-53,0.12092,22
59.0,-53,0.11475,22
60.0,-53,0.11591,22
61.0,-53,0.11717,22
62.0,-54,0.13283,22
63.0,-54,0.13869,22
64.0,-54,0.13732,22
65.0,-52,0.09253,21
66.0,-52,0.07129,21
67.0,-52,0.05724,21
68.0,-52,0.0797,22
69.0,-52,0.10493,22
70.0,-52,0.1035,22
71.0,-51,0.09107,22
72.0,-51,0.1028,22
73.0,-50,0.12105,22
74.0,-50,0.10826,22
75.0,-50,0.11846,22
76.0,-51,0.10915,22
77.0,-51,0.10159,22
78.0,-50,0.1107,22
79.0,-50,0.101,22
80.0,-50,0.10951,22
81.0,-49,0.10883,22
82.0,-50,0.10686,22
83.0,-50,0.103,22
84.0,-50,0.1095,22
85.0,-50,0.1055,22
86.0,-50,0.10532,22
87.0,-50,0.10225,22
88.0,-51,0.10395,22
89.0,-51,0.09348,22
90.0,-51,0.09432,22
91.0,-50,0.10483,22
92.0,-52,0.09977,22
93.0,-52,0.09968,22
94.0,-52,0.10377,22
95.0,-52,0.10155,22
96.0,-52,0.10989,22
97.0,-52,0.10238,22
98.0,-53,0.10552,22
99.0,-54,0.12013,22
100.0,-54,0.12631,22
