timestamp,rsrp,bler,mcs
0.0,-60,0.06327,28
1.0,-61,0.43548,24
2.0,-54,0.30505,14
3.0,-49,0.14123,6
4.0,-49,0.052,6
5.0,-54,0.09546,7
6.0,-50,0.14901,8
7.0,-50,0.06913,6
8.0,-50,0.12471,7
9.0,-50,0.08932,8
10.0,-56,0.07705,7
11.0,-50,0.13243,7
12.0,-50,0.04618,8
13.0,-51,0.08798,7
14.0,-53,0.1659,7
15.0,-53,0.05785,7
16.0,-53,0.11284,6
17.0,-71,0.09319,8
18.0,-52,0.07681,6
19.0,165191002,0.18265,7
20.0,-52,0.06943,6
21.0,-51,0.13304,7
22.0,-51,0.04639,8
23.0,-51,0.07933,7
24.0,-50,0.13215,7
25.0,-50,0.04892,8
26.0,-50,0.0798,6
27.0,-51,0.15634,6
28.0,-51,0.05451,6
29.0,-58,0.10481,6
30.0,-51,0.07775,8
31.0,-51,0.08968,6
32.0,-56,0.16113,7
33.0,-51,0.06012,7
34.0,-50,0.09893,6
35.0,-51,0.1145,8
36.0,-52,0.07028,7
37.0,-52,0.14438,6
38.0,-53,0.05034,6
39.0,-52,0.09202,7
40.0,-53,0.13897,7
41.0,-53,0.05001,7
42.0,-55,0.08878,6
43.0,-55,0.13699,8
44.0,-56,0.0714,6
45.0,-56,0.1414,6
46.0,-56,0.0493,7
47.0,-63,0.09022,6
48.0,-55,0.16328,7
49.0,-56,0.05795,7
50.0,-55,0.08977,7
51.0,-55,0.18064,7
52.0,-55,0.0637,6
53.0,-56,0.13381,6
54.0,-55,0.04666,7
55.0,-55,0.10623,6
56.0,-55,0.07408,8
57.0,-54,0.08381,6
58.0,-54,0.18402,7
59.0,-54,0.06416,6
60.0,-54,0.13919,6
61.0,-54,0.04993,7
62.0,-55,0.07995,7
63.0,-55,0.1326,7
64.0,-58,0.04624,8
65.0,-53,0.07661,7
66.0,-53,0.17637,6
67.0,-53,0.06149,6
68.0,-53,0.15043,6
69.0,-53,0.05245,6
70.0,-52,0.09923,6
71.0,-52,0.09179,8
72.0,-51,0.07226,6
73.0,-57,0.1758,6
74.0,-51,0.0613,6
75.0,-51,0.12036,6
76.0,-52,0.04197,8
77.0,-51,0.0793,7
78.0,-51,0.14431,6
79.0,-51,0.05233,6
80.0,-50,0.10111,6
81.0,-51,0.12889,8
82.0,-52,0.068,6
83.0,-57,0.11713,7
84.0,-51,0.09301,8
85.0,-51,0.08197,6
86.0,-51,0.1387,7
87.0,-51,0.04908,8
88.0,-52,0.07937,7
89.0,-52,0.1427,7
90.0,-51,0.05655,7
91.0,-53,0.0999,6
92.0,-53,0.12192,8
93.0,-53,0.08157,6
94.0,-53,0.14603,7
95.0,-54,0.05366,7
96.0,-59,0.0964,6
97.0,-53,0.12482,8
98.0,-54,0.06305,7
99.0,-55,0.11491,6
100.0,-54,0.0734,8
