tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds
15:09:39,24b7,1,47.247715,295.144562,0,0,-53,2,15,360,300,1009,1,0,0,2,18774,0,18,1620294330,9125,3,0,28,152070478,152069330,1305844/106263/545/18,1624515/12732/182/9
15:09:40,24b7,1,51.69479,593.044128,0,0,-53,15,15,360,310,1010,1,0,0,2,18778,0.18509,23,1621641866,9127,3,0.00376,28,152108100,152106952,1306854/106466/545/18,1624910/12734/182/9
15:09:41,24b7,1,55.391685,749.141663,0,0,-53,11,15,360,305,1010,1,0,0,2,18780,0.0889,20,1623052981,9128,3,0.00482,28,152146825,152145677,1308029/106503/545/18,1625311/12736/182/9
15:09:42,24b7,1,57.56366,828.70874,0,0,-53,8,15,360,300,1010,1,0,0,2,18786,0.06064,22,1624475224,9131,3,0.0086,28,152184419,152183271,1309195/106550/545/18,1625706/12739/182/9
15:09:43,24b7,1,61.385498,894.544434,0,0,-53,4,15,360,290,1010,1,0,0,2,18798,0.07367,22,1625987913,9137,3,0.01501,28,152225168,152224136,1310316/106641/546/18,1626105/12747/182/9
15:09:44,24b7,1,65.484886,914.798035,0,0,-53,1,15,360,300,1009,1,0,0,2,18810,0.08672,22,1627483695,9143,3,0.02463,28,152266683,152265535,1311424/106745/546/18,1626504/12760/182/9
15:09:45,24b7,1,65.445152,930.907837,0,0,-53,13,15,360,290,1010,1,0,0,2,18810,0.08718,22,1628993798,9143,3,0.01208,28,152305182,152304150,1312543/106839/546/18,1626903/12762/182/9
15:09:46,24b7,1,68.110153,938.167847,0,0,-53,10,12,-20,295,1010,1,0,0,2,18822,0.08665,22,1630502925,9149,3,0.01861,28,152347135,152345623,1313660/106935/546/18,1627302/12771/182/9
15:09:47,24b7,1,67.971428,940.208496,0,0,-53,6,15,370,295,1010,1,0,0,2,18824,0.08446,22,1632013028,9150,3,0.01082,28,152385932,152384900,1314779/107028/546/18,1627703/12776/182/9
15:09:48,24b7,1,68.813538,940.437378,0,0,-53,3,15,360,290,1009,1,0,0,2,18828,0.08255,22,1633515446,9152,3,0.01499,28,152425883,152424851,1315893/107127/546/18,1628094/12783/182/9
