tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds
15:05:59,24b7,1,48.036011,218.872375,0,0,-53,4,15,360,290,1009,1,0,0,2,17564,0.00167,16,1470411771,8553,3,0.01026,28,144788040,144786916,1190548/96624/511/16,1548530/11895/168/9
15:06:00,24b7,1,66.144341,540.343445,0,0,-53,1,15,360,290,1009,1,0,0,2,17616,0.12329,24,1471683675,8574,3,0.0586,28,144845455,144843188,1191597/96781/518/16,1548922/11928/168/9
15:06:01,24b7,1,77.131409,720.910706,0,0,-53,13,15,350,290,1010,1,0,0,2,17642,0.09531,20,1473073405,8586,3,0.06254,28,144898444,144897214,1192728/96862/518/16,1549308/11957/169/9
15:06:02,24b7,1,72.840103,800.117676,0,0,-53,10,15,360,305,1009,1,0,0,2,17642,0.04698,21,1474457539,8586,3,0.02275,28,144934822,144933698,1193914/96890/518/16,1549701/11957/169/9
15:06:03,24b7,1,72.320396,869.200806,0,0,-53,6,15,360,300,1010,1,0,0,2,17650,0.12912,23,1475943842,8590,3,0.02164,28,144974769,144973645,1194957/97058/519/16,1550095/11965/169/9
15:06:04,24b7,1,111.69474,845.682434,0,0,-53,3,15,360,290,1009,1,0,0,2,17736,0.15695,18,1477298732,8633,3,0.17168,26,145061161,145059247,1195995/97232/520/16,1550461/12043/169/9
15:06:05,24b7,1,116.590691,725.588684,0,0,-53,15,15,360,285,1010,1,0,0,2,17776,0.07373,15,1478297510,8652,3,0.08468,22,145132979,145131855,1197167/97272/520/16,1550909/12063/169/9
15:06:06,24b7,1,116.388969,743.250244,0,0,-53,12,15,360,290,1009,1,0,0,2,17792,0.03977,22,1479469451,8660,3,0.05029,23,145198828,145197704,1198358/97294/520/16,1551361/12075/169/9
15:06:07,24b7,1,119.20639,814.958496,0,0,-53,8,15,360,295,1009,1,0,0,2,17858,0.16362,21,1480878091,8689,3,0.09855,28,145256979,145255491,1199351/97511/522/16,1551742/12115/170/9
15:06:08,24b7,1,152.844482,702.600159,0,0,-53,5,15,360,295,1009,1,0,0,2,18021,0.17723,13,1481885517,8766,3,0.20867,21,145358812,145357619,1200391/97677/527/17,1552125/12213/172/9
15:06:09,24b7,1,133.487366,565.697815,0,0,-53,1,15,360,305,1010,1,0,0,2,18021,0.0618,12,1482613221,8766,3,0.07276,18,145405761,145404637,1201603/97677/527/17,1552578/12213/172/9
15:06:10,24b7,1,128.108063,603.553223,0,0,-53,14,15,360,295,1009,1,0,0,2,18035,0.02804,20,1483586089,8773,3,0.04719,25,145468600,145467476,1202802/97691/527/17,1553038/12223/172/9
15:06:11,24b7,1,132.185989,751.287537,0,0,-53,10,15,360,305,1009,1,0,0,2,18135,0.08051,21,1484954332,8820,3,0.08352,25,145539029,145537905,1203881/97819/530/18,1553429/12271/173/9
