tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds
14:28:41,24b7,1,48.534397,395.813385,0,0,-53,11,15,360,290,1016,1,0,0,1,12217,0.00083,20,982213208,5799,2,0,28,79879493,79878849,782630/64446/345/12,840638/8026/121/5
14:28:42,24b7,1,54.804024,588.85321,0,0,-53,8,15,360,300,1015,1,0,0,1,12221,0.17035,23,983380237,5801,2,0.00222,28,79920576,79919932,783473/64630/345/12,841029/8029/121/5
14:28:43,24b7,1,75.50193,750.460938,0,0,-63,4,15,360,305,1015,1,0,0,1,12285,0.13665,21,984811153,5833,2,0.10315,28,79978275,79977631,784578/64738/345/12,841400/8075/121/5
14:28:44,24b7,1,75.543472,839.805298,0,0,-53,1,15,360,285,1015,1,0,0,1,12307,0.08232,21,986262592,5844,2,0.05903,28,80019489,80018845,785721/64806/346/12,841791/8091/121/5
14:28:45,24b7,1,72.01416,886.585571,0,0,-53,13,11,-80,300,1010,1,0,0,1,12313,0.04902,23,987744369,5847,2,0.02058,28,80056435,80055206,786876/64846/347/12,842185/8091/121/5
14:28:46,24b7,1,145.155045,708.809509,0,0,-59,10,15,360,300,1015,1,0,0,1,12471,0.18705,16,988695482,5936,2,0.23114,22,80197756,80196771,787654/65061/357/12,842546/8218/122/5
14:28:47,24b7,1,135.473694,557.119507,0,0,-53,6,15,360,295,1016,1,0,0,1,12471,0.06522,13,989364089,5936,2,0.08329,18,80263420,80262611,788608/65061/357/12,842993/8218/122/5
14:28:48,24b7,1,120.243668,625.479065,0,0,-53,3,15,350,295,1015,1,0,0,1,12471,0.02528,21,990410118,5936,2,0.02904,24,80309491,80308847,789816/65065/357/12,843417/8218/122/5
14:28:49,24b7,1,104.920105,784.666931,0,0,-53,15,15,360,310,1016,1,0,0,1,12471,0.12562,23,991874798,5936,2,0.01013,28,80346111,80345467,790851/65243/357/12,843812/8218/122/5
14:28:50,24b7,1,94.02507,861.578979,0,0,-53,12,15,350,300,1015,1,0,0,1,12471,0.13196,21,993357350,5936,2,0.00473,28,80383588,80382944,791915/65391/357/12,844210/8219/122/5
14:28:51,24b7,1,88.402641,897.12439,0,0,-53,8,15,360,330,1015,1,0,0,1,12485,0.07284,21,994831845,5943,2,0.01638,28,80423470,80422826,793074/65445/357/12,844603/8230/122/5
14:28:52,24b7,1,120.582603,782.674255,0,0,-53,5,15,360,315,1015,1,0,0,1,12554,0.09694,21,996023711,5981,2,0.1441,28,80509736,80508166,794017/65538/357/12,844982/8301/122/5
14:28:53,24b7,1,154.788773,544.006226,0,0,-53,1,15,360,290,1015,1,0,0,1,12620,0.10373,17,996537580,6035,2,0.1448,19,80627953,80627425,794541/65606/359/12,845393/8362/122/5
14:28:54,24b7,1,134.804611,633.558044,0,0,-53,14,15,360,300,1016,1,0,0,1,12620,0.03661,20,997655020,6035,2,0.05049,19,80674247,80673060,795752/65607/359/12,845785/8362/122/5
14:28:55,24b7,1,116.922752,782.618896,0,0,-53,10,15,360,295,1015,1,0,0,1,12620,0.13655,22,999095464,6035,2,0.0176,28,80714106,80713346,796793/65779/359/12,846192/8362/122/5
14:28:56,24b7,1,112.023315,861.887207,0,0,-53,7,15,360,290,1015,1,0,0,1,12656,0.11826,22,1000576510,6052,2,0.05167,28,80762522,80761878,797889/65895/359/12,846575/8389/123/5
14:28:57,24b7,1,101.605316,908.621399,0,0,-53,3,15,350,295,1015,1,0,0,1,12668,0.09564,22,1002092273,6058,2,0.03554,28,80802250,80801490,799011/65985/360/12,846968/8398/123/5
14:28:58,24b7,1,96.563667,917.899719,0,0,-53,16,15,360,300,1016,1,0,0,1,12696,0.10067,22,1003568635,6070,2,0.03927,28,80844468,80843708,800106/66102/360/12,847360/8416/125/5
14:28:59,24b7,1,88.60614,937.583679,0,0,-53,12,15,360,300,1016,1,0,0,1,12700,0.08462,22,1005089497,6072,2,0.01766,28,80882763,80882003,801232/66189/360/12,847760/8419/125/5
14:29:00,24b7,1,83.53685,942.31311,0,0,-53,9,15,360,295,1016,1,0,0,1,12706,0.08292,22,1006602674,6075,2,0.01683,28,80921686,80920926,802353/66280/360/12,848158/8426/125/5
14:29:01,24b7,1,77.933357,950.901855,0,0,-53,5,15,350,300,1016,1,0,0,1,12706,0.07574,22,1008135832,6075,2,0.00587,28,80958840,80958080,803487/66359/360/12,848554/8426/125/5
14:29:02,24b7,1,74.659462,951.589355,0,0,-53,2,15,350,295,1015,1,0,0,1,12708,0.07418,22,1009661305,6075,2,0.00556,28,80996568,80995818,804616/66442/360/12,848950/8428/126/5
14:29:03,24b7,1,71.863426,941.826843,0,0,-53,14,15,340,310,1010,1,0,0,1,12710,0.08864,22,1011160649,6076,2,0.00565,28,81034214,81033362,805728/66543/360/12,849348/8430/126/5
14:29:04,24b7,1,70.554306,945.077759,0,0,-53,11,15,360,295,1009,1,0,0,1,12714,0.08442,22,1012677949,6078,2,0.00987,28,81073215,81071999,806851/66632/360/12,849743/8433/126/5
14:29:05,24b7,1,69.698715,942.614319,0,0,-53,7,15,370,295,1009,1,0,0,1,12718,0.08694,22,1014178830,6080,2,0.00894,28,81111733,81110881,807964/66732/360/12,850141/8437/126/5
14:29:06,24b7,1,68.728233,944.990479,0,0,-53,4,15,360,315,1010,1,0,0,1,12722,0.08253,22,1015698155,6082,2,0.00913,28,81149677,81148835,809089/66819/360/12,850536/8440/126/5
14:29:07,24b7,1,66.795799,947.494812,0,0,0,0,15,360,305,1009,1,0,0,1,12722,0.08036,22,1017219017,6082,2,0.00318,28,81186833,81185733,810215/66906/360/12,850933/8440/126/5
14:29:08,24b7,1,136.875412,638.940247,0,0,-63,13,15,360,300,1009,1,0,0,1,12837,0.17994,16,1017916058,6175,2,0.21912,22,81323692,81322840,810801/67045/362/12,851294/8563/127/5
14:29:09,24b7,1,124.967575,565.673462,0,0,-53,9,15,360,300,1010,1,0,0,1,12837,0.06274,15,1018649419,6175,2,0.07813,19,81379681,81378945,811683/67045/362/12,851706/8563/127/5
14:29:10,24b7,1,110.874557,687.506653,0,0,-53,6,15,360,305,1010,1,0,0,1,12837,0.03383,23,1019866223,6175,2,0.02724,25,81421923,81421071,812879/67062/362/12,852107/8563/127/5
14:29:11,24b7,1,142.859619,756.794922,0,0,-53,3,15,360,325,1010,1,0,0,1,12953,0.18588,19,1021192553,6225,2,0.17402,27,81510131,81508685,813840/67310/366/12,852476/8642/130/5
14:29:12,24b7,1,179.116516,607.654236,0,0,-53,15,15,360,310,1009,1,0,0,1,13083,0.13345,11,1021992215,6284,2,0.15643,17,81642275,81641423,814922/67440/366/12,852904/8705/131/5
14:29:13,24b7,1,150.196213,451.276459,0,0,-53,12,15,340,310,1010,1,0,0,1,13083,0.04653,11,1022496706,6284,2,0.05454,17,81683552,81682700,815981/67440/366/12,853308/8705/131/5
14:29:14,24b7,1,125.888557,574.014282,0,0,-53,8,15,360,305,1009,1,0,0,1,13083,0.01622,21,1023523379,6284,2,0.01902,27,81717388,81716536,817192/67441/366/12,853679/8705/131/5
14:29:15,24b7,1,144.245407,696.28125,0,0,-70,5,15,360,250,1014,1,0,0,1,13171,0.20669,19,1024824071,6325,2,0.14698,28,81792537,81788736,818143/67699/369/12,854052/8769/135/5
