tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,cwnd_values,inflight,rtt,sending_rate,throughput,retransmissions_interval
3:47:27,4ebb,1,42.829182,0.675218,0,0,-57,6,15,340,290,985,1,0,0,0,3,0,9,150534,0,0,0.00001,28,3087736,3087712,1356/3/0/0,40238/2714/0/0,nan,nan,nan,nan,nan,nan
3:47:28,4ebb,1,45.167355,117.698647,0,0,-57,2,15,340,260,985,1,0,0,0,3,0,13,423091,0,0,0,28,3118440,3118416,1864/3/0/0,40582/2714/0/0,nan,nan,nan,nan,nan,nan
3:47:29,4ebb,1,60.806931,448.674347,0,0,-57,15,15,350,285,994,1,0,0,0,47,0.06773,22,1548731,17,0,0.04716,28,3168186,3167682,2972/106/2/0,40977/2740/4/0,nan,nan,nan,nan,nan,nan
3:47:30,4ebb,1,71.986145,610.965271,0,0,-58,11,15,350,285,1004,1,0,0,0,75,0.13109,18,2748744,28,0,0.0479,28,3219804,3219664,4015/274/3/0,41385/2761/6/0,nan,nan,nan,nan,nan,nan
3:47:31,4ebb,1,73.028748,673.145874,0,0,-50,8,15,380,295,1025,1,0,0,0,89,0.05578,18,3901750,34,0,0.02969,28,3261891,3261751,5209/294/3/0,41785/2771/7/0,nan,nan,nan,nan,nan,nan
3:47:32,4ebb,1,70.186081,764.919373,0,0,-50,4,15,380,310,1027,1,0,0,0,91,0.07654,21,5232771,35,0,0.01187,28,3298699,3298559,6327/388/3/0,42179/2772/7/0,nan,nan,nan,nan,nan,nan
3:47:33,4ebb,1,69.67585,820.261414,0,0,-50,1,15,380,290,1027,1,0,0,0,95,0.09265,21,6615948,37,0,0.00677,28,3337585,3337445,7423/505/3/0,42571/2776/7/0,nan,nan,nan,nan,nan,nan
3:47:34,4ebb,1,125.480423,725.559692,0,0,-50,13,11,-50,245,1033,1,0,0,0,299,0.21552,16,7689987,117,0,0.24951,23,3442844,3442216,8370/754/17/1,42911/2896/22/0,nan,nan,nan,nan,nan,nan
3:47:35,4ebb,1,115.720718,587.893372,0,0,-50,10,15,380,310,1027,1,0,0,0,307,0.08835,12,8464613,121,0,0.09378,18,3494917,3494695,9569/769/17/1,43371/2902/22/0,nan,nan,nan,nan,nan,nan
3:47:36,4ebb,1,108.551941,554.04303,0,0,-50,6,15,380,305,1026,1,0,0,0,315,0.04921,17,9283732,125,0,0.03679,23,3545373,3544885,10752/798/17/1,43812/2908/22/0,nan,nan,nan,nan,nan,nan
3:47:37,4ebb,1,105.823006,642.384827,0,0,-50,3,15,380,300,1027,1,0,0,0,349,0.06126,20,10406611,141,0,0.05396,28,3597010,3596870,11891/872/17/1,44209/2929/22/0,nan,nan,nan,nan,nan,nan
3:47:38,4ebb,1,95.832413,743.204529,0,0,-50,15,15,370,300,1017,1,0,0,0,353,0.06797,20,11723718,143,0,0.02673,28,3635434,3635294,13030/945/17/1,44602/2934/22/0,nan,nan,nan,nan,nan,nan
3:47:39,4ebb,1,87.776253,811.027039,0,0,-51,12,15,380,300,1025,1,0,0,0,355,0.04957,22,13099713,144,0,0.01306,28,3673431,3673291,14190/998/17/1,44996/2936/22/0,nan,nan,nan,nan,nan,nan
3:47:40,4ebb,1,126.288292,817.466675,0,0,-52,8,15,380,295,1026,1,0,0,0,473,0.15618,20,14429043,188,0,0.16795,26,3765074,3764934,15198/1194/25/1,45355/3019/31/0,nan,nan,nan,nan,nan,nan
3:47:41,4ebb,1,128.518707,736.647278,0,0,-53,5,15,380,310,1027,1,0,0,0,519,0.07713,17,15496456,205,0,0.10031,22,3834496,3834304,16363/1237/30/1,45802/3047/33/0,nan,nan,nan,nan,nan,nan
3:47:42,4ebb,1,122.221848,760.594849,0,0,-53,1,15,380,300,1026,1,0,0,0,531,0.05074,22,16718938,211,0,0.04978,25,3894044,3892659,17524/1286/32/1,46238/3057/33/0,nan,nan,nan,nan,nan,nan
3:47:43,4ebb,1,133.806351,793.142578,0,0,-58,14,15,380,305,1026,1,0,0,0,603,0.15615,20,18045910,238,0,0.12613,28,3961370,3960417,18533/1485/35/3,46618/3109/38/0,nan,nan,nan,nan,nan,nan
3:47:44,4ebb,1,135.728607,731.668396,0,0,-55,10,15,380,290,1027,1,0,0,0,673,0.10174,18,19151770,267,0,0.14161,28,4021888,4021292,19667/1560/38/3,46997/3155/43/0,nan,nan,nan,nan,nan,nan
3:47:45,4ebb,1,149.960098,680.981018,0,0,-55,7,15,380,305,1026,1,0,0,0,779,0.09768,16,20157625,308,0,0.13208,20,4107446,4107137,20770/1665/43/3,47394/3208/52/0,nan,nan,nan,nan,nan,nan
3:47:46,4ebb,1,130.259338,701.786743,0,0,-55,3,15,360,305,1017,1,0,0,0,779,0.03539,20,21290105,308,0,0.04605,21,4152036,4151896,21975/1672/43/3,47829/3208/52/0,nan,nan,nan,nan,nan,nan
3:47:47,4ebb,1,125.922127,753.622009,0,0,-55,16,11,-50,310,1025,1,0,0,1,857,0.16213,20,22585065,340,0,0.10511,27,4201526,4200917,22969/1883/48/5,48209/3249/59/0,nan,nan,nan,nan,nan,nan
3:47:48,4ebb,1,111.642273,712.424988,0,0,-57,12,15,370,310,1026,1,0,0,1,875,0.07541,17,23675529,347,0,0.05268,27,4240666,4240526,24155/1909/48/5,48599/3260/61/0,nan,nan,nan,nan,nan,nan
3:47:49,4ebb,1,98.887978,747.013062,0,0,-57,9,15,370,300,1017,1,0,0,2,875,0.05493,22,24891398,347,0,0.01837,28,4278127,4277987,25313/1962/49/6,48999/3260/61/0,nan,nan,nan,nan,nan,nan
3:47:50,4ebb,1,92.610771,796.147583,0,0,-57,5,15,370,290,1016,1,0,0,2,897,0.15595,21,26233539,356,0,0.02742,28,4318570,4318430,26325/2158/53/6,49390/3273/63/0,nan,nan,nan,nan,nan,nan
3:47:51,4ebb,1,84.761345,813.952637,0,0,-57,2,15,380,305,1016,1,0,0,2,899,0.09707,20,27557914,357,0,0.01407,28,4355098,4354958,27468/2228/53/6,49775/3275/63/0,nan,nan,nan,nan,nan,nan
3:47:52,4ebb,1,78.97657,829.432983,0,0,-56,14,15,360,295,1007,1,0,0,2,901,0.06345,20,28905220,357,0,0.00616,28,4391704,4391564,28630/2279/53/6,50167/3276/64/0,nan,nan,nan,nan,nan,nan
3:47:53,4ebb,1,81.037842,839.819397,0,0,-56,11,11,-50,240,1011,1,0,0,2,919,0.05164,21,30258200,363,0,0.01632,28,4438212,4437112,29778/2341/54/6,50562/3287/67/0,nan,nan,nan,nan,nan,nan
3:47:54,4ebb,1,137.701126,760.56366,0,0,-56,7,15,370,290,1006,1,0,0,2,1073,0.15171,16,31387292,433,0,0.20469,21,4552526,4552245,30789/2536/61/7,50918/3398/71/0,nan,nan,nan,nan,nan,nan
