tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds
22:57:28,a24a,1,42.736637,0.719858,0,0,-57,3,15,340,300,992,1,0,0,0,3,0,9,1162270,0,0,0,28,26239056,26239032,10471/3/0/0,313558/6034/0/0
22:57:29,a24a,1,196.200974,5.297764,0,0,-58,16,12,-30,60,756,1,0,0,0,10,0.04026,14,1174680,21,0,0.27897,26,26432974,26427224,10568/9/1/0,313845/6133/1/0
22:57:30,a24a,1,396.323822,16.073431,0,0,-57,12,15,360,315,1007,1,0,0,0,15,0.03444,19,1213378,41,0,0.16412,16,26972853,26970506,10804/14/1/0,314383/6169/3/0
22:57:31,a24a,1,481.001984,29.377861,0,0,-53,9,15,370,315,1028,1,0,0,0,15,0.12458,26,1277569,41,0,0.07188,16,27399033,27396158,11038/39/1/0,314957/6182/3/0
22:57:32,a24a,1,548.178345,40.859646,0,0,-50,5,15,370,335,1034,1,0,0,0,15,0.08292,25,1352996,41,0,0.04059,19,27832854,27830079,11273/53/1/0,315527/6197/3/0
22:57:33,a24a,1,713.721619,45.995163,0,0,-50,2,15,380,320,1034,1,0,0,0,28,0.13231,25,1438157,69,0,0.07744,25,28478180,28471788,11547/87/3/0,316051/6240/8/0
22:57:34,a24a,1,857.343262,48.533768,0,0,-58,14,15,400,340,1034,1,0,0,0,54,0.17904,22,1518813,119,0,0.13867,25,29136550,29132143,11778/128/5/0,316523/6314/13/0
22:57:35,a24a,1,969.044128,38.369938,0,0,-50,11,15,370,320,1034,1,0,0,0,73,0.14006,16,1569778,163,0,0.14119,25,29819814,29815407,12000/148/6/0,317013/6380/14/0
22:57:36,a24a,1,1051.280151,27.913212,0,0,-55,7,15,410,55,761,1,0,0,0,99,0.16941,13,1601369,215,0,0.14324,25,30487316,30481480,12184/174/7/0,317494/6453/17/0
22:57:37,a24a,1,1069.015747,22.458174,0,0,-50,4,15,380,335,1033,1,0,0,0,101,0.06423,12,1629850,227,0,0.07881,22,31138137,31134586,12418/176/7/0,318063/6471/18/0
22:57:38,a24a,1,1085.953613,20.719193,0,0,-50,16,15,390,335,1029,1,0,0,0,110,0.05939,14,1660278,252,0,0.06634,23,31782394,31778548,12632/185/7/0,318615/6499/20/0
22:57:39,a24a,1,1102.80835,20.315287,0,0,-50,13,10,-100,65,763,1,0,0,0,124,0.06373,14,1691706,291,0,0.06747,23,32416430,32411332,12833/199/7/0,319142/6542/24/0
22:57:40,a24a,1,1123.964111,21.213661,0,0,-51,9,15,380,335,1034,1,0,0,0,132,0.05953,15,1726815,311,0,0.04977,24,33095894,33091775,13055/208/7/0,319699/6567/26/0
22:57:41,a24a,1,1147.75354,22.699894,0,0,-53,6,15,410,340,1034,1,0,0,0,153,0.08669,15,1763871,357,0,0.10944,24,33743128,33739009,13254/228/8/0,320197/6630/28/0
22:57:42,a24a,1,1166.363037,22.436464,0,0,-65,2,12,-30,55,756,1,0,0,0,162,0.06721,15,1801029,393,0,0.11542,24,34414029,34408577,13456/237/8/0,320714/6677/30/0
22:57:43,a24a,1,1167.897217,22.031733,0,0,-55,15,15,380,315,1034,1,0,0,0,175,0.06969,15,1834879,441,0,0.12699,23,35033476,35029630,13643/249/9/0,321205/6741/36/0
22:57:44,a24a,1,1162.068359,21.205143,0,0,-62,11,15,400,335,1033,1,0,0,0,196,0.09736,15,1866758,486,0,0.11148,23,35655110,35651264,13832/269/10/0,321722/6793/40/0
22:57:45,a24a,1,1158.596436,20.744955,0,0,-55,8,15,390,340,1034,1,0,0,0,208,0.07654,15,1898446,532,0,0.10778,23,36276358,36272512,14023/281/10/0,322236/6846/44/0
22:57:46,a24a,1,1156.104126,21.515175,0,0,-55,4,15,370,320,1027,1,0,0,0,229,0.10077,15,1935710,578,0,0.0993,23,36901064,36897218,14245/300/12/0,322752/6899/47/0
22:57:47,a24a,1,1147.849976,19.245037,0,0,-141,1,15,380,335,1029,1,0,0,0,252,0.14845,15,1964018,637,0,0.12798,23,37497896,37494050,14406/323/12/0,323247/6961/50/0
22:57:48,a24a,1,1149.361084,19.976372,0,0,-69,13,15,380,320,1033,1,0,0,0,265,0.09528,14,1996443,676,0,0.10835,23,38135391,38131545,14615/335/13/0,323775/7005/52/0
22:57:49,a24a,1,1148.891235,19.449705,0,0,-57,10,15,360,325,1029,1,0,0,0,277,0.07686,14,2026902,716,0,0.11375,23,38766446,38762600,14815/346/14/0,324299/7052/56/0
22:57:50,a24a,1,1149.962524,19.495459,0,0,-57,6,15,370,325,1024,1,0,0,0,292,0.07781,14,2056833,760,0,0.10135,23,39394997,39391151,15006/359/16/0,324819/7102/60/0
22:57:51,a24a,1,1147.571655,19.874132,0,0,-57,3,15,370,325,1024,1,0,0,0,312,0.10172,14,2089465,804,0,0.10342,23,40017884,40014038,15209/379/16/0,325337/7150/64/0
22:57:52,a24a,1,1146.619507,19.210949,0,0,-56,15,15,370,315,1016,1,0,0,0,328,0.1046,14,2119785,848,0,0.10107,23,40643843,40640385,15403/395/16/0,325855/7199/69/0
22:57:53,a24a,1,1144.637817,19.098372,0,0,-56,12,15,380,310,1014,1,0,0,0,343,0.09427,14,2150057,898,0,0.11618,23,41259518,41255284,15598/410/16/0,326362/7252/72/0
22:57:54,a24a,1,1145.763672,19.538965,0,0,-56,8,15,350,320,1014,1,0,0,0,357,0.08278,14,2180877,930,0,0.08863,23,41897400,41893166,15797/424/16/0,326892/7291/79/0
22:57:55,a24a,1,1167.481079,21.961565,0,0,-57,5,11,-80,55,759,1,0,0,0,361,0.0476,20,2219238,943,0,0.08246,25,42584179,42578343,16024/428/16/0,327426/7326/80/0
22:57:56,a24a,1,1173.986816,28.297035,0,0,-55,1,15,340,305,1003,1,0,0,0,374,0.06152,21,2272478,977,0,0.13893,22,43200794,43196894,16239/442/16/0,327896/7397/86/0
22:57:57,a24a,1,1154.973511,33.594578,0,0,-55,14,15,330,305,1003,1,0,0,0,374,0.14436,23,2332311,977,0,0.05854,22,43853394,43849494,16470/480/16/0,328478/7406/86/0
22:57:58,a24a,1,1161.068726,32.146046,0,0,-63,10,15,360,300,1003,1,0,0,0,384,0.12406,22,2382934,1019,0,0.12323,24,44473421,44467445,16650/498/16/0,328964/7475/89/0
22:57:59,a24a,1,1161.440552,30.334349,0,0,-55,7,15,360,305,1003,1,0,0,0,397,0.08602,20,2428443,1044,0,0.10647,23,45110081,45105847,16849/512/16/0,329479/7523/91/0
22:58:00,a24a,1,1160.727417,30.503489,0,0,-55,3,12,-30,55,761,1,0,0,0,402,0.04289,22,2477170,1059,0,0.07502,23,45776014,45770916,17070/517/16/0,330027/7553/93/0
22:58:01,a24a,1,1155.928589,36.203102,0,0,-55,16,15,400,305,1004,1,0,0,0,414,0.05375,22,2542936,1094,0,0.09224,23,46403013,46397050,17323/533/17/0,330543/7602/94/0
22:58:02,a24a,1,1155.94104,34.98933,0,0,-55,12,15,350,305,998,1,0,0,0,425,0.16797,19,2599490,1114,0,0.08084,23,47060391,47054428,17540/583/18/0,331083/7635/95/0
22:58:03,a24a,1,1151.912354,27.770859,0,0,-61,9,15,340,295,990,1,0,0,0,443,0.13151,17,2634613,1157,0,0.08933,23,47682502,47676539,17737/601/18/0,331599/7685/99/0
22:58:04,a24a,1,1155.789795,25.427584,0,0,-55,5,15,330,290,985,1,0,0,0,450,0.07132,17,2672558,1186,0,0.07713,23,48341434,48335859,17957/608/18/0,332141/7719/100/0
22:58:05,a24a,1,1160.681641,23.976233,0,0,-56,2,15,340,300,992,1,0,0,0,459,0.06023,17,2709498,1220,0,0.0735,23,48998547,48992584,18159/616/19/0,332685/7758/101/0
22:58:06,a24a,1,1158.683228,25.685888,0,0,-55,14,11,-80,70,761,1,0,0,0,470,0.05349,17,2751681,1249,0,0.06654,23,49642957,49637859,18402/627/19/0,333218/7797/104/0
22:58:07,a24a,1,1152.713867,24.718336,0,0,-55,11,15,310,285,980,1,0,0,0,482,0.06921,17,2789221,1276,0,0.08817,23,50274576,50268613,18609/639/19/0,333741/7838/111/0
22:58:08,a24a,1,1151.626953,25.428095,0,0,-55,7,15,320,270,967,1,0,0,0,490,0.08157,23,2830687,1295,0,0.07111,23,50925602,50918298,18814/648/19/0,334276/7873/113/0
22:58:09,a24a,1,1150.689575,30.974926,0,0,-54,4,15,330,265,967,1,0,0,0,496,0.13955,23,2886358,1320,0,0.08629,23,51557876,51553166,19007/681/19/0,334794/7920/115/0
22:58:10,a24a,1,1148.506104,30.376589,0,0,-59,16,15,310,270,964,1,0,0,0,505,0.12503,19,2936365,1348,0,0.08743,23,52194772,52187468,19217/706/19/0,335317/7962/117/0
22:58:11,a24a,1,1148.915894,27.891838,0,0,-59,13,15,310,265,964,1,0,0,0,511,0.07321,19,2977865,1362,0,0.08413,23,52843769,52836465,19422/713/19/0,335849/7999/118/0
