tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,cwnd_values,inflight,rtt,sending_rate,throughput,retransmissions_interval
23:47:28,a24a,1,42.759735,0.671849,0,0,-57,2,15,340,290,985,1,0,0,0,2835,0,9,27459424,7097,0,0,28,351114592,351114336,124372/7950/105/0,1308272/40696/659/2,nan,nan,nan,nan,nan,nan
23:47:29,a24a,1,317.370026,13.479625,0,0,-57,14,15,350,295,998,1,0,0,0,2843,0.03167,18,27494472,7124,0,0.24107,21,351588755,351585095,124583/7958/105/0,1308663/40808/660/2,nan,nan,nan,nan,nan,nan
23:47:30,a24a,1,438.678802,29.077427,0,0,-58,11,15,360,260,1007,1,0,0,0,2843,0.11951,25,27556807,7124,0,0.08406,17,352063309,352060729,124814/8003/105/0,1309263/40808/660/2,nan,nan,nan,nan,nan,nan
23:47:31,a24a,1,543.059021,39.293495,0,0,-50,7,15,370,320,1029,1,0,0,0,2843,0.09204,21,27632172,7124,0,0.03005,22,352561597,352557697,125127/8028/105/0,1309861/40809/660/2,nan,nan,nan,nan,nan,nan
23:47:32,a24a,1,716.584961,35.364922,0,0,-50,4,15,370,325,1031,1,0,0,0,2864,0.1218,21,27683492,7166,0,0.07984,24,353213170,353207599,125326/8049/106/0,1310367/40864/662/2,nan,nan,nan,nan,nan,nan
23:47:33,a24a,1,847.154236,42.332088,0,0,-53,16,15,390,265,1032,1,0,0,0,2887,0.12596,21,27761998,7199,0,0.09451,24,353886332,353881808,125622/8077/106/0,1310887/40911/664/2,nan,nan,nan,nan,nan,nan
23:47:34,a24a,1,940.445618,40.059414,0,0,-60,13,15,380,330,1031,1,0,0,0,2910,0.12822,20,27826676,7243,0,0.11668,24,354535185,354529733,125873/8107/107/0,1311390/40971/669/2,nan,nan,nan,nan,nan,nan
23:47:35,a24a,1,1012.736694,33.457253,0,0,-60,9,15,380,320,1031,1,0,0,0,2926,0.10607,19,27871566,7291,0,0.10767,24,355190827,355184446,126072/8124/107/0,1311896/41028/673/2,nan,nan,nan,nan,nan,nan
23:47:36,a24a,1,1064.925537,30.124369,0,0,-62,6,15,370,325,1031,1,0,0,0,2937,0.0795,19,27915639,7322,0,0.116,24,355854012,355847631,126270/8135/107/0,1312408/41078/678/2,nan,nan,nan,nan,nan,nan
23:47:37,a24a,1,1097.454468,27.191574,0,0,-50,2,15,380,325,1032,1,0,0,0,2952,0.07858,19,27956683,7363,0,0.12908,24,356489413,356483032,126452/8152/107/0,1312896/41140/682/2,nan,nan,nan,nan,nan,nan
