tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,cwnd_values,inflight,rtt,sending_rate,throughput,retransmissions_interval
11:45:02,7b8b,1,43.003334,1.970937,0,0,-65,12,15,220,165,920,1,0,0,0,3,0,9,127915,0,0,0,28,2520408,2520176,1012/3/0/0,29531/0/0/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,129880.06120218578,12.757704939161027,2066304.0,2388000.0,nan
11:45:03,7b8b,1,65.684441,461.230408,0,0,-65,8,15,220,165,907,1,0,0,0,36,0.07771,17,1445518,35,0,0.15047,27,2572162,2571476,1483/52/1/0,29875/77/0/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,176226.40885608856,4.79492371392357,7620704.0,7452000.0,nan
11:45:04,7b8b,1,98.379227,1397.959106,0,0,-66,5,15,210,150,890,1,0,0,0,50,0.08302,16,4627035,56,0,0.18508,17,2654580,2654098,2282/116/3/0,30256/156/0/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,221952.61369863013,9.398234974254262,5199232.0,5592000.0,nan
11:45:05,7b8b,1,113.965744,2119.182129,0,0,-54,1,15,320,255,1023,1,0,0,0,50,0.18177,15,9049478,56,0,0.06453,16,2750394,2749744,3339/264/10/0,30738/156/0/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,252550.15132924338,7.737430411191722,6710496.0,6864000.0,nan
11:45:06,7b8b,1,128.482269,2346.294922,0,0,-59,14,15,310,270,1023,1,0,0,0,66,0.08038,14,13190093,67,0,0.05485,23,2846526,2845382,4500/281/10/0,31223/167/0/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,273972.2601226994,14.181023876683241,3833440.0,4056000.0,nan
11:45:07,7b8b,1,143.953873,1971.264771,0,0,-53,10,11,-80,275,1025,1,0,0,0,193,0.11903,14,15863546,142,0,0.142,23,2934183,2933579,5325/405/15/0,31621/241/1/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,292626.40811359027,8.930845958430591,6826752.0,6864000.0,nan
11:45:08,7b8b,1,151.195343,2167.260742,0,0,-54,7,15,320,255,1015,1,0,0,0,238,0.07227,14,19451028,174,0,0.09382,22,3025838,3025424,6361/450/16/0,32065/273/1/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,328436.7321695761,12.841527763454394,5023328.0,5556000.0,nan
11:45:09,7b8b,1,154.493698,2383.943604,0,0,-55,3,15,310,250,1013,1,0,0,0,264,0.11868,17,23624689,186,0,0.05886,23,3120187,3119427,7430/570/19/0,32528/285/2/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,434703.0533007335,21.838672865520824,4799552.0,3756000.0,nan
11:45:10,7b8b,1,166.899658,2046.856201,0,0,-55,16,15,310,265,1013,1,0,0,0,421,0.16124,8,26549188,263,0,0.1421,23,3216706,3216078,8408/743/25/0,32923/362/2/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,557454.1940594059,43.04762037176835,2382816.0,2880000.0,nan
11:45:11,7b8b,1,148.66423,1605.765991,0,0,-55,12,15,310,240,1013,1,0,0,0,459,0.08533,7,28554212,282,0,0.08766,23,3269001,3268745,9582/780/26/0,33356/381/2/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,737586.3771428571,46.571534596956695,3256256.0,3084000.0,nan
11:45:12,7b8b,1,136.375107,1399.746948,0,0,-54,9,15,320,260,1021,1,0,0,0,509,0.05528,7,30526969,307,0,0.07219,23,3322073,3321817,10745/829/27/0,33784/406/2/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,955357.79602649,50.19284410679594,3492096.0,3792000.0,nan
11:45:13,7b8b,1,133.572418,1425.038818,0,0,-54,5,15,320,265,1024,1,0,0,0,573,0.06106,9,32796593,339,0,0.07987,23,3386125,3385676,11893/892/28/0,34207/438/2/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,1228209.512087912,54.46173952913832,4388288.0,4056000.0,nan
11:45:14,7b8b,1,135.296432,1485.926392,0,0,-56,2,15,320,245,1015,1,0,0,0,649,0.0626,9,35255841,374,0,0.08221,23,3458001,3457117,13030/966/30/0,34633/473/2/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,1527858.9658536583,79.26240274983067,3998944.0,3780000.0,nan
11:45:15,7b8b,1,135.915359,1506.807007,0,0,-56,14,15,300,250,1013,1,0,0,0,735,0.0693,9,37695425,416,0,0.09738,23,3528015,3526943,14156/1049/33/0,35057/515/2/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,1893807.0222222223,96.85186774642379,3527264.0,3708000.0,nan
