tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,cwnd_values,inflight,rtt,sending_rate,throughput,retransmissions_interval
15:12:35,e941,1,236.790649,3.812096,0,0,-65,13,15,210,170,920,1,0,0,48,1660,0,12,45501579,12406,23,0.12924,28,484006532,483891489,125566/8531/1330/51,1043298/12771/3147/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,86080.79379844961,17.7023070199149,1044000.0,996000.0,nan
15:12:36,e941,1,1068.660889,14.783431,0,0,-75,9,15,200,165,907,1,0,0,48,1671,0.22605,17,45537664,12454,24,0.48673,19,485051072,484908179,125707/8573/1339/51,1043567/12953/3164/33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,174970.65864661656,16.76129518553268,2160000.0,2052000.0,nan
15:12:37,e941,1,1486.630005,26.33757,0,0,-54,6,15,320,285,1035,1,0,0,48,1671,0.07882,14,45592279,12504,25,0.24834,9,486282899,486151642,125960/8573/1339/51,1043998/13001/3204/34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,250387.76598639454,45.65404191309092,1176000.0,1104000.0,nan
15:12:38,e941,1,1429.260742,28.087748,0,0,-55,2,15,320,285,1035,1,0,0,48,1671,0.02748,20,45639000,12506,25,0.08819,6,487043186,486913772,126236/8573/1339/51,1044593/13003/3205/34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,303675.35342465754,55.17752121905892,1164000.0,1164000.0,nan
15:12:39,e941,1,1417.953125,49.714619,0,0,-54,15,15,310,290,1035,1,0,0,48,1671,0.05521,28,45738792,12511,25,0.0389,11,487852453,487720638,126527/8592/1339/51,1045183/13008/3205/34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,393657.6195718654,32.78094839166712,2628000.0,2508000.0,nan
15:12:40,e941,1,1817.054688,70.78775,0,0,-54,11,15,330,280,1028,1,0,0,48,1675,0.06349,28,45885229,12568,25,0.11035,17,489317404,489177970,126834/8609/1343/51,1045651/13064/3215/34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,508512.27978142083,39.179069900512694,2892000.0,2424000.0,nan
15:12:41,e941,1,2152.924561,76.89431,0,0,-55,8,15,320,275,1025,1,0,0,48,1680,0.11094,28,46015555,12619,25,0.11451,15,490838361,490703794,127109/8647/1347/51,1046096/13116/3242/34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,632261.1555555556,48.92872378357456,2916000.0,2784000.0,nan
15:12:42,e941,1,2399.273682,90.343506,0,0,-56,4,15,270,280,1026,1,0,0,48,1680,0.10746,28,46177180,12642,25,0.07097,15,492505419,492370852,127438/8684/1347/51,1046605/13139/3265/34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,757440.0368876082,58.62856032484668,2748000.0,2592000.0,nan
15:12:43,e941,1,2579.532227,96.150047,0,0,-56,1,15,280,265,1025,1,0,0,48,1683,0.11447,28,46336256,12669,25,0.05833,15,494144957,494001173,127768/8725/1350/51,1047103/13164/3291/34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,880686.4711111111,68.75419104394834,2868000.0,2784000.0,nan
15:12:44,e941,1,2705.787598,91.194511,0,0,-55,13,15,350,285,1031,1,0,0,48,1686,0.09147,28,46476570,12700,25,0.06589,15,495707182,495572615,128056/8752/1352/51,1047573/13197/3324/34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,1006608.114600551,74.46070646835587,2940000.0,2772000.0,nan
15:12:45,e941,1,2809.549805,98.635689,0,0,-55,10,15,320,285,1035,1,0,0,48,1689,0.07492,28,46647624,12723,25,0.05473,15,497378592,497238713,128409/8773/1354/51,1048083/13220/3346/34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,1132685.5463556852,86.61005236885764,2796000.0,2652000.0,nan
15:12:46,e941,1,2879.196289,94.771255,0,0,-56,6,15,320,280,1029,1,0,0,48,1697,0.12577,28,46793515,12755,25,0.06399,15,498947024,498812457,128711/8815/1361/51,1048559/13252/3379/34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,1387763.2,105.20983639329968,2748000.0,2532000.0,nan
