tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,cwnd_values,inflight,rtt,sending_rate,throughput,retransmissions_interval
17:04:43,07d3,1,43.292973,1.073949,0,0,-61,13,15,260,205,907,1,0,0,0,1415,0,9,10878988,3751,0,0.01121,28,154287423,154287191,53771/2878/113/0,664775/10716/55/3,0.14615384615384616,78592.98461538463,30.2055606842041,636000.0,612000.0,nan
17:04:44,07d3,1,306.298248,7.827548,0,0,-61,10,15,240,200,890,1,0,0,0,1417,0.00995,17,10900066,3769,0,0.48934,20,154637853,154636800,53909/2880/113/0,665031/10897/56/3,0.17869415807560138,110213.4857142857,42.95354843139648,516000.0,456000.0,nan
17:04:45,07d3,1,398.148163,15.643883,0,0,-58,6,15,360,305,1015,1,0,0,0,1417,0.1651,21,10936766,3770,0,0.17707,10,155037711,155036500,54064/2909/113/0,665618/10904/56/3,0.2062937062937063,128148.0,75.59080441792807,396000.0,360000.0,nan
17:04:46,07d3,1,393.804565,14.984383,0,0,-50,3,15,350,305,1015,1,0,0,0,1417,0.06144,20,10959969,3770,0,0.06174,9,155266561,155265350,54158/2909/113/0,666218/10904/56/3,0.24372759856630824,147898.72,54.729869630601684,636000.0,636000.0,nan
17:04:47,07d3,1,426.105743,19.304621,0,0,-50,15,15,360,305,1015,1,0,0,0,1417,0.08068,25,10994552,3772,0,0.02504,17,155569441,155567094,54279/2921/113/0,666815/10906/56/3,0.3024054982817869,192073.7523809524,32.68798887729645,1188000.0,1116000.0,nan
17:04:48,07d3,1,600.068237,32.545185,0,0,-50,12,11,-50,315,1016,1,0,0,0,1421,0.16095,24,11063189,3781,0,0.03498,27,156193827,156187934,54504/2966/114/0,667390/10919/56/3,0.3693379790940767,232088.8470588235,44.343236359682955,1104000.0,1068000.0,nan
17:04:49,07d3,1,767.060181,27.947914,0,0,-58,8,15,350,300,1006,1,0,0,0,1433,0.11893,17,11101523,3835,0,0.13835,21,156805470,156802135,54680/2979/115/0,667852/11010/57/4,0.5034965034965035,310345.89090909093,59.79072291676592,1092000.0,996000.0,nan
17:04:50,07d3,1,839.831848,26.063669,0,0,-51,5,15,340,295,1006,1,0,0,0,1433,0.04147,19,11140386,3835,0,0.04926,22,157433422,157429871,54914/2979/115/0,668450/11011/57/4,0.704225352112676,435161.2342857143,71.94299168056912,1344000.0,1200000.0,nan
17:04:51,07d3,1,954.359863,33.11314,0,0,-51,1,15,350,300,1006,1,0,0,0,1445,0.08558,23,11200697,3868,0,0.07334,25,158142409,158138002,55144/2998/117/0,668980/11055/57/4,0.9399293286219081,588910.8425531915,99.77283250717889,1188000.0,1008000.0,nan
17:04:52,07d3,1,1047.110962,36.599072,0,0,-50,14,15,350,260,1007,1,0,0,0,1470,0.12616,23,11264915,3905,0,0.09846,25,158864343,158859936,55361/3026/120/0,669497/11105/57/4,1.2375886524822695,772532.9655172414,137.19662739680365,1308000.0,1068000.0,nan
17:04:53,07d3,1,1119.257812,36.199699,0,0,-61,10,15,360,310,1016,1,0,0,0,1502,0.16295,21,11323360,3958,0,0.10942,25,159582944,159578537,55561/3058/125/0,670017/11160/57/4,1.583916083916084,1002429.7142857143,159.04359525563765,1428000.0,1188000.0,nan
17:04:54,07d3,1,1175.101929,34.533466,0,0,-56,7,15,350,305,1014,1,0,0,0,1521,0.10931,19,11375788,3996,0,0.0894,25,160324572,160320165,55802/3077/126/0,670553/11203/57/4,1.9653979238754324,1263665.5553072626,193.73156042659986,1536000.0,1212000.0,nan
17:04:55,07d3,1,1213.964722,35.098316,0,0,-52,3,15,350,295,1006,1,0,0,0,1533,0.08188,19,11432522,4027,0,0.08318,25,161065007,161060600,56057/3088/127/0,671085/11245/57/4,2.40625,1561547.2082901555,230.7999323649579,1320000.0,996000.0,nan
