tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,cwnd_values,inflight,rtt,sending_rate,throughput,retransmissions_interval
1686958330,107a,1,42.660965,0.695092,0,0,-60,5,15,290,235,937,1,0,0,3,3344,0,9,462571348,1402,5,0,28,72308411,72305882,356581/36091/80/5,819021/4241/232/22,59.9,1031140.1066666667,72.30966822306314,3574432.0,1560000.0,nan
1686958331,107a,1,45.819546,172.173447,0,0,-61,1,15,280,215,929,1,0,0,3,3344,0,15,462987772,1402,5,0,28,72340782,72338253,357263/36091/80/5,819379/4242/232/22,149.11111111111111,2884905.464788732,142.66971588134766,2921440.0,1992000.0,nan
1686958332,107a,1,67.796677,494.553375,0,0,-63,14,15,260,210,920,1,0,0,3,3400,0.08399,21,464178647,1424,5,0.11768,28,72394381,72391852,358351/36215/80/5,819747/4302/237/22,234.0,4856047.612738853,236.3299201085017,1653728.0,2232000.0,nan
1686958333,107a,1,85.979813,682.070862,0,0,-49,10,15,380,330,1042,1,0,0,3,3476,0.12753,21,465503071,1452,5,0.13775,23,72455416,72452807,359399/36376/83/5,820117/4358/245/23,356.6666666666667,4535984.556521738,332.3035345239154,nan,2196000.0,nan
1686958334,107a,1,79.613075,795.138611,0,0,-49,7,15,380,310,1043,1,0,0,3,3476,0.09738,21,466920832,1452,5,0.04803,24,72492319,72489790,360520/36468/83/5,820510/4358/245/23,418.4,4196352.0,431.726508670383,nan,2304000.0,nan
1686958335,107a,1,76.651176,842.198975,0,0,-49,3,15,390,295,1042,1,0,0,3,3484,0.09097,21,468332829,1456,5,0.03087,28,72530504,72527975,361637/36564/83/5,820904/4364/245/23,159.3,4435430.4,513.8444281541384,1647552.0,2184000.0,8.6
1686958336,107a,1,73.158134,875.875671,0,0,-49,16,15,360,300,1034,1,0,0,3,3488,0.07457,21,469776528,1458,5,0.01617,28,72567233,72564704,362776/36638/83/5,821293/4366/245/23,101.33333333333333,4435430.4,nan,nan,1680000.0,nan
1686958337,107a,1,133.213028,798.930298,0,0,-59,12,15,370,300,1032,1,0,0,3,3678,0.18506,18,470981336,1540,5,0.25082,25,72682097,72679568,363760/36857/90/5,821643/4482/252/23,141.0,3425844.997446808,712.0316351453463,6402560.0,1704000.0,nan
1686958338,107a,1,128.845581,727.793152,0,0,-50,9,15,360,310,1032,1,0,0,3,3686,0.07645,16,472053366,1543,5,0.09737,20,72750370,72747543,364954/36876/90/5,822112/4487/253/23,217.4,4163951.510320285,184.86571856907435,10696800.0,2340000.0,0.2
1686958339,107a,1,120.133583,730.582703,0,0,-50,5,15,380,300,1032,1,0,0,3,3686,0.03331,21,473201301,1543,5,0.03571,24,72808050,72805521,366148/36894/90/5,822562/4488/253/23,124.88888888888889,3619520.0,589.957118839831,672000.0,1764000.0,5.4
1686958340,107a,1,131.661423,834.935669,0,0,-49,2,15,380,295,1041,1,0,0,3,3760,0.13608,23,474679031,1570,5,0.11094,28,72875643,72872270,367178/37076/91/5,822931/4547/259/23,92.3,4150445.288888889,nan,1728000.0,1695808.0,2.4
1686958341,107a,1,154.490952,764.710815,0,0,-50,14,15,390,320,1042,1,0,0,3,3872,0.1335,16,475831096,1619,5,0.15827,19,72975054,72972468,368235/37225/96/5,823337/4615/263/23,120.77777777777777,3140629.4169934643,228.20478145565306,2125600.0,2340000.0,nan
1686958342,107a,1,143.994568,716.753296,0,0,-50,11,15,370,300,1034,1,0,0,3,3872,0.04764,17,476915184,1619,5,0.05518,19,73043455,73040797,369446/37227/96/5,823828/4615/263/23,108.8,2510502.650980392,215.71911160308537,2371232.0,2460000.0,nan
1686958343,107a,1,127.898994,828.890686,0,0,-51,7,15,360,310,1032,1,0,0,3,3872,0.08444,24,478360115,1619,5,0.01924,28,73092667,73090138,370560/37325/96/5,824251/4617/263/23,108.9,2512836.923076923,213.0970630830931,2429984.0,2460000.0,nan
1686958344,107a,1,111.591301,904.880127,0,0,-52,4,15,360,305,1023,1,0,0,3,3874,0.14895,22,479908784,1619,5,0.01213,28,73130878,73127985,371590/37509/96/5,824648/4619/264/23,121.0,2514955.7972350228,214.30501091146024,2536320.0,2508000.0,nan
1686958345,107a,1,99.524323,945.010803,0,0,-52,16,15,370,300,1031,1,0,0,3,3876,0.08517,22,481471145,1620,5,0.00743,28,73168825,73166296,372743/37568/96/5,825047/4622/264/23,109.0,2517566.619607843,208.60875856758344,2382816.0,2448000.0,nan
1686958346,107a,1,91.501465,963.031738,0,0,-53,13,15,360,300,1032,1,0,0,3,3880,0.0636,22,483033506,1622,5,0.01058,28,73207842,73205313,373896/37628/96/5,825441/4628/264/23,121.22222222222223,2519758.494117647,214.00039172408606,2371232.0,2460000.0,nan
1686958347,107a,1,85.146332,965.869019,0,0,-53,9,15,370,305,1032,1,0,0,3,3884,0.05971,22,484582034,1623,5,0.01228,28,73245637,73243108,375040/37696/96/5,825836/4632/265/23,109.2,2522352.2602870814,211.9110635682648,2465568.0,2508000.0,nan
1686958348,107a,1,80.198715,977.364624,0,0,-52,6,15,370,315,1041,1,0,0,3,3884,0.05044,22,486156691,1623,5,0.00707,28,73283861,73281332,376201/37748/96/5,826232/4635/265/23,109.3,2524153.6,213.31643397265142,2382816.0,2436000.0,nan
1686958349,107a,1,76.796104,972.327698,0,0,-51,2,15,380,300,1042,1,0,0,3,3888,0.05268,22,487703682,1623,5,0.00709,28,73322099,73319090,377344/37817/96/5,826629/4638/266/23,121.55555555555556,2526366.1440000003,212.68609172165998,2335648.0,2460000.0,nan
1686958350,107a,1,75.645157,969.651001,0,0,-51,15,15,380,310,1034,1,0,0,3,3900,0.05949,22,489253259,1629,5,0.016,28,73362127,73359598,378488/37886/96/5,827024/4645/267/23,109.5,2528667.3655172414,213.6267757415771,2382816.0,2400000.0,nan
1686958351,107a,1,73.354721,972.422424,0,0,-51,11,15,360,305,1023,1,0,0,3,3904,0.05566,22,490812546,1630,5,0.01101,28,73400276,73397747,379639/37947/96/5,827422/4648/268/23,121.77777777777777,2531426.091707317,216.2718074156506,2394816.0,2448000.0,nan
1686958352,107a,1,71.690338,965.513794,0,0,-51,8,15,370,295,1022,1,0,0,3,3908,0.06543,22,492351852,1631,5,0.00634,28,73438636,73436107,380777/38022/96/5,827823/4650/269/23,109.7,2533387.7028571423,214.2645780856793,2453568.0,2364000.0,nan
1686958353,107a,1,69.156708,968.355347,0,0,-51,4,15,360,300,1022,1,0,0,3,3908,0.05916,22,493904991,1631,5,0.00316,28,73475768,73473239,381924/38087/96/5,828223/4650/269/23,109.8,2535903.0857142857,216.81852865219116,2371232.0,2460000.0,nan
1686958354,107a,1,67.456276,965.606445,0,0,-50,1,15,370,290,1031,1,0,0,3,3908,0.0657,22,495445834,1631,5,0.0011,28,73513312,73510783,383063/38161/96/5,828627/4650/269/23,122.11111111111111,2537996.48,216.83385107252334,2335648.0,2304000.0,nan
1686958355,107a,1,66.275803,965.541077,0,0,-50,13,15,370,305,1032,1,0,0,3,3908,0.06297,22,496989751,1631,5,0.00038,28,73551014,73548485,384204/38232/96/5,829026/4650/269/23,110.0,2539605.648695652,218.61744554419266,2677824.0,2520000.0,nan
1686958356,107a,1,65.623985,961.963013,0,0,-50,10,15,380,315,1032,1,0,0,3,3910,0.06696,22,498518298,1632,5,0.00161,28,73588832,73586303,385335/38314/96/5,829427/4651/269/23,110.1,2540997.5119617223,213.33126512545982,2441984.0,2376000.0,nan
1686958357,107a,1,65.047974,967.205139,0,0,-51,6,15,360,305,1023,1,0,0,3,3912,0.05923,22,500068363,1633,5,0.00179,28,73626504,73623975,386480/38381/96/5,829826/4652/269/23,122.44444444444444,2542963.8095238097,216.9407578615042,2453568.0,2496000.0,nan
1686958358,107a,1,64.334267,966.397339,0,0,-51,3,15,370,280,1022,1,0,0,3,3912,0.06203,22,501616891,1633,5,0.00062,28,73663902,73661373,387624/38450/96/5,830229/4652/269/23,110.2,2545117.266019418,214.28498941309311,2394816.0,2508000.0,nan
1686958359,107a,1,64.717667,969.787476,0,0,-51,15,15,360,295,1022,1,0,0,3,3916,0.05883,22,503168493,1634,5,0.00445,28,73701749,73699220,388770/38516/96/5,830625/4655/270/23,122.55555555555556,2547360.7729468597,217.41567873487284,2429984.0,2520000.0,nan
1686958360,107a,1,64.354568,966.081665,0,0,-51,12,15,350,285,1022,1,0,0,3,3918,0.06327,22,504707799,1634,5,0.00268,28,73738927,73736398,389908/38591/96/5,831022/4656/271/23,110.4,2549621.7722488036,214.78654574421998,2453568.0,2412000.0,nan
1686958361,107a,1,64.539444,965.534119,0,0,-51,8,15,360,295,1022,1,0,0,3,3922,0.06184,22,506253253,1636,5,0.00416,28,73777010,73774481,391050/38661/96/5,831422/4659/271/23,110.5,2552057.411764706,214.4707555770874,2394816.0,2484000.0,nan
1686958362,107a,1,65.288002,967.004028,0,0,-51,5,15,360,315,1022,1,0,0,3,3926,0.05825,22,507804855,1637,5,0.00499,28,73815413,73812884,392196/38728/96/5,831816/4662/272/23,122.88888888888889,2554568.3348837206,217.1383773055032,2500736.0,2508000.0,nan
1686958363,107a,1,64.335747,971.328491,0,0,-51,1,15,360,300,1022,1,0,0,3,3926,0.05631,22,509364142,1637,5,0.00276,28,73852363,73849834,393347/38789/96/5,832214/4662/272/23,110.7,2556689.046153846,215.86887489244776,2429984.0,2400000.0,nan
1686958364,107a,1,64.184471,971.411682,0,0,-50,14,15,340,295,1014,1,0,0,3,3928,0.05586,22,510917281,1638,5,0.00216,28,73890238,73887709,394494/38855/96/5,832616/4663/272/23,110.8,2559093.911330049,219.62594795227045,2371232.0,2472000.0,nan
1686958365,107a,1,64.251457,963.998474,0,0,-50,10,15,360,285,1021,1,0,0,3,3930,0.0638,22,512447365,1638,5,0.0039,28,73927496,73924967,395626/38935/96/5,833011/4665/273/23,123.22222222222223,2561367.2,215.28097448997127,2418400.0,2340000.0,nan
1686958366,107a,1,64.379463,971.031921,0,0,-52,7,15,350,285,1013,1,0,0,3,3930,0.05724,22,514003578,1638,5,0.0044,28,73965449,73962920,396775/38999/96/5,833411/4667/273/23,111.0,2563731.351658768,216.67436361312866,2465568.0,2472000.0,nan
1686958367,107a,1,64.981644,969.608337,0,0,-52,3,15,360,300,1011,1,0,0,3,3934,0.05925,22,515550569,1639,5,0.00538,28,74003992,74001463,397918/39068/96/5,833809/4669/274/23,123.44444444444444,2565901.8772277227,217.60785411102603,2382816.0,2376000.0,nan
1686958368,107a,1,64.329826,970.946045,0,0,-52,16,15,340,280,1003,1,0,0,3,3934,0.05571,22,517108319,1639,5,0.00188,28,74041476,74038841,399068/39131/96/5,834209/4669/274/23,111.2,2567358.0401913873,217.05105883403888,2441984.0,2532000.0,nan
1686958369,107a,1,65.213829,972.536987,0,0,-52,12,15,330,275,992,1,0,0,3,3942,0.05767,22,518660970,1643,5,0.00794,28,74080493,74077964,400214/39197/96/5,834609/4673/274/23,111.3,2568752.0,221.4923600116408,1958304.0,2388000.0,nan
1686958370,107a,1,64.378403,971.950623,0,0,-52,9,15,340,280,1001,1,0,0,3,3942,0.05878,22,520214109,1643,5,0.00277,28,74117689,74115160,401361/39263/96/5,835010/4673/274/23,123.66666666666667,2570730.4554455443,218.678894996643,2359232.0,2436000.0,nan
1686958371,107a,1,66.365746,972.951721,0,0,-54,5,15,360,295,1011,1,0,0,3,3960,0.05694,22,521766272,1651,5,0.01969,28,74157749,74155220,402506/39329/97/5,835403/4685/275/23,111.4,2572767.601913876,220.69238783086394,2441984.0,2436000.0,nan
1686958372,107a,1,65.976013,962.222595,0,0,-55,2,15,370,285,1021,1,0,0,3,3962,0.06796,22,523288671,1651,5,0.00975,28,74195321,74192792,403634/39415/97/5,835798/4687/276/23,111.5,2575354.88,220.60223251882226,2335648.0,2448000.0,nan
1686958373,107a,1,66.607063,959.090698,0,0,-55,14,15,360,300,1022,1,0,0,3,3968,0.06508,22,524824903,1653,5,0.00966,28,74233851,74231322,404769/39492/97/5,836196/4691/277/23,124.0,2577366.5404878045,220.3723123758146,2394816.0,2376000.0,nan
