tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,cwnd_values,inflight,rtt,sending_rate,throughput,retransmissions_interval
12:11:17,db1d,1,42.624195,0.901282,0,0,-64,10,15,230,190,944,1,0,0,10,2066,0,9,45172036,17046,22,0.00138,28,580127441,580019043,157367/11645/1639/14,1143893/17500/3323/60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
12:11:18,db1d,1,1124.850952,10.409163,0,0,-65,7,15,230,185,937,1,0,0,10,2068,0.01061,17,45198882,17118,23,0.5403,21,581266063,581136286,157484/11648/1639/14,1144123/17671/3347/62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
12:11:19,db1d,1,1625.471069,29.428036,0,0,-53,3,15,340,295,1053,1,0,0,10,2080,0.09217,16,45266345,17174,26,0.39478,11,582443400,582301592,157728/11676/1651/14,1144479/17757/3393/68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
12:11:20,db1d,1,1564.216919,32.054974,0,0,-53,16,15,230,295,1054,1,0,0,10,2081,0.03728,20,45323041,17176,26,0.13904,6,583283868,583146831,158023/11681/1651/14,1145075/17759/3393/68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
12:11:21,db1d,1,1461.220581,40.23735,0,0,-53,12,15,320,295,1055,1,0,0,10,2081,0.13183,20,45394862,17178,26,0.05199,6,583980917,583843880,158329/11734/1651/14,1145672/17761/3393/68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
12:11:22,db1d,1,1626.723267,51.54311,0,0,-53,9,15,330,290,1052,1,0,0,10,2084,0.07821,20,45494644,17198,26,0.05094,15,585103803,584960653,158696/11757/1654/14,1146210/17781/3404/68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
12:11:23,db1d,1,2060.416748,56.683567,0,0,-54,5,15,330,285,1045,1,0,0,10,2087,0.05165,20,45591824,17229,26,0.0638,16,586802985,586659001,159010/11769/1655/14,1146689/17813/3432/68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
12:11:24,db1d,1,2393.152344,56.659805,0,0,-54,2,15,320,285,1045,1,0,0,10,2095,0.0996,21,45682876,17262,26,0.07279,16,588514142,588370158,159279/11801/1662/14,1147163/17849/3459/68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
12:11:25,db1d,1,2633.199707,57.707993,0,0,-54,14,15,320,290,1045,1,0,0,10,2105,0.1199,21,45774880,17298,26,0.07859,16,590160259,590017299,159559/11837/1668/14,1147616/17888/3493/68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
12:11:26,db1d,1,2813.875488,56.818977,0,0,-54,11,15,320,290,1048,1,0,0,10,2111,0.11991,21,45865661,17334,26,0.08308,16,591827376,591683392,159837/11869/1674/14,1148076/17926/3526/68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
12:11:27,db1d,1,2955.202148,56.479164,0,0,-53,7,15,360,295,1055,1,0,0,10,2116,0.15807,19,45957663,17364,26,0.07756,16,593576171,593432187,160115/11909/1678/14,1148565/17958/3551/68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
12:11:28,db1d,1,3049.817139,50.914135,0,0,-54,4,15,320,290,1052,1,0,0,10,2117,0.06023,19,46034278,17407,26,0.11224,16,595206033,595057312,160375/11912/1678/14,1149014/18005/3582/68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
12:11:29,db1d,1,3123.695068,52.344124,0,0,0,0,15,330,285,1043,1,0,0,10,2125,0.162,19,46119940,17447,26,0.10031,16,596870461,596722250,160639/11959/1685/14,1149475/18046/3613/68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
12:11:30,db1d,1,3182.544189,50.048103,0,0,-55,13,15,320,285,1043,1,0,0,10,2127,0.05951,18,46196806,17479,26,0.07835,16,598598901,598455941,160924/11961/1685/14,1149955/18079/3640/68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
12:11:31,db1d,1,3222.68457,51.938347,0,0,-60,9,15,330,280,1039,1,0,0,10,2133,0.06964,21,46281488,17517,26,0.08239,16,600273827,600129843,161187/11978/1688/14,1150419/18117/3672/68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
12:11:32,db1d,1,3254.055664,53.927887,0,0,-57,6,15,320,290,1046,1,0,0,10,2134,0.07188,21,46370763,17551,26,0.07833,16,601979223,601835239,161454/11997/1688/14,1150891/18151/3702/68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
12:11:33,db1d,1,3282.775146,58.104538,0,0,-57,2,15,330,285,1045,1,0,0,10,2139,0.06814,21,46469827,17581,26,0.07039,16,603751062,603602341,161750/12017/1692/14,1151388/18182/3724/68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan
