tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,cwnd_values,inflight,rtt,sending_rate,throughput,retransmissions_interval
21:17:24,e41c,1,169.295944,4.175849,0,0,-61,8,15,260,220,920,1,0,0,0,898,0.02268,13,5587610,2507,0,0.27678,26,82427047,82422354,28090/1798/68/0,256840/4890/28/1,0.9844961240310077,454809.6573991032,61.38769203508404,1824000.0,912000.0,nan
21:17:25,e41c,1,369.374878,19.46734,0,0,-62,5,15,260,210,907,1,0,0,0,900,0.01896,22,5634775,2513,0,0.23853,16,82905832,82903485,28347/1804/68/0,257321/4960/28/1,1.8339222614840989,1133553.5020408162,176.1587691307068,936000.0,456000.0,nan
21:17:26,e41c,1,412.122772,23.769812,0,0,-50,1,15,370,325,1034,1,0,0,0,900,0.09073,22,5676765,2513,0,0.08317,12,83229291,83227730,28520/1828/68/0,257921/4960/28/1,2.482638888888889,1580924.0455284552,320.2946325627769,984000.0,480000.0,nan
21:17:27,e41c,1,462.301453,27.721945,0,0,-50,14,15,380,330,1034,1,0,0,0,900,0.09533,22,5726965,2513,0,0.03055,18,83587530,83585035,28725/1846/68/0,258519/4961/28/1,3.7544483985765122,2294037.44,392.60411055191696,1848000.0,900000.0,nan
21:17:28,e41c,1,643.156677,34.443161,0,0,-55,10,15,380,325,1033,1,0,0,0,915,0.14944,22,5790310,2553,0,0.10873,26,84195366,84190673,28954/1875/68/0,259036/5017/28/1,5.203703703703703,3111226.9528455283,412.3003808463492,1968000.0,1008000.0,nan
21:17:29,e41c,1,777.186707,39.06385,0,0,-50,7,15,360,315,1028,1,0,0,0,928,0.09208,19,5858235,2586,0,0.09554,22,84842943,84839392,29276/1890/70/0,259574/5055/28/1,6.501766784452297,3871372.8,453.96703915162516,nan,1056000.0,nan
21:17:30,e41c,1,874.934814,34.694477,0,0,-51,3,15,360,315,1025,1,0,0,0,935,0.06488,22,5907297,2602,0,0.05648,24,85512829,85508710,29504/1896/72/0,260147/5071/28/1,8.035335689045937,4806745.6,551.8666331584637,nan,1248000.0,nan
21:17:31,e41c,1,982.358032,38.667511,0,0,-68,16,15,370,315,1025,1,0,0,0,953,0.0785,22,5976572,2631,0,0.05988,25,86244248,86239841,29750/1916/73/0,260703/5101/28/1,9.763636363636364,3808204.8,611.4235391803816,nan,1080000.0,nan
21:17:32,e41c,1,1066.526245,38.006893,0,0,-51,12,15,370,315,1022,1,0,0,0,970,0.10438,22,6036630,2681,0,0.08776,25,86953163,86949193,29959/1938/74/0,261213/5155/28/1,11.045454545454545,4803801.6,707.5698311512288,nan,1248000.0,nan
21:17:33,e41c,1,1134.184937,37.562878,0,0,-50,9,15,360,330,1031,1,0,0,0,986,0.12206,22,6097742,2716,0,0.08856,25,87691495,87687088,30178/1958/75/0,261745/5197/28/1,12.660839160839162,3701619.2,640.8540315628052,nan,1200000.0,nan
21:17:34,e41c,1,1190.338013,38.736588,0,0,-50,5,15,370,330,1034,1,0,0,0,995,0.07186,22,6162545,2736,0,0.0691,25,88463096,88458252,30423/1968/75/0,262302/5225/28/1,14.53623188405797,4676992.0,838.3600336440065,nan,960000.0,nan
21:17:35,e41c,1,1215.600708,33.565979,0,0,-96,2,15,370,325,1028,1,0,0,0,1024,0.15435,21,6209814,2821,0,0.14299,25,89114366,89109522,30593/2000/79/0,262776/5313/28/1,15.693140794223826,3808192.0,664.4605368375778,nan,1152000.0,nan
21:17:36,e41c,1,1215.585571,30.223984,0,0,-57,14,15,360,325,1024,1,0,0,0,1033,0.08389,17,6253592,2842,0,0.07772,23,89816739,89812505,30832/2009/79/0,263348/5334/28/1,15.469750889679716,4810752.0,861.3874005108344,nan,1008000.0,nan
21:17:37,e41c,1,1203.709106,26.049448,0,0,-52,11,15,350,310,1017,1,0,0,0,1049,0.0815,17,6290168,2883,0,0.08074,23,90469918,90465684,31041/2024/80/0,263890/5375/28/1,15.636690647482014,3877708.8,738.29988926015,nan,1128000.0,nan
21:17:38,e41c,1,1196.372314,24.00281,0,0,-53,7,15,380,310,1019,1,0,0,0,1060,0.06696,17,6326493,2911,0,0.05993,23,91141163,91136929,31255/2035/80/0,264445/5403/28/1,15.525,4827596.8,885.0586022271051,nan,1080000.0,nan
21:17:39,e41c,1,1210.565186,24.952551,0,0,-58,4,15,350,320,1024,1,0,0,0,1064,0.04404,21,6368207,2943,0,0.11619,26,91821160,91815879,31466/2039/80/0,264970/5449/28/1,15.636690647482014,3954163.2,830.0417455759916,nan,1068000.0,nan
21:17:40,e41c,1,1211.570801,27.772635,0,0,-60,16,15,370,320,1024,1,0,0,0,1078,0.06152,21,6415468,2982,0,0.10355,23,92478888,92472925,31661/2054/80/0,265492/5502/28/1,15.636690647482014,4135736.4770721197,868.0340311262341,10608000.0,1080000.0,nan
