tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,cwnd_values,inflight,rtt,sending_rate,throughput,retransmissions_interval
1687031347,d74d,1,44.492363,0.709847,0,0,-59,9,15,280,205,929,1,0,0,9,1081,0,9,562127031,371,1,0.04261,28,84648857,84648005,475088/40453/61/14,979546/13059/184/104,1.2,28417.253146853145,4.398079885952714,1652544.0,1716000.0,nan
1687031348,d74d,1,48.262291,190.273911,0,0,-60,6,15,260,205,920,1,0,0,9,1081,0,16,562594170,371,1,0.05064,28,84681533,84680681,475820/40453/61/14,979907/13079/184/104,1.3,32095.2347826087,3.9912967891483517,2146976.0,2052000.0,nan
1687031349,d74d,1,52.227478,395.455505,0,0,-55,2,15,390,300,1034,1,0,0,10,1081,0.13734,21,563525488,371,1,0.0699,28,84716761,84715909,476714/40590/63/15,980290/13106/184/104,1.6666666666666667,30923.704812834225,3.603732201360888,2170560.0,2184000.0,nan
1687031350,d74d,1,55.348888,605.123596,0,0,-48,15,15,400,300,1034,1,0,0,10,1082,0.12856,21,564770021,371,1,0.02986,28,84753293,84752557,477726/40712/63/15,980675/13109/185/104,1.4,25632.366878980894,3.8576466696602956,1759296.0,1776000.0,nan
1687031351,d74d,1,56.649414,731.161804,0,0,-48,11,15,370,300,1033,1,0,0,10,1082,0.11484,21,566104929,371,1,0.01041,28,84789641,84788789,478799/40826/63/15,981068/13109/185/104,1.6666666666666667,25765.177070063695,3.6968653018657975,1816800.0,1896000.0,nan
1687031352,d74d,1,57.394943,713.924072,0,0,-48,8,15,370,320,1033,1,0,0,10,1082,0.12749,21,567240414,371,1,0.00363,28,84825409,84824557,479734/40952/64/15,981456/13109/185/104,1.1,23472.84210526316,3.632937607012297,1734464.0,1800000.0,nan
1687031353,d74d,1,58.748489,732.284973,0,0,-49,4,15,370,290,1024,1,0,0,10,1084,0.14195,21,568439727,372,1,0.0039,28,84861809,84860957,480715/41103/64/15,981843/13111/185/104,1.1,28145.810285714288,3.6492797150008984,2040640.0,2136000.0,nan
1687031354,d74d,1,58.721359,723.021973,0,0,-49,1,15,380,315,1024,1,0,0,10,1084,0.14436,21,569571574,372,1,0.00238,28,84897007,84896155,481653/41239/65/15,982226/13111/185/104,1.5555555555555556,27654.967088607595,3.8697499495286207,1828800.0,1944000.0,nan
1687031355,d74d,1,59.822289,744.944824,0,0,-49,13,15,380,305,1023,1,0,0,10,1086,0.13687,21,570788874,372,1,0.00285,28,84933357,84932505,482646/41370/65/15,982615/13112/186/105,1.4,28642.819047619047,3.866662297930037,1934720.0,1980000.0,nan
1687031356,d74d,1,60.183422,756.118469,0,0,-49,10,15,380,305,1024,1,0,0,10,1086,0.1333,21,572012042,372,1,0.00225,28,84969720,84968984,483639/41498/65/15,983004/13113/186/105,1.3333333333333333,21358.528467153283,3.7921267397263465,1592544.0,1704000.0,nan
1687031357,d74d,1,59.916046,743.766663,0,0,-48,6,15,390,325,1034,1,0,0,10,1086,0.1308,20,573185414,372,1,0.00079,28,85005140,85004520,484648/41635/66/16,983389/13113/186/105,1.5,28240.28402366864,3.772228884409709,1993472.0,2040000.0,nan
1687031358,d74d,1,59.786957,742.240112,0,0,-49,3,15,380,325,1032,1,0,0,10,1086,0.11432,20,574352524,372,1,0.00027,28,85040924,85040188,485691/41753/67/17,983774/13113/186/105,1.6,28097.93488372093,3.728259591495289,2005472.0,1992000.0,nan
1687031359,d74d,1,59.696087,778.351318,0,0,-49,15,15,380,310,1023,1,0,0,10,1086,0.08226,20,575640450,372,1,0.0001,28,85076460,85075840,486817/41829/67/17,984160/13113/186/105,1.7777777777777777,28919.115294117648,3.62923542658488,1981888.0,2016000.0,nan
1687031360,d74d,1,59.483459,802.069763,0,0,-50,12,15,370,310,1022,1,0,0,10,1086,0.06352,20,576954535,372,1,0.00003,28,85111890,85111154,487962/41891/67/17,984545/13113/186/105,1.5,25798.942372881356,3.23541597886519,2064224.0,2112000.0,nan
1687031361,d74d,1,59.357796,813.119812,0,0,-51,8,15,350,285,1014,1,0,0,10,1086,0.05618,20,578272813,372,1,0.00001,28,85147280,85146660,489109/41953/67/17,984930/13113/186/105,2.0,30492.077419354835,3.614838226981786,2170560.0,2136000.0,nan
1687031362,d74d,1,59.720585,835.285828,0,0,-52,5,15,370,295,1023,1,0,0,10,1086,0.06251,21,579637883,372,1,0,28,85183754,85183134,490227/42022/67/17,985324/13113/186/105,1.7,29061.837362637372,3.5236428292949546,2146976.0,2160000.0,nan
1687031363,d74d,1,59.978405,860.5849,0,0,-52,1,15,370,305,1023,1,0,0,10,1086,0.06709,21,581050119,372,1,0,28,85220208,85219588,491353/42096/67/17,985718/13113/186/105,1.7,28794.514285714286,3.4543493960766085,2194144.0,2292000.0,nan
1687031364,d74d,1,60.681866,850.13501,0,0,-52,14,15,370,295,1024,1,0,0,10,1088,0.07513,21,582410948,372,1,0.00237,28,85256804,85256184,492443/42183/67/17,986110/13114/187/105,1.7777777777777777,23564.294736842105,3.6996596568339575,1723712.0,1764000.0,nan
1687031365,d74d,1,61.280712,822.420349,0,0,-51,10,15,360,300,1034,1,0,0,10,1089,0.08048,21,583711529,372,1,0.00274,28,85293163,85292543,493487/42263/67/17,986498/13115/188/106,1.7,30045.083544303798,4.172127063457784,1840384.0,1980000.0,nan
1687031366,d74d,1,61.276295,829.612122,0,0,-50,7,15,360,305,1032,1,0,0,10,1089,0.07725,21,585033159,372,1,0.00096,28,85329927,85329307,494556/42346/67/17,986891/13115/188/106,1.7777777777777777,26064.0,3.3805682741362473,2052640.0,2136000.0,nan
1687031367,d74d,1,61.266796,812.225769,0,0,-51,3,15,370,310,1022,1,0,0,10,1089,0.08339,21,586312827,372,1,0.00202,28,85366231,85365611,495592/42436/67/17,987281/13116/188/106,1.3,23101.329496402883,3.884262278460074,1592960.0,1716000.0,nan
1687031368,d74d,1,60.901035,788.508057,0,0,-50,16,15,350,290,1013,1,0,0,10,1089,0.09053,21,587557872,372,1,0.0007,28,85402191,85401571,496614/42532/67/17,987671/13116/188/106,1.6,24237.292307692303,3.365579283381083,1958720.0,2028000.0,nan
1687031369,d74d,1,62.426979,741.249695,0,0,-50,12,15,370,295,1013,1,0,0,10,1089,0.09607,21,588692522,373,1,0.0015,28,85439079,85438314,497560/42628/67/17,988056/13119/190/107,1.6666666666666667,21087.608163265304,3.4944984647962785,1722464.0,1752000.0,nan
1687031370,d74d,1,62.181931,770.256836,0,0,-50,9,15,360,305,1014,1,0,0,10,1089,0.09178,21,589957269,373,1,0.00482,28,85475433,85474813,498588/42717/67/17,988446/13120/190/107,0.5,6379.134246575343,3.3628079626295304,814688.0,900000.0,nan
1687031371,d74d,1,62.124435,690.98291,0,0,-49,5,15,360,295,1023,1,0,0,10,1089,0.11923,21,590992239,373,1,0.00281,28,85511663,85511043,499459/42830/68/17,988831/13122/190/107,0.5555555555555556,6105.081081081082,3.5215841399298773,861440.0,852000.0,nan
1687031372,d74d,1,61.254147,496.325531,0,0,-49,2,15,370,310,1023,1,0,0,10,1089,0.13712,21,591529383,373,1,0.00203,28,85546775,85546271,499968/42905/68/17,989213/13122/190/107,0.6,5906.2084507042255,3.4380001180312214,791520.0,792000.0,nan
1687031373,d74d,1,60.64365,414.259369,0,0,-49,14,15,360,295,1022,1,0,0,10,1089,0.13474,21,592085925,373,1,0.00071,28,85582235,85581615,500501/42976/68/17,989598/13122/190/107,0.6,6464.158024691358,3.1636035442352295,932192.0,972000.0,nan
1687031374,d74d,1,60.568691,391.29892,0,0,-50,11,15,350,285,1013,1,0,0,10,1089,0.12225,21,592674929,373,1,0.00025,28,85618391,85617771,501069/43039/68/17,989989/13122/190/107,0.5555555555555556,6578.567901234567,3.2241368293762207,955360.0,936000.0,nan
1687031375,d74d,1,60.628849,390.779938,0,0,-50,7,15,360,295,1013,1,0,0,10,1089,0.10788,21,593301405,373,1,0.00009,28,85654895,85654275,501667/43099/68/17,990383/13122/190/107,0.6,6042.4648648648645,3.483272280011858,838688.0,840000.0,nan
1687031376,d74d,1,60.487144,386.271637,0,0,-50,4,15,350,285,1013,1,0,0,10,1089,0.09728,21,593912178,373,1,0.00003,28,85690819,85690315,502244/43152/68/17,990772/13122/190/107,0.6,6742.148314606742,2.913684194738215,1026528.0,1068000.0,nan
1687031377,d74d,1,60.184132,387.694489,0,0,-50,16,15,360,295,1013,1,0,0,10,1089,0.0911,21,594527312,373,1,0.00001,28,85726511,85725891,502827/43204/68/17,991159/13122/190/107,0.5555555555555556,6255.36,3.1483894739395533,920608.0,936000.0,nan
