tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,cwnd_values,inflight,rtt,sending_rate,throughput,retransmissions_interval
1687201799,06da,1,37.047806,0.440179,0,0,-63,3,15,210,135,837,1,0,0,0,204,0,6,8214647,7194,1232,0.16667,6,165005856,164890691,79435/190/12/2,1486795/185290/27660/7418,0.05517241379310345,34206.870588235295,74.6861351860894,96000.0,108000.0,nan
1687201800,06da,1,46.314972,1.240189,0,0,-63,16,15,170,135,833,1,0,0,0,204,0,7,8217189,7194,1232,0.20694,6,165032285,164916635,79466/190/12/2,1487090/185358/27703/7422,0.028070175438596492,18037.942857142854,24.250121116638184,216000.0,240000.0,nan
1687201801,06da,1,94.310921,2.903747,0,0,-62,12,15,300,245,944,1,0,0,0,205,0.01286,8,8223690,7194,1232,0.37769,6,165126599,165010949,79542/191/12/2,1487440/185496/27711/7424,0.027586206896551724,13900.8,16.04804039001465,240000.0,240000.0,nan
1687201802,06da,1,137.001617,3.941188,0,0,-52,9,15,300,240,944,1,0,0,0,205,0.00448,9,8231304,7196,1232,0.134,6,165281225,165165575,79611/191/12/2,1488037/185498/27711/7424,0.020833333333333332,9267.2,11.475701332092287,240000.0,252000.0,nan
1687201803,06da,1,169.562149,4.437087,0,0,-52,5,15,290,250,944,1,0,0,0,205,0.00156,9,8239039,7196,1232,0.04672,7,165438531,165322772,79681/191/12/2,1488637/185498/27711/7424,0.02364864864864865,8071.432258064517,11.887145042419434,252000.0,252000.0,nan
1687201804,06da,1,198.949753,4.465938,0,0,-52,2,15,290,240,937,1,0,0,0,205,0.00055,9,8246073,7235,1232,0.10217,6,165570854,165455204,79745/191/12/2,1489093/185539/27752/7424,0.01718213058419244,7909.075862068965,13.941864967346191,228000.0,240000.0,nan
1687201805,06da,1,219.360535,4.455422,0,0,-58,14,15,270,240,929,1,0,0,0,205,0.00019,9,8253364,7263,1232,0.11587,8,165710775,165594322,79811/191/12/2,1489600/185567/27779/7424,0.013888888888888888,8535.578947368422,17.43499892098563,144000.0,168000.0,nan
1687201806,06da,1,232.36322,4.597464,0,0,-53,11,15,300,220,929,1,0,0,0,205,0.00007,9,8260766,7276,1232,0.07616,6,165858012,165742362,79878/191/12/2,1490141/185583/27796/7424,0.017605633802816902,9962.24,14.35415267944336,240000.0,240000.0,nan
1687201807,06da,1,245.586884,4.399312,0,0,-58,7,15,300,235,929,1,0,0,0,205,0.00002,9,8267835,7317,1232,0.18299,7,165988795,165873036,79942/191/12/2,1490590/185626/27836/7424,0.020905923344947737,8398.4,31.421875953674316,120000.0,144000.0,nan
1687201808,06da,1,249.705948,4.621541,0,0,-53,4,15,290,235,929,1,0,0,0,205,0.00001,9,8275494,7317,1232,0.0638,6,166145850,166030200,80011/191/12/2,1491190/185626/27836/7424,0.020618556701030927,7281.371428571429,12.804923057556152,216000.0,240000.0,nan
