tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,cwnd_values,inflight,rtt,sending_rate,throughput,retransmissions_interval
1687553071,ff00,1,42.824421,0.677925,0,0,-61,3,15,260,225,920,1,0,0,0,2147,0,9,19863757,5399,1,0.00351,28,259292559,259290822,89894/5552/187/0,949371/16518/189/9,0.8131868131868132,354340.7435294118,72.58488668335808,2184416.0,1128000.0,nan
1687553072,ff00,1,238.90979,4.966305,0,0,-62,16,15,250,215,920,1,0,0,0,2159,0.093,12,19876463,5437,1,0.42783,24,259528580,259521099,89994/5562/189/0,949637/16663/189/9,1.7570422535211268,1076188.7030303031,162.14191198349,948000.0,480000.0,nan
1687553073,ff00,1,398.413452,14.165909,0,0,-50,12,15,390,335,1041,1,0,0,0,2159,0.03243,17,19912033,5441,1,0.20025,14,260031044,260027989,90273/5562/189/0,950209/16679/189/9,2.4535714285714287,1521219.2288288288,309.1844197866079,888000.0,432000.0,nan
1687553074,ff00,1,424.005493,22.341211,0,0,-50,9,15,390,330,1041,1,0,0,0,2159,0.10408,24,19955320,5442,1,0.07081,12,260329061,260326350,90444/5587/189/0,950807/16680/189/9,3.4802867383512543,2107054.864516129,413.0739907960634,1788000.0,888000.0,nan
1687553075,ff00,1,472.98764,26.677448,0,0,-50,5,15,360,335,1041,1,0,0,0,2159,0.11032,20,20004638,5445,1,0.03249,18,260684812,260681373,90648/5616/189/0,951392/16687/191/9,4.790940766550523,3030614.428828829,401.6468428276681,1776000.0,852000.0,nan
1687553076,ff00,1,650.494629,33.868267,0,0,-51,2,15,380,330,1033,1,0,0,0,2174,0.05764,20,20064247,5470,1,0.0554,25,261327883,261319986,90905/5632/190/0,951932/16722/192/9,6.252559726962457,3676735.7295774645,417.7224694466105,6228000.0,1152000.0,nan
1687553077,ff00,1,818.686218,37.747795,0,0,-51,14,15,380,320,1032,1,0,0,0,2197,0.1089,20,20130753,5504,1,0.09601,25,262030758,262025839,91173/5658/191/0,952437/16779/195/9,7.914893617021277,3914598.4,501.4565687913162,nan,600000.0,nan
1687553078,ff00,1,944.285034,35.239285,0,0,-51,11,15,400,320,1032,1,0,0,0,2206,0.09459,20,20183518,5533,1,0.11182,25,262744550,262739631,91386/5667/192/0,952948/16831/196/9,9.186851211072664,4927040.0,604.0841025275153,nan,888000.0,nan
1687553079,ff00,1,1033.916504,32.095757,0,0,-51,7,15,380,325,1032,1,0,0,0,2229,0.10164,20,20229729,5582,1,0.12478,25,263421978,263417059,91571/5689/193/0,953433/16902/196/9,10.666666666666666,4030438.4,721.9957891263459,nan,948000.0,nan
1687553080,ff00,1,1089.07959,30.206179,0,0,-50,4,11,-80,335,1041,1,0,0,0,2250,0.11698,20,20274938,5629,1,0.12433,24,264078083,264070197,91748/5712/195/0,953915/16965/199/11,11.793220338983051,4141743.8068965515,800.4986430323402,10609760.0,972000.0,nan
