tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,cwnd_values,inflight,rtt,sending_rate,throughput,retransmissions_interval
20:20:41,c69f,1,87.951073,2.203917,0,0,-61,5,15,260,205,890,1,0,0,0,61,0,11,6085222,4678,0,0.1028,28,77538600,77531192,32850/413/9/0,586162/11143/4239/6,0.3007246376811594,278690.4727272727,81.12189277770027,299424.0,828000.0,nan
20:20:42,c69f,1,332.134247,13.270221,0,0,-49,1,15,370,320,1023,1,0,0,0,65,0.16221,15,6118088,4684,0,0.39266,18,77946998,77942822,33053/473/16/0,586521/11283/4243/8,0.2847457627118644,188551.87692307692,75.95987319946289,420000.0,408000.0,nan
20:20:43,c69f,1,387.951111,15.058904,0,0,-49,14,15,370,320,1023,1,0,0,0,65,0.08619,15,6147147,4684,0,0.13691,9,78282331,78280843,33234/480/16/0,587121/11283/4243/8,0.28716216216216217,192042.57391304348,114.16168530782063,372000.0,348000.0,nan
20:20:44,c69f,1,386.242371,13.210772,0,0,-49,10,15,350,315,1023,1,0,0,0,65,0.08733,16,6165800,4684,0,0.04774,10,78511181,78509693,33327/487/16/0,587721/11283/4243/8,0.29965156794425085,193937.71162790695,63.47000352267561,684000.0,696000.0,nan
20:20:45,c69f,1,460.594391,15.279693,0,0,-49,7,15,370,315,1019,1,0,0,0,65,0.06872,16,6191717,4685,0,0.01756,20,78907303,78903560,33478/495/16/0,588319/11284/4243/8,0.30985915492957744,197867.24324324325,55.33857732205778,888000.0,900000.0,nan
20:20:46,c69f,1,595.233704,17.209385,0,0,-50,3,15,360,305,1013,1,0,0,0,65,0.14458,16,6221746,4689,0,0.13155,19,79402242,79398843,33653/523/17/0,588800/11346/4244/8,0.31141868512110726,202379.29411764705,52.04940823947682,816000.0,828000.0,nan
20:20:47,c69f,1,668.5578,19.134081,0,0,-50,16,15,360,305,1013,1,0,0,0,65,0.0553,16,6254528,4689,0,0.04587,20,79928880,79925137,33847/526/17/0,589400/11346/4244/8,0.16040955631399317,144743.02950819672,56.82711601257324,312000.0,864000.0,nan
20:20:48,c69f,1,762.21582,19.184708,0,0,-50,12,15,350,305,1013,1,0,0,0,65,0.11852,16,6284904,4689,0,0.12288,21,80448307,80444220,34029/552/18/0,589875/11413/4244/8,0.17288135593220338,111947.01639344261,24.983458518981937,984000.0,960000.0,nan
20:20:49,c69f,1,835.107666,20.798317,0,0,-50,9,15,350,310,1016,1,0,0,0,65,0.09818,17,6320588,4689,0,0.05187,21,81063017,81058930,34249/568/20/0,590459/11421/4244/8,0.1903114186851211,119559.07368421051,28.318077639529584,912000.0,888000.0,nan
20:20:50,c69f,1,875.435913,19.550627,0,0,-49,5,15,340,315,1023,1,0,0,0,65,0.09287,14,6350127,4689,0,0.10302,20,81572220,81568477,34431/589/22/0,590949/11480/4244/8,0.20279720279720279,126296.90810810812,30.26283882759713,888000.0,888000.0,nan
20:20:51,c69f,1,902.200867,18.514919,0,0,-51,2,15,380,315,1019,1,0,0,0,65,0.03985,17,6378651,4693,0,0.07107,22,82117685,82113683,34626/592/22/0,591499/11505/4248/8,0.20677966101694914,134317.4295081967,29.372148513793945,984000.0,972000.0,nan
20:20:52,c69f,1,935.448914,20.286884,0,0,-51,14,15,370,315,1015,1,0,0,0,65,0.13119,17,6413157,4693,0,0.08413,21,82674779,82671769,34821/629/22/0,592015/11547/4248/8,0.21843003412969283,140856.98461538463,33.20146167979521,840000.0,792000.0,nan
20:20:53,c69f,1,960.665588,20.183123,0,0,-51,11,15,370,300,1009,1,0,0,0,65,0.1358,17,6446053,4693,0,0.12206,22,83221865,83217062,35013/654/22/0,592518/11596/4248/8,0.22448979591836735,146667.06823529414,44.28564650671824,684000.0,696000.0,nan
20:20:54,c69f,1,919.061279,18.598167,0,0,-52,7,15,340,310,1010,1,0,0,0,65,0.07721,17,6473946,4693,0,0.09619,17,83660624,83658277,35175/664/22/0,593057/11627/4249/8,0.23529411764705882,151987.34545454546,45.94317633530189,708000.0,708000.0,nan
20:20:55,c69f,1,880.4104,17.938482,0,0,-53,4,15,380,310,1014,1,0,0,0,65,0.05144,17,6501794,4693,0,0.03828,20,84115312,84112257,35345/670/22/0,593647/11632/4249/8,0.24398625429553264,156201.09473684212,42.7034804695531,912000.0,900000.0,nan
20:20:56,c69f,1,906.987915,19.107056,0,0,0,0,15,340,320,1015,1,0,0,0,65,0.13404,18,6533724,4695,0,0.13587,19,84604081,84601306,35523/702/22/0,594127/11700/4251/8,0.25886524822695034,163098.2213592233,41.7127483031329,828000.0,816000.0,nan
20:20:57,c69f,1,899.490112,19.926151,0,0,-53,13,15,360,310,1020,1,0,0,0,65,0.08374,18,6566817,4695,0,0.04737,20,85130719,85127664,35717/713/22/0,594727/11700/4251/8,0.2613240418118467,167968.0,46.02344229414656,876000.0,888000.0,nan
20:20:58,c69f,1,916.847656,20.062923,0,0,-52,9,15,370,325,1026,1,0,0,0,65,0.0851,18,6598776,4695,0,0.13281,19,85620523,85617748,35891/726/22/0,595207/11763/4251/8,0.2627986348122867,173010.4470588235,45.10846839231603,816000.0,828000.0,nan
20:20:59,c69f,1,904.419739,20.248625,0,0,-51,6,15,390,325,1021,1,0,0,0,66,0.10982,18,6631194,4698,0,0.05039,19,86136573,86133798,36082/751/22/0,595798/11767/4253/8,0.2743055555555556,177056.06597938144,54.83940690755844,780000.0,792000.0,nan
20:21:00,c69f,1,932.042847,19.911945,0,0,-52,2,15,370,305,1010,1,0,0,0,66,0.07377,18,6662509,4699,0,0.15119,20,86632485,86628053,36256/761/22/0,596255/11841/4253/8,0.28027681660899656,181514.18775510203,48.04091598048354,780000.0,792000.0,nan
20:21:01,c69f,1,914.999878,20.006262,0,0,-51,15,15,380,300,1004,1,0,0,0,66,0.10045,18,6694423,4699,0,0.06938,19,87133901,87131126,36440/783/22/0,596825/11856/4254/8,0.282312925170068,186911.24705882353,50.24058678570915,816000.0,816000.0,nan
