tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds
2:07:28,6490,1,42.97327,1.727291,0,0,-57,6,15,340,285,985,1,0,0,9,2792,0,9,130042595,1155,6,0,28,36662507,36659565,128880/10229/100/27,418637/10054/177/42
2:07:29,6490,1,49.370441,331.633728,0,0,-57,3,15,350,290,992,1,0,0,9,2792,0.00068,19,130955058,1155,6,0,28,36702850,36699908,130091/10232/100/27,419047/10054/177/42
2:07:30,6490,1,64.837601,565.70166,0,0,-57,15,15,360,300,1001,1,0,0,10,2832,0.15186,18,132170979,1172,6,0.04757,28,36754793,36751851,131096/10433/104/29,419436/10082/179/42
2:07:31,6490,1,73.397301,644.711548,0,0,-53,12,15,380,315,1022,1,0,0,10,2860,0.07375,18,133301856,1182,6,0.04756,28,36804615,36801673,132269/10473/104/29,419839/10103/182/42
2:07:32,6490,1,70.800362,743.655823,0,0,-50,8,15,380,320,1027,1,0,0,10,2862,0.0664,21,134601481,1182,6,0.01827,28,36841442,36838500,133418/10536/104/29,420231/10105/183/42
2:07:33,6490,1,69.816025,810.54541,0,0,-50,5,15,380,310,1027,1,0,0,10,2868,0.09418,21,135991410,1183,6,0.01872,28,36878735,36875909,134519/10648/105/29,420619/10110/185/42
2:07:34,6490,1,114.00412,788.322632,0,0,-57,1,15,380,330,1029,1,0,0,12,2988,0.16295,20,137247924,1234,6,0.18218,27,36963982,36961040,135521/10847/113/31,420968/10197/192/42
2:07:35,6490,1,127.781082,644.103271,0,0,-50,14,15,370,300,1026,1,0,0,12,3066,0.12412,12,138112462,1265,6,0.14332,18,37043450,37040525,136631/10950/114/31,421381/10240/198/43
2:07:36,6490,1,114.598045,549.798462,0,0,-50,10,15,380,305,1026,1,0,0,12,3066,0.04328,14,138860406,1265,6,0.04997,19,37089618,37086614,137843/10950/114/31,421830/10240/198/43
2:07:37,6490,1,125.276245,623.248596,0,0,-58,7,15,370,305,1026,1,0,0,12,3150,0.09325,19,139935209,1300,6,0.10525,24,37162592,37159766,138940/11064/116/31,422246/10284/206/43
2:07:38,6490,1,113.17997,694.232605,0,0,-50,3,15,370,305,1022,1,0,0,12,3176,0.05371,19,141150430,1311,6,0.0442,27,37202536,37199357,140098/11118/116/31,422627/10298/208/43
2:07:39,6490,1,101.086601,785.518616,0,0,-50,16,15,370,305,1022,1,0,0,12,3180,0.06184,23,142506910,1313,6,0.029,28,37241568,37238296,141250/11179/116/31,423028/10300/208/43
2:07:40,6490,1,115.69957,826.907837,0,0,-51,12,15,380,315,1027,1,0,0,12,3230,0.16782,20,143893838,1336,6,0.07705,28,37306924,37304098,142250/11392/116/31,423411/10342/209/43
2:07:41,6490,1,127.269691,672.493835,0,0,-52,9,15,380,310,1027,1,0,0,12,3336,0.116,13,144782332,1376,6,0.1421,21,37376885,37373821,143357/11494/120/31,423788/10406/215/43
2:07:42,6490,1,117.946251,605.423706,0,0,-53,5,15,380,305,1027,1,0,0,12,3336,0.04045,16,145645924,1376,6,0.05168,21,37430894,37428068,144569/11494/120/31,424250/10407/215/43
2:07:43,6490,1,123.384445,671.984009,0,0,-54,2,15,380,310,1026,1,0,0,12,3418,0.05846,19,146797031,1415,6,0.07577,24,37498337,37495511,145693/11583/120/31,424650/10452/218/43
2:07:44,6490,1,132.346146,704.867737,0,0,-54,14,11,-60,240,1031,1,0,0,12,3534,0.1087,20,147980700,1466,6,0.13078,24,37567148,37559951,146779/11706/122/31,425034/10506/221/43
