tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds
0:07:28,a24a,1,67.897682,2.167979,0,0,-57,10,15,330,290,992,1,0,0,0,4276,0,10,40484193,10761,0,0.03125,28,505654131,505646227,177977/11913/145/0,1715370/56291/983/6
0:07:29,a24a,1,355.099304,14.674293,0,0,-67,7,15,350,300,999,1,0,0,0,4286,0.03716,18,40521469,10787,0,0.20167,19,506189699,506186300,178210/11923/145/0,1715793/56398/984/6
0:07:30,a24a,1,457.483673,28.410654,0,0,-58,3,15,360,305,1010,1,0,0,0,4286,0.11168,26,40584842,10787,0,0.07173,17,506640731,506637094,178457/11945/145/0,1716391/56399/984/6
0:07:31,a24a,1,572.526917,38.978321,0,0,-53,16,15,370,315,1030,1,0,0,0,4290,0.10731,22,40657685,10795,0,0.04546,24,507163375,507156994,178731/11969/145/0,1716975/56408/985/6
0:07:32,a24a,1,735.718384,36.596008,0,0,-57,12,15,390,330,1034,1,0,0,0,4315,0.13087,22,40714943,10854,0,0.12089,24,507785375,507778994,178928/11999/147/0,1717452/56482/989/6
0:07:33,a24a,1,838.92334,33.380417,0,0,-62,9,15,380,330,1034,1,0,0,0,4349,0.1584,14,40764192,10917,0,0.1459,23,508372684,508366721,179155/12035/148/0,1717930/56556/993/6
0:07:34,a24a,1,909.164673,30.304535,0,0,-50,5,15,370,325,1031,1,0,0,0,4353,0.06316,14,40810035,10930,0,0.06893,22,509014660,509010658,179461/12039/148/0,1718499/56575/995/6
0:07:35,a24a,1,972.77948,25.119326,0,0,-50,2,15,380,330,1031,1,0,0,0,4368,0.08786,18,40843831,10976,0,0.12399,24,509634105,509626272,179649/12054/148/0,1719008/56631/996/6
0:07:36,a24a,1,1001.265503,24.504429,0,0,-50,14,15,380,325,1031,1,0,0,0,4377,0.06422,18,40881750,11009,0,0.0897,21,510234842,510228497,179856/12063/148/0,1719540/56670/998/6
0:07:37,a24a,1,1026.729126,29.451242,0,0,-50,11,15,380,330,1031,1,0,0,0,4382,0.04069,26,40933688,11025,0,0.06937,24,510862302,510857255,180073/12073/148/0,1720102/56693/999/6
0:07:38,a24a,1,1071.342529,31.122585,0,0,-59,7,15,370,325,1027,1,0,0,0,4408,0.20302,20,40987741,11085,0,0.1388,24,511483777,511477396,180239/12115/150/0,1720581/56765/1002/6
0:07:39,a24a,1,1083.323364,27.365936,0,0,-51,4,15,370,330,1029,1,0,0,0,4413,0.084,16,41026355,11100,0,0.06734,22,512132182,512125429,180463/12120/150/0,1721154/56784/1003/6
0:07:40,a24a,1,1098.207764,25.357225,0,0,0,0,15,380,325,1032,1,0,0,0,4424,0.08238,16,41064810,11127,0,0.07656,23,512774476,512767172,180683/12130/151/0,1721702/56817/1005/6
0:07:41,a24a,1,1112.503418,23.322964,0,0,-60,13,15,380,325,1032,1,0,0,0,4438,0.07244,16,41099781,11159,0,0.07397,23,513416681,513409377,180889/12144/151/0,1722234/56858/1009/6
0:07:42,a24a,1,1117.595093,21.695015,0,0,-62,9,15,380,325,1031,1,0,0,0,4452,0.08487,16,41132388,11210,0,0.10388,23,514026869,514019565,181070/12158/151/0,1722737/56913/1011/6
0:07:43,a24a,1,1122.792969,20.78157,0,0,-54,6,15,380,330,1032,1,0,0,0,4466,0.09953,16,41164370,11263,0,0.12489,23,514634940,514627636,181248/12172/151/0,1723238/56973/1013/6
0:07:44,a24a,1,1125.302124,20.720133,0,0,-81,2,15,360,325,1031,1,0,0,0,4485,0.111,16,41196912,11324,0,0.13198,23,515228404,515221100,181422/12191/151/0,1723728/57040/1017/6
0:07:45,a24a,1,1122.140015,22.854506,0,0,-58,15,15,370,325,1031,1,0,0,0,4493,0.06004,16,41235841,11344,0,0.07426,22,515867110,515861958,181643/12199/151/0,1724288/57064/1018/6
0:07:46,a24a,1,1127.235107,25.33964,0,0,-55,12,15,370,320,1024,1,0,0,0,4503,0.05847,22,41278752,11368,0,0.06671,23,516515975,516510400,181853/12210/151/0,1724844/57092/1021/6
0:07:47,a24a,1,1134.553711,29.203421,0,0,-56,8,15,400,325,1029,1,0,0,0,4518,0.08359,22,41331360,11407,0,0.08226,23,517156452,517150877,182062/12228/152/0,1725374/57135/1023/6
0:07:48,a24a,1,1133.071167,28.877274,0,0,-57,5,15,370,325,1031,1,0,0,0,4536,0.11301,22,41376900,11458,0,0.10848,23,517760677,517755102,182234/12248/152/0,1725872/57193/1026/6
0:07:49,a24a,1,1138.275513,34.306461,0,0,-57,1,15,370,330,1024,1,0,0,0,4557,0.08784,22,41440610,11498,0,0.09382,23,518398561,518395580,182479/12271/152/0,1726400/57236/1027/6
0:07:50,a24a,1,1143.386597,34.267067,0,0,-57,14,15,370,320,1021,1,0,0,0,4566,0.09589,22,41494926,11525,0,0.07404,23,519052781,519047206,182693/12284/152/0,1726940/57268/1031/6
0:07:51,a24a,1,1145.182495,31.396467,0,0,-56,10,11,-90,320,1023,1,0,0,0,4586,0.10308,22,41542078,11577,0,0.10209,23,519674419,519668456,182882/12307/152/0,1727453/57321/1033/6
0:07:52,a24a,1,1149.050659,32.000061,0,0,-56,7,15,350,315,1014,1,0,0,0,4603,0.1227,22,41593719,11609,0,0.08046,23,520322975,520319129,183089/12328/153/0,1727991/57359/1036/6
0:07:53,a24a,1,1148.935547,32.197353,0,0,-56,3,15,360,315,1011,1,0,0,0,4618,0.11515,22,41644584,11649,0,0.08403,23,520953554,520949708,183284/12347/153/0,1728515/57404/1041/6
0:07:54,a24a,1,1149.961426,31.880018,0,0,-57,16,15,360,310,1011,1,0,0,0,4632,0.09471,22,41695960,11690,0,0.08874,23,521588367,521582792,183484/12363/153/0,1729043/57449/1045/6
0:07:55,a24a,1,1147.545532,30.901917,0,0,-55,12,15,350,295,1003,1,0,0,0,4646,0.08536,22,41744441,11731,0,0.10211,23,522208063,522205470,183670/12379/153/0,1729553/57502/1048/6
0:07:56,a24a,1,1147.062988,32.350021,0,0,-55,9,15,350,295,1001,1,0,0,0,4656,0.06977,22,41797819,11755,0,0.08605,23,522848803,522844957,183876/12392/153/0,1730081/57544/1050/6
0:07:57,a24a,1,1151.234985,34.878326,0,0,-55,5,15,350,290,1001,1,0,0,0,4665,0.07106,24,41857689,11778,0,0.08023,23,523507345,523503499,184094/12401/153/0,1730624/57578/1051/6
0:07:58,a24a,1,1144.4198,40.881439,0,0,-61,2,15,350,305,1003,1,0,0,0,4689,0.13913,22,41933524,11823,0,0.11109,23,524113684,524108974,184366/12451/155/0,1731127/57634/1057/6
0:07:59,a24a,1,1141.068848,31.594637,0,0,-59,14,15,350,295,1001,1,0,0,0,4706,0.12931,19,41973204,11858,0,0.11123,23,524730873,524727027,184558/12469/156/0,1731636/57688/1058/6
0:08:00,a24a,1,1140.355713,27.968105,0,0,-55,11,15,350,300,1001,1,0,0,0,4715,0.07316,19,42013599,11892,0,0.10242,23,525358737,525356144,184756/12478/156/0,1732152/57735/1060/6
0:08:01,a24a,1,1139.875854,26.191914,0,0,-55,7,10,-120,60,761,1,0,0,0,4731,0.07633,19,42052955,11932,0,0.09601,23,525977090,525971992,184947/12493/157/0,1732664/57788/1063/6
0:08:02,a24a,1,1136.223389,24.159468,0,0,-53,4,15,340,285,994,1,0,0,0,4746,0.09626,19,42089237,11981,0,0.12056,23,526576691,526572845,185125/12508/157/0,1733159/57852/1065/6
