tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds
15:41:47,3052,1,42.812954,1.094457,0,0,-64,4,15,240,180,937,1,0,0,0,5711,0,9,398815896,2795,13,0,28,39071918,39002317,122603/8701/370/13,375315/3704/73/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:41:48,3052,1,60.373463,295.431488,0,0,0,0,15,230,185,937,1,0,0,0,5740,0.05526,16,399656321,2836,13,0.12011,28,39117600,39047999,122944/8731/370/13,375664/3769/74/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:41:49,3052,1,72.532524,569.771545,0,0,-65,13,15,230,165,920,1,0,0,0,5752,0.09708,17,400870957,2872,13,0.15735,23,39163212,39093611,123319/8779/372/13,376024/3833/74/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:41:50,3052,1,93.992378,1587.025635,0,0,-60,9,15,330,290,1043,1,0,0,0,5757,0.08778,16,404495609,2874,13,0.09656,21,39245081,39174954,124230/8840/374/13,376456/3861/75/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:41:51,3052,1,112.223709,2008.492798,0,0,-53,6,15,330,285,1044,1,0,0,0,5791,0.15581,14,408501890,2890,13,0.06265,23,39337875,39267902,125214/8956/382/13,376905/3878/75/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:41:52,3052,1,122.836418,1740.027588,0,0,-53,2,15,340,290,1043,1,0,0,0,5885,0.1381,13,410945923,2945,13,0.11893,23,39413665,39343752,126028/9051/384/13,377309/3933/75/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:41:53,3052,1,130.701645,1845.223389,0,0,-53,15,15,330,285,1040,1,0,0,0,5955,0.0948,13,413870208,2986,13,0.09905,22,39493233,39423325,126982/9117/388/13,377733/3974/75/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:41:54,3052,1,139.808197,2000.398438,0,0,-54,11,11,-60,280,1036,1,0,0,0,5995,0.06477,14,417386673,3017,13,0.09529,23,39578624,39507931,128075/9155/390/13,378174/4006/76/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:41:55,3052,1,150.80928,2277.941162,0,0,-54,8,15,330,280,1037,1,0,0,0,6049,0.05566,14,421286388,3046,13,0.0787,22,39677845,39607626,129175/9207/393/13,378625/4035/78/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:41:56,3052,1,165.122849,2362.610596,0,0,-75,4,15,330,265,1037,1,0,0,0,6120,0.1785,14,425251663,3083,13,0.11269,23,39777295,39707058,130190/9386/400/14,379049/4078/79/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:41:57,3052,1,157.510254,2019.469727,0,0,-54,1,15,340,275,1038,1,0,0,0,6168,0.08588,10,428065519,3107,13,0.07396,22,39852434,39782440,131352/9433/404/14,379490/4103/79/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:41:58,3052,1,150.549652,1771.485352,0,0,-53,13,15,340,285,1047,1,0,0,0,6238,0.07328,10,430602921,3139,13,0.07853,23,39920006,39850289,132494/9501/406/14,379921/4135/79/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:41:59,3052,1,153.708252,1624.469238,0,0,-54,10,15,330,285,1039,1,0,0,0,6356,0.10164,10,433021591,3198,13,0.13665,23,39997813,39927104,133589/9613/412/14,380324/4194/79/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:00,3052,1,151.581177,1574.957153,0,0,-55,6,15,310,265,1033,1,0,0,0,6456,0.09058,10,435487963,3245,13,0.12034,23,40069418,39999284,134702/9709/416/14,380737/4241/79/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:01,3052,1,153.221085,1555.958008,0,0,-56,3,15,330,280,1029,1,0,0,0,6566,0.09392,10,437928683,3296,13,0.12494,22,40147096,40077270,135805/9814/421/14,381144/4293/79/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:02,3052,1,149.664474,1774.111694,0,0,-56,15,15,320,265,1027,1,0,0,0,6600,0.05138,14,440974021,3313,13,0.07777,23,40223173,40152968,136983/9846/423/14,381599/4310/79/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:03,3052,1,164.507538,2182.219971,0,0,-64,12,15,320,280,1034,1,0,0,0,6694,0.067,14,444941730,3358,13,0.09189,22,40329207,40259381,138100/9936/429/14,382026/4357/83/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:04,3052,1,170.489609,2623.938721,0,0,-57,8,15,340,275,1034,1,0,0,0,6718,0.05748,19,449641353,3370,13,0.06533,22,40430932,40361094,139262/9986/429/14,382483/4372/87/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:05,3052,1,187.429382,2785.032227,0,0,-57,5,11,-60,270,1038,1,0,0,0,6822,0.1579,17,454402476,3417,13,0.11174,24,40545276,40474379,140247/10201/442/15,382894/4423/88/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:06,3052,1,202.7005,2495.5896,0,0,-56,1,15,330,260,1049,1,0,0,0,6874,0.09153,12,458086915,3443,13,0.08096,20,40682573,40611886,141407/10252/444/15,383356/4450/89/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:07,3052,1,247.3255,2434.884277,0,0,-55,14,15,340,260,1046,1,0,0,0,6926,0.0679,16,461825665,3466,13,0.0944,23,40879523,40807565,142568/10301/447/15,383821/4480/91/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:08,3052,1,323.365814,2802.597168,0,0,-56,10,15,330,245,1036,1,0,0,0,6982,0.05297,16,466724909,3492,13,0.09598,20,41153167,41083318,143724/10357/447/15,384281/4528/94/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:09,3052,1,284.084106,2727.948486,0,0,-55,7,10,-140,270,1022,1,0,0,0,6994,0.17054,16,471054316,3498,13,0.04834,23,41246772,41176622,144722/10569/451/15,384722/4538/95/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:10,3052,1,255.780945,2218.874023,0,0,-55,3,15,320,255,1029,1,0,0,0,7096,0.11582,9,474021602,3549,13,0.09333,22,41336143,41266473,145830/10669/455/15,385136/4591/95/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:11,3052,1,221.611465,1855.698975,0,0,-55,16,15,330,255,1032,1,0,0,0,7144,0.07648,9,476547698,3572,13,0.08455,25,41400646,41330732,146995/10714/458/15,385578/4614/95/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:12,3052,1,211.070374,1611.732544,0,0,-59,12,15,320,270,1034,1,0,0,0,7308,0.11687,9,478803090,3651,13,0.1624,23,41480072,41410026,148041/10873/465/15,385960/4695/95/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:13,3052,1,183.130081,1627.745117,0,0,-54,9,15,330,250,1039,1,0,0,0,7318,0.05167,9,481420930,3655,13,0.0658,21,41541105,41471548,149244/10883/465/15,386423/4699/95/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:14,3052,1,192.897919,1978.755737,0,0,-54,5,12,-30,280,1030,1,0,0,0,7448,0.09382,15,484971576,3717,13,0.14942,23,41637764,41567427,150328/11001/475/15,386837/4762/97/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:15,3052,1,191.390411,2564.441162,0,0,-55,2,15,320,255,1029,1,0,0,0,7456,0.04681,16,489818232,3721,13,0.06628,21,41747631,41677993,151531/11011/475/15,387321/4770/97/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:16,3052,1,199.34166,2509.965576,0,0,153391638,14,15,320,255,1029,1,0,0,0,7574,0.1788,14,493807700,3774,13,0.15592,22,41853545,41784008,152509/11231/489/15,387724/4828/97/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:17,3052,1,184.750458,2459.964111,0,0,-55,11,15,310,255,1029,1,0,0,0,7574,0.06403,13,497684529,3774,13,0.05436,22,41940024,41870077,153722/11231/489/15,388206/4828/97/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:18,3052,1,188.432816,2262.626709,0,0,-55,7,15,310,250,1029,1,0,0,0,7730,0.12057,13,501016785,3845,13,0.13759,21,42035517,41965847,154778/11374/502/15,388618/4898/98/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:19,3052,1,176.893082,2398.334961,0,0,-55,4,15,310,245,1029,1,0,0,0,7730,0.04204,15,504989480,3845,13,0.04798,22,42121985,42051803,155991/11374/502/15,389111/4898/98/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:42:20,3052,1,198.013626,2416.531006,0,0,0,0,15,320,260,1029,1,0,0,0,7878,0.17081,13,508928003,3914,13,0.16306,21,42236684,42166970,156980/11582/517/15,389506/4972/101/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
