tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds
21:34:20,982b,1,42.724152,0.720218,0,0,-60,15,15,280,235,929,1,0,0,0,2660,0,9,198172605,1072,0,0.00333,28,59688532,59688508,250688/16831/227/2,680196/3603/212/39
21:34:21,982b,1,46.005089,200.582138,0,0,-61,11,15,270,220,920,1,0,0,0,2660,0,16,198673119,1072,0,0.00366,28,59721440,59721300,251496/16831/227/2,680559/3604/212/39
21:34:22,982b,1,49.483437,369.16098,0,0,-52,8,15,390,310,1039,1,0,0,0,2660,0.14825,12,199483552,1072,0,0.008,28,59756416,59756392,252503/17035/227/2,680940/3609/212/39
21:34:23,982b,1,51.733376,414.664825,0,0,-49,4,15,390,300,1039,1,0,0,0,2660,0.05205,12,200206344,1072,0,0.00279,28,59791412,59791272,253714/17036/227/2,681321/3609/212/39
21:34:24,982b,1,53.648823,485.579529,0,0,-49,1,15,380,315,1039,1,0,0,0,2660,0.14619,15,201070910,1072,0,0.00097,28,59826881,59826741,254793/17166/230/2,681706/3609/212/39
21:34:25,982b,1,55.510288,564.330933,0,0,-49,13,15,380,320,1034,1,0,0,0,2660,0.05664,15,202076998,1072,0,0.00034,28,59863385,59863245,255995/17176/230/2,682100/3609/212/39
21:34:26,982b,1,57.542358,573.086792,0,0,-50,10,15,370,310,1029,1,0,0,0,2664,0.12882,16,203011860,1072,0,0.00366,28,59899466,59899326,257070/17312/232/2,682484/3611/214/39
21:34:27,982b,1,58.196602,623.911743,0,0,-50,6,15,380,310,1029,1,0,0,0,2664,0.05582,16,204074780,1072,0,0.00128,28,59935506,59935366,258260/17334/232/2,682874/3611/214/39
21:34:28,982b,1,59.304306,581.984741,0,0,-50,3,15,380,300,1029,1,0,0,0,2668,0.19072,13,204958009,1073,0,0.00381,28,59971510,59971370,259270/17530/238/2,683257/3613/215/39
21:34:29,982b,1,59.095276,482.134918,0,0,-50,15,15,380,305,1033,1,0,0,0,2668,0.0665,11,205607553,1073,0,0.00133,28,60006622,60006482,260482/17530/238/2,683639/3613/215/39
21:34:30,982b,1,58.834946,508.967743,0,0,-49,12,15,390,300,1039,1,0,0,0,2668,0.07669,18,206428842,1073,0,0.00046,28,60041386,60041362,261647/17579/238/2,684018/3613/215/39
21:34:31,982b,1,65.156998,523.951294,0,0,-50,8,15,390,305,1034,1,0,0,0,2700,0.12232,14,207281610,1086,0,0.02989,28,60084959,60084819,262701/17734/240/3,684409/3627/215/39
21:34:32,982b,1,67.913643,548.708679,0,0,-51,5,15,380,300,1029,1,0,0,0,2710,0.04576,15,208189200,1090,0,0.01971,28,60128374,60128234,263904/17743/241/3,684832/3634/216/39
21:34:33,982b,1,88.673531,530.596436,0,0,-51,1,15,370,315,1024,1,0,0,0,2806,0.17599,12,209026727,1132,0,0.13016,28,60191732,60191592,264904/17953/242/3,685212/3694/222/39
21:34:34,982b,1,81.057396,454.813934,0,0,-52,14,15,360,295,1023,1,0,0,0,2806,0.06136,11,209658583,1132,0,0.04538,28,60227414,60227274,266117/17953/242/3,685599/3694/222/39
21:34:35,982b,1,76.17131,517.200073,0,0,-53,10,15,380,305,1029,1,0,0,0,2808,0.07453,19,210539028,1133,0,0.01846,28,60263966,60263942,267280/18001/242/3,685988/3695/222/39
21:34:36,982b,1,72.919739,547.419617,0,0,-53,7,15,380,315,1029,1,0,0,0,2814,0.10519,14,211443705,1135,0,0.01313,28,60300252,60300228,268353/18138/245/3,686368/3700/223/39
21:34:37,982b,1,69.904961,573.522949,0,0,-53,3,15,370,300,1034,1,0,0,0,2814,0.03668,17,212385425,1135,0,0.00458,28,60337104,60336964,269565/18138/245/3,686765/3700/223/39
21:34:38,982b,1,68.0261,569.703064,0,0,-52,16,15,390,315,1039,1,0,0,0,2814,0.10936,14,213283556,1135,0,0.00328,28,60374157,60374017,270627/18288/246/3,687153/3701/223/39
21:34:39,982b,1,66.457619,583.533142,0,0,-51,12,15,380,300,1034,1,0,0,0,2814,0.03813,17,214225276,1135,0,0.00114,28,60411357,60411217,271839/18288/246/3,687553/3701/223/39
21:34:40,982b,1,65.298317,594.98468,0,0,-52,9,15,370,300,1024,1,0,0,0,2814,0.0873,17,215179690,1135,0,0.0052,28,60447326,60447186,272920/18420/246/3,687935/3704/223/39
21:34:41,982b,1,64.474289,620.451904,0,0,-51,5,15,370,295,1019,1,0,0,0,2818,0.073,16,216185870,1137,0,0.00414,28,60484139,60483999,274051/18501/246/3,688325/3706/223/39
21:34:42,982b,1,64.117874,603.750183,0,0,-51,2,15,370,295,1019,1,0,0,0,2822,0.15877,15,217150332,1137,0,0.00604,28,60519979,60519839,275128/18636/247/3,688707/3708/225/39
21:34:43,982b,1,63.56255,620.384644,0,0,-51,14,15,370,300,1023,1,0,0,0,2822,0.05619,15,218164916,1137,0,0.00211,28,60557179,60557039,276339/18637/247/3,689107/3708/225/39
21:34:44,982b,1,63.656872,581.498352,0,0,-50,11,15,380,295,1029,1,0,0,0,2828,0.16692,13,219050969,1139,0,0.00673,28,60593557,60593417,277377/18804/255/3,689490/3711/226/39
21:34:45,982b,1,62.158333,512.190918,0,0,-50,7,15,380,300,1029,1,0,0,0,2828,0.0582,12,219782569,1139,0,0.00234,28,60628321,60628181,278589/18804/255/3,689869/3711/226/39
21:34:46,982b,1,61.333538,523.00824,0,0,-50,4,15,370,290,1024,1,0,0,0,2828,0.15005,14,220623792,1139,0,0.00082,28,60663737,60663597,279682/18918/261/3,690253/3711/226/39
21:34:47,982b,1,66.955948,545.727844,0,0,-50,16,15,360,305,1019,1,0,0,0,2840,0.06016,14,221527763,1145,0,0.01347,28,60709831,60709691,280882/18930/261/3,690670/3718/226/39
21:34:48,982b,1,71.041763,580.81134,0,0,-51,13,15,370,290,1019,1,0,0,0,2868,0.0404,19,222480735,1156,0,0.02708,28,60753196,60753172,282056/18968/262/3,691060/3736/229/39
21:34:49,982b,1,68.997147,552.544678,0,0,-51,9,15,370,290,1017,1,0,0,0,2872,0.11293,13,223320504,1156,0,0.01214,28,60789413,60789273,283098/19134/265/3,691445/3738/231/39
21:34:50,982b,1,66.531654,542.224548,0,0,-51,6,15,370,295,1017,1,0,0,0,2872,0.03938,16,224162948,1156,0,0.00423,28,60825105,60824965,284311/19134/265/3,691832/3738/231/39
21:34:51,982b,1,65.340408,528.057068,0,0,-51,2,15,370,305,1019,1,0,0,0,2874,0.14174,12,224991583,1157,0,0.00443,28,60861331,60861191,285341/19309/271/3,692217/3740/231/39
21:34:52,982b,1,63.514496,486.720062,0,0,-51,15,15,370,295,1017,1,0,0,0,2874,0.04942,13,225716143,1157,0,0.00154,28,60896211,60896187,286554/19309/271/3,692597/3740/231/39
21:34:53,982b,1,62.417213,530.979126,0,0,-51,11,15,360,295,1014,1,0,0,0,2874,0.13791,17,226627704,1157,0,0.00054,28,60931824,60931800,287639/19435/272/3,692979/3740/231/39
21:34:54,982b,1,62.126385,582.361572,0,0,-50,8,15,360,295,1013,1,0,0,0,2874,0.06635,15,227617822,1157,0,0.00019,28,60968676,60968536,288811/19475/273/3,693376/3740/231/39
21:34:55,982b,1,62.054298,571.319397,0,0,-51,4,15,360,285,1014,1,0,0,0,2874,0.21071,16,228544079,1157,0,0.00215,28,61005345,61005205,289842/19653/276/3,693761/3741/231/39
21:34:56,982b,1,61.561142,549.419739,0,0,-52,1,15,360,300,1009,1,0,0,0,2874,0.07447,13,229410291,1157,0,0.00075,28,61041501,61041361,291054/19654/276/3,694152/3741/231/39
21:34:57,982b,1,61.499653,547.341431,0,0,-52,13,15,360,290,1004,1,0,0,0,2876,0.12679,18,230283714,1157,0,0.00263,28,61077257,61077117,292174/19745/277/3,694536/3742/232/39
21:34:58,982b,1,61.509712,588.67395,0,0,-53,10,15,340,275,994,1,0,0,0,2876,0.07719,15,231268369,1157,0,0.00092,28,61114159,61114019,293329/19800/279/3,694932/3742/232/39
21:34:59,982b,1,61.234535,574.915833,0,0,-52,6,15,340,285,994,1,0,0,0,2876,0.18481,16,232194641,1157,0,0.00032,28,61150510,61150370,294403/19934/282/3,695322/3742/232/39
21:35:00,982b,1,61.426731,609.67926,0,0,-53,3,15,350,285,1003,1,0,0,0,2876,0.06444,15,233217713,1157,0,0.00011,28,61187710,61187570,295616/19934/282/3,695722/3742/232/39
21:35:01,982b,1,61.215542,590.501282,0,0,-53,15,15,360,295,1013,1,0,0,0,2876,0.18226,16,234155908,1157,0,0.00254,28,61223739,61223599,296674/20085/285/3,696109/3743/232/39
21:35:02,982b,1,61.314037,616.036377,0,0,-55,12,15,370,290,1017,1,0,0,0,2876,0.06461,15,235177028,1157,0,0.00089,28,61260707,61260567,297885/20087/285/3,696507/3743/232/39
21:35:03,982b,1,60.975761,591.869751,0,0,-55,8,15,370,280,1014,1,0,0,0,2876,0.15968,14,236102020,1157,0,0.00031,28,61296677,61296537,298952/20230/288/3,696892/3743/232/39
21:35:04,982b,1,61.214672,580.559143,0,0,-56,5,15,360,285,1009,1,0,0,0,2876,0.05568,14,237015596,1157,0,0.00011,28,61333877,61333737,300164/20230/288/3,697292/3743/232/39
21:35:05,982b,1,60.913532,603.962463,0,0,-56,1,15,360,280,1007,1,0,0,0,2876,0.10386,18,237999690,1157,0,0.00004,28,61369897,61369873,301275/20331/289/3,697682/3743/232/39
21:35:06,982b,1,60.785137,626.166931,0,0,-56,14,15,360,285,1009,1,0,0,0,2876,0.08157,16,239014003,1157,0,0.00001,28,61406074,61405934,302395/20423/290/3,698072/3743/232/39
21:35:07,982b,1,60.697067,637.876587,0,0,-56,10,15,350,280,1004,1,0,0,0,2876,0.0802,18,240059046,1157,0,0,28,61442365,61442225,303545/20485/290/3,698464/3743/232/39
21:35:08,982b,1,61.143494,579.134766,0,0,-55,7,15,340,290,994,1,0,0,0,2880,0.11429,13,240906265,1159,0,0.00267,28,61478967,61478827,304608/20634/291/3,698849/3745/232/39
21:35:09,982b,1,60.778156,554.00415,0,0,-56,3,15,330,265,983,1,0,0,0,2880,0.03985,16,241748373,1159,0,0.00093,28,61514775,61514635,305820/20634/291/3,699237/3745/232/39
21:35:10,982b,1,61.862049,573.837646,0,0,-55,16,15,330,260,977,1,0,0,0,2886,0.14873,16,242685797,1161,0,0.00845,28,61551178,61551038,306841/20822/293/3,699617/3749/233/39
21:35:11,982b,1,61.549179,628.396118,0,0,-55,12,15,330,255,977,1,0,0,0,2886,0.05633,16,243761821,1161,0,0.00295,28,61587566,61587542,308044/20831/293/3,700010/3749/233/39
21:35:12,982b,1,60.90419,609.888611,0,0,-55,9,15,320,260,974,1,0,0,0,2886,0.16719,15,244723507,1161,0,0.00103,28,61623027,61622887,309095/20991/295/3,700394/3749/233/39
21:35:13,982b,1,60.687523,590.847961,0,0,-56,5,15,310,260,964,1,0,0,0,2886,0.0583,14,245646563,1161,0,0.00036,28,61659299,61659043,310307/20991/295/3,700786/3749/233/39
21:35:14,982b,1,61.995716,578.537354,0,0,-55,2,15,310,240,955,1,0,0,0,2896,0.16035,15,246564359,1164,0,0.0132,28,61696187,61695931,311372/21136/298/3,701169/3755/235/39
21:35:15,982b,1,78.487625,592.523376,0,0,-55,14,15,310,255,955,1,0,0,0,2946,0.09189,15,247537831,1182,0,0.08445,28,61753969,61753164,312534/21185/299/3,701559/3792/241/39
21:35:16,982b,1,106.934349,583.70697,0,0,-55,11,11,-80,225,960,1,0,0,0,3046,0.09222,15,248466976,1225,1,0.17628,26,61831425,61830236,313647/21284/300/3,701927/3868/246/41
21:35:17,982b,1,113.971443,605.667358,0,0,-54,7,15,300,230,944,1,0,0,0,3078,0.04627,16,249455340,1238,1,0.09898,21,61900751,61899737,314827/21316/300/3,702368/3894/249/41
