tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds
13:42:35,b3d3,1,90.819969,1.568667,0,0,-65,12,15,210,170,907,1,0,0,0,2,0,10,511980,7,0,0.00286,28,10619258,10604529,4162/2/0/0,123960/9/1/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:36,b3d3,1,761.696655,11.277883,0,0,-66,8,15,220,170,907,1,0,0,0,2,0.03125,19,541278,48,0,0.36757,20,11471469,11447741,4299/12/0/0,124254/171/10/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:37,b3d3,1,1198.2771,21.672363,0,0,-59,5,15,310,270,1034,1,0,0,0,12,0.11669,13,588180,110,0,0.22938,10,12528565,12518305,4517/41/8/0,124660/229/48/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:38,b3d3,1,1218.602783,23.263256,0,0,-55,1,15,280,285,1034,1,0,0,0,12,0.04069,15,627844,112,0,0.08594,6,13291204,13287653,4790/41/8/0,125251/233/49/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:39,b3d3,1,1277.369873,37.732555,0,0,-54,14,15,270,285,1034,1,0,0,0,13,0.01741,25,700626,120,0,0.03766,11,14125179,14116539,5071/42/9/0,125835/241/49/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:40,b3d3,1,1580.820801,64.390602,0,0,-54,10,15,280,285,1031,1,0,0,0,16,0.0399,28,837235,163,0,0.07012,13,15375477,15364162,5356/53/11/0,126309/284/69/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:41,b3d3,1,1813.630859,77.834503,0,0,-55,7,15,260,260,1024,1,0,0,0,17,0.03836,28,978678,214,0,0.09244,13,16643380,16632065,5643/63/12/0,126784/334/82/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:42,b3d3,1,1986.957397,83.087257,0,0,-55,3,15,310,275,1024,1,0,0,0,19,0.04683,28,1116883,264,0,0.10906,13,17912035,17900720,5927/77/14/0,127260/385/94/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:43,b3d3,1,2114.152588,87.2677,0,0,-55,16,15,270,275,1024,1,0,0,0,20,0.03951,28,1261302,315,0,0.10789,13,19180690,19169375,6220/87/14/0,127736/436/106/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:44,b3d3,1,2211.428955,91.280807,0,0,-55,12,10,-100,275,1026,1,0,0,0,25,0.04365,28,1413437,359,0,0.09249,13,20475735,20464420,6531/103/16/0,128225/479/120/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:45,b3d3,1,2278.60498,86.390831,0,0,-55,9,15,310,285,1034,1,0,0,0,30,0.04594,28,1544533,406,0,0.1009,13,21713727,21705933,6800/115/18/0,128686/527/142/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:46,b3d3,1,2328.734131,85.079308,0,0,-55,5,15,280,285,1032,1,0,0,0,32,0.05722,28,1679801,449,0,0.10161,13,22953223,22945429,7080/130/20/0,129149/570/169/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:47,b3d3,1,2370.186523,88.878662,0,0,-56,2,15,270,275,1024,1,0,0,0,37,0.06736,28,1826052,492,0,0.09847,13,24255310,24243995,7379/149/24/0,129640/612/182/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:48,b3d3,1,2398.032227,91.653549,0,0,-56,14,15,310,275,1022,1,0,0,0,52,0.10929,28,1976616,545,0,0.10759,13,25525918,25519325,7685/190/38/0,130118/665/191/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:49,b3d3,1,2407.521973,86.041931,0,0,-57,11,15,260,265,1016,1,0,0,0,55,0.11207,25,2110559,611,0,0.15386,12,26750435,26740547,7970/229/41/0,130582/728/198/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:50,b3d3,1,2281.988281,86.619659,0,0,-58,7,15,270,275,1024,1,0,0,0,60,0.05692,26,2248882,648,0,0.09967,11,27802055,27796103,8285/238/46/0,131108/765/199/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:51,b3d3,1,2187.085205,87.576805,0,0,-58,4,15,310,275,1024,1,0,0,0,67,0.11804,26,2390290,689,0,0.08605,11,28842731,28836779,8589/284/53/0,131626/806/199/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:52,b3d3,1,2115.488525,86.250366,0,0,-58,16,15,320,275,1027,1,0,0,0,74,0.09065,25,2528255,736,0,0.09109,11,29867663,29859023,8898/315/59/0,132135/852/199/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:53,b3d3,1,2063.871826,88.701752,0,0,-57,13,15,270,285,1034,1,0,0,0,79,0.06957,28,2670352,778,0,0.08681,11,30902963,30897011,9215/333/62/0,132651/895/199/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:54,b3d3,1,2027.111206,92.355026,0,0,-57,9,15,270,280,1031,1,0,0,1,90,0.12835,26,2822424,815,0,0.07623,11,31959959,31951319,9530/386/74/1,133179/931/199/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:55,b3d3,1,1999.698608,93.01004,0,0,-57,6,15,270,275,1022,1,0,0,1,93,0.06282,26,2973628,852,0,0.07088,11,33011579,33005627,9858/396/76/1,133705/969/199/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:56,b3d3,1,1977.979858,92.840591,0,0,-56,2,15,270,265,1014,1,0,0,1,97,0.06261,28,3120429,893,0,0.08174,11,34052831,34046879,10170/416/79/1,134224/1010/199/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:57,b3d3,1,1962.245361,94.483734,0,0,-56,15,15,270,265,1014,1,0,0,1,105,0.13963,27,3276490,928,0,0.07249,11,35111297,35105345,10489/476/86/1,134754/1044/200/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:58,b3d3,1,1951.084106,93.409454,0,0,-59,11,15,290,265,1016,1,0,0,1,105,0.07301,27,3425330,962,0,0.06726,11,36173027,36167075,10804/488/86/1,135286/1078/200/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:42:59,b3d3,1,1944.981934,96.255699,0,0,-56,8,15,270,275,1024,1,0,0,1,108,0.04674,28,3582926,993,0,0.0656,11,37246343,37240391,11129/498/87/1,135824/1109/200/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:43:00,b3d3,1,1964.808228,102.125061,0,0,-55,4,15,270,275,1024,1,0,0,1,111,0.04487,28,3754928,1021,0,0.05454,12,38375051,38368235,11477/517/89/1,136368/1137/200/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
