tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds
17:54:43,07d3,1,164.743973,4.233073,0,0,-61,11,15,260,210,907,1,0,0,0,4593,0.00588,13,33975412,11659,0,0.23184,27,476647414,476642578,164246/10171/378/1,1660068/33777/152/12
17:54:44,07d3,1,372.641266,13.504418,0,0,-62,8,15,240,205,890,1,0,0,0,4598,0.04852,23,34006933,11666,0,0.32134,17,477090834,477088487,164404/10184/379/1,1660498/33877/152/12
17:54:45,07d3,1,404.836151,15.188967,0,0,-50,4,15,380,315,1017,1,0,0,0,4598,0.11741,19,34035467,11666,0,0.11205,10,477394925,477393714,164525/10211/379/1,1661098/33877/152/12
17:54:46,07d3,1,407.711426,14.377237,0,0,-50,1,15,360,305,1017,1,0,0,0,4598,0.04094,21,34056816,11666,0,0.03907,13,477642521,477640776,164627/10211/379/1,1661698/33877/152/12
17:54:47,07d3,1,532.587769,25.665913,0,0,-50,13,15,360,305,1019,1,0,0,0,4598,0.10657,24,34109754,11666,0,0.01445,23,478166656,478162810,164823/10241/379/1,1662296/33878/152/12
17:54:48,07d3,1,719.2995,31.953245,0,0,-55,10,15,340,310,1015,1,0,0,0,4640,0.18754,16,34169147,11744,0,0.13843,24,478799288,478795169,165057/10290/384/1,1662772/33964/152/12
17:54:49,07d3,1,856.229614,25.512007,0,0,-51,6,15,340,305,1009,1,0,0,0,4659,0.10988,11,34203531,11790,0,0.11368,24,479484572,479480453,165295/10307/386/1,1663302/34015/152/12
17:54:50,07d3,1,950.430054,19.665571,0,0,-51,3,15,350,305,1007,1,0,0,0,4683,0.12131,11,34227723,11833,0,0.12348,24,480154950,480150831,165497/10329/388/1,1663819/34067/152/12
17:54:51,07d3,1,1023.613159,17.414791,0,0,-51,15,15,350,310,1007,1,0,0,0,4701,0.10023,11,34252538,11882,0,0.11295,24,480827067,480822948,165698/10346/389/1,1664338/34121/152/12
17:54:52,07d3,1,1080.241455,16.848034,0,0,-53,12,15,350,305,1011,1,0,0,0,4716,0.0893,11,34279057,11918,0,0.08432,24,481523374,481519255,165912/10361/389/1,1664876/34160/152/12
17:54:53,07d3,1,1124.901978,16.453331,0,0,-53,8,15,370,315,1017,1,0,0,0,4728,0.08362,11,34305323,11954,0,0.06801,24,482230989,482226870,166134/10373/389/1,1665426/34196/152/12
17:54:54,07d3,1,1161.670044,16.635769,0,0,-51,5,15,360,310,1014,1,0,0,0,4734,0.05248,11,34332777,11979,0,0.06538,24,482958389,482954270,166374/10379/389/1,1665989/34221/152/12
17:54:55,07d3,1,1184.154785,16.449633,0,0,-52,1,15,330,315,1007,1,0,0,0,4754,0.07413,11,34358969,12020,0,0.07178,24,483650172,483646053,166591/10398/390/1,1666523/34267/152/12
17:54:56,07d3,1,1196.803223,16.020357,0,0,-52,14,15,350,300,1004,1,0,0,0,4766,0.08213,11,34384177,12055,0,0.08029,24,484335168,484331049,166801/10410/390/1,1667052/34312/152/12
17:54:57,07d3,1,1207.856201,15.953499,0,0,-52,10,15,370,290,1001,1,0,0,0,4788,0.08798,11,34409093,12102,0,0.09302,24,485015116,485010997,167005/10427/395/1,1667578/34365/152/12
17:54:58,07d3,1,1216.543335,15.511633,0,0,-54,7,15,360,305,1007,1,0,0,0,4806,0.0868,11,34433419,12144,0,0.08755,24,485704924,485700805,167212/10445/395/1,1668112/34408/152/12
17:54:59,07d3,1,1219.244751,15.176501,0,0,-54,3,15,340,305,1009,1,0,0,0,4824,0.10418,11,34457242,12189,0,0.09989,24,486373445,486369326,167417/10462/396/1,1668628/34461/152/12
17:55:00,07d3,1,1219.469482,14.532566,0,0,-54,16,15,370,310,1011,1,0,0,0,4854,0.15119,10,34480067,12248,0,0.12239,24,487024563,487020444,167593/10488/400/1,1669130/34527/152/12
17:55:01,07d3,1,1232.129639,15.375878,0,0,-53,12,15,360,305,1015,1,0,0,0,4862,0.08669,10,34506435,12272,0,0.07461,24,487753822,487750108,167837/10496/400/1,1669692/34551/152/12
17:55:02,07d3,1,1233.339111,14.689654,0,0,-52,9,15,350,305,1014,1,0,0,0,4880,0.09447,10,34529595,12323,0,0.07944,24,488431678,488427559,168045/10513/401/1,1670218/34602/152/12
17:55:03,07d3,1,1231.752197,14.738132,0,0,-53,5,15,330,300,1004,1,0,0,0,4907,0.11647,10,34553316,12378,0,0.10309,24,489091558,489087439,168255/10536/405/1,1670725/34661/152/12
17:55:04,07d3,1,1233.492432,19.142256,0,0,-92,2,15,340,295,998,1,0,0,0,4931,0.10377,10,34589796,12415,0,0.09792,24,489783340,489778293,168571/10560/407/1,1671260/34702/152/12
17:55:05,07d3,1,1236.710815,16.53163,0,0,-68,14,15,370,295,998,1,0,0,0,4948,0.11077,10,34613678,12461,0,0.11072,24,490468622,490464098,168787/10575/409/1,1671792/34751/152/12
17:55:06,07d3,1,1231.376709,14.072339,0,0,-56,11,15,330,300,1001,1,0,0,0,4972,0.13688,10,34633290,12539,0,0.1575,23,491098425,491094191,168950/10598/410/1,1672282/34829/152/12
17:55:07,07d3,1,1200.790771,18.998917,0,0,-51,7,15,350,305,1007,1,0,0,0,4972,0.05228,10,34668335,12539,0,0.0604,22,491764931,491761031,169302/10598/410/1,1672878/34831/152/12
17:55:08,07d3,1,1210.987061,22.70072,0,0,-51,4,15,340,310,1009,1,0,0,0,4988,0.06642,16,34709818,12566,0,0.07224,25,492457800,492452956,169577/10614/410/1,1673414/34869/152/12
17:55:09,07d3,1,1240.507446,27.20916,0,0,0,0,15,350,300,1004,1,0,0,0,4993,0.04361,20,34758901,12572,0,0.07185,25,493214231,493209387,169831/10619/410/1,1673955/34901/152/12
17:55:10,07d3,1,1258.546387,30.956186,0,0,-51,13,15,330,290,998,1,0,0,0,5013,0.15751,23,34815256,12626,0,0.11845,25,493920167,493915205,170030/10645/414/1,1674465/34961/152/12
17:55:11,07d3,1,1278.375977,31.338438,0,0,-52,9,15,330,290,998,1,0,0,0,5033,0.11683,18,34865287,12661,0,0.09309,25,494665446,494658617,170249/10664/416/1,1675001/35002/153/13
17:55:12,07d3,1,1299.887939,30.430162,0,0,-52,6,15,360,290,998,1,0,0,0,5043,0.07211,18,34913258,12677,0,0.05633,25,495456541,495451697,170507/10673/417/1,1675573/35020/153/13
17:55:13,07d3,1,1282.662842,25.746239,0,0,-52,2,15,340,290,998,1,0,0,0,5062,0.11764,18,34948855,12744,0,0.18435,22,496075229,496069728,170679/10691/418/1,1676031/35112/153/13
17:55:14,07d3,1,1221.785278,24.995653,0,0,-52,15,15,350,300,998,1,0,0,0,5062,0.04102,20,34987438,12746,0,0.06671,21,496698005,496692840,170905/10691/418/1,1676625/35114/155/13
17:55:15,07d3,1,1220.858765,29.512009,0,0,-52,11,15,350,295,998,1,0,0,0,5081,0.13786,24,35041808,12786,0,0.14069,26,497327923,497322642,171098/10729/424/1,1677120/35179/155/13
17:55:16,07d3,1,1231.410156,33.132259,0,0,-52,8,15,340,285,994,1,0,0,0,5092,0.10909,20,35100316,12818,0,0.09993,24,498045108,498038727,171329/10746/425/1,1677672/35213/155/13
17:55:17,07d3,1,1240.011108,34.43293,0,0,-51,4,15,330,285,992,1,0,0,0,5100,0.06592,20,35156292,12844,0,0.07346,24,498765198,498758817,171564/10754/425/1,1678230/35242/155/13
17:55:18,07d3,1,1237.217163,31.089067,0,0,-52,1,15,340,290,994,1,0,0,0,5116,0.0897,20,35203036,12890,0,0.089,24,499439981,499434934,171757/10770/426/1,1678753/35294/155/13
