tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds
1:22:45,b8d2,1,99.303925,328.633118,0,0,-64,5,15,190,160,907,1,0,0,0,129,0.13172,11,1061855,118,0,0.3664,25,2235550,2233866,1247/121/8/0,25520/142/0/0
1:22:46,b8d2,1,166.869659,1123.837402,0,0,-52,2,15,310,260,1023,1,0,0,0,147,0.05346,11,3831353,128,0,0.2558,15,2383314,2383045,2381/139/8/0,25942/201/0/0
1:22:47,b8d2,1,160.356384,1873.679077,0,0,-52,14,15,320,270,1023,1,0,0,0,147,0.17412,14,7764129,128,0,0.08919,10,2467958,2467750,3450/262/28/0,26420/201/0/0
1:22:48,b8d2,1,154.629257,2174.200439,0,0,-52,11,15,320,270,1023,1,0,0,0,147,0.06183,13,11642748,128,0,0.0311,15,2551046,2550789,4661/264/28/0,26918/201/0/0
1:22:49,b8d2,1,158.345215,2220.335938,0,0,-52,7,15,320,270,1016,1,0,0,0,207,0.2514,14,15351335,158,0,0.08522,24,2639897,2639757,5656/458/51/0,27354/231/0/0
1:22:50,b8d2,1,153.214722,1788.069336,0,0,-53,4,15,310,245,1013,1,0,0,0,281,0.13206,6,17764131,193,0,0.08215,24,2713492,2713352,6782/539/57/0,27765/266/0/0
1:22:51,b8d2,1,133.028885,1400.473145,0,0,-53,16,15,310,245,1013,1,0,0,0,295,0.05251,6,19499351,200,0,0.03948,28,2755557,2755417,7980/553/57/0,28178/274/0/0
1:22:52,b8d2,1,129.493347,1281.881348,0,0,-53,13,15,310,265,1013,1,0,0,0,369,0.06067,7,21382759,237,0,0.0808,28,2812724,2812064,9119/624/60/0,28578/315/0/0
1:22:53,b8d2,1,138.94577,1262.503418,0,0,-53,9,15,320,255,1019,1,0,0,0,461,0.08105,9,23370807,281,0,0.10289,28,2884141,2882359,10239/708/67/1,28987/363/1/0
1:22:54,b8d2,1,177.203766,1189.480469,0,0,-53,6,15,320,270,1023,1,0,0,0,615,0.11334,6,25195661,352,0,0.16198,19,3023279,3022857,11298/856/73/1,29403/437/1/0
1:22:55,b8d2,1,166.963928,1200.203369,0,0,-54,2,15,320,260,1016,1,0,0,0,615,0.03952,9,27084788,352,0,0.05648,19,3107941,3107768,12510/856/73/1,29880/437/1/0
1:22:56,b8d2,1,253.411163,1690.662842,0,0,-54,15,15,310,260,1013,1,0,0,0,769,0.15786,14,30390795,429,0,0.18323,23,3340264,3329906,13560/1014/78/1,30298/513/2/0
1:22:57,b8d2,1,230.666718,2080.449951,0,0,-54,11,15,300,240,1007,1,0,0,0,773,0.06324,13,34231195,431,0,0.07714,20,3433125,3432816,14760/1027/78/1,30782/515/2/0
1:22:58,b8d2,1,217.546417,2189.346924,0,0,-55,8,10,-130,235,1014,1,0,0,0,859,0.22602,14,37960197,471,0,0.08483,24,3524941,3523389,15760/1213/103/2,31225/553/2/0
1:22:59,b8d2,1,196.655228,1815.588623,0,0,-56,4,15,310,260,1014,1,0,0,0,933,0.11985,7,40459240,504,0,0.09244,21,3597847,3597707,16899/1284/106/2,31654/588/2/0
1:23:00,b8d2,1,169.863937,1493.561523,0,0,-56,1,12,-40,265,1014,1,0,0,0,973,0.06175,7,42452728,521,0,0.05326,25,3647560,3646694,18072/1320/110/2,32077/604/2/0
1:23:01,b8d2,1,157.895935,1323.618652,0,0,-56,13,15,320,265,1020,1,0,0,0,1057,0.07404,7,44358347,562,0,0.09819,25,3705483,3705343,19200/1401/113/2,32472/645/3/0
1:23:02,b8d2,1,148.702286,1255.662476,0,0,-55,10,15,320,265,1023,1,0,0,0,1139,0.07314,7,46273460,602,0,0.09768,25,3764938,3764798,20331/1479/117/2,32875/685/3/0
1:23:03,b8d2,1,140.635422,1223.781494,0,0,-54,6,15,320,270,1016,1,0,0,0,1213,0.06651,7,48201763,638,0,0.09176,25,3821417,3820880,21470/1551/119/2,33279/721/3/0
1:23:04,b8d2,1,134.575394,1218.596313,0,0,-55,3,15,310,240,1007,1,0,0,0,1283,0.06317,7,50136677,673,0,0.09131,25,3879789,3879252,22613/1619/121/2,33687/756/3/0
