tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds
11:21:17,db1d,1,42.697632,0.780714,0,0,-64,12,15,240,180,944,1,0,0,0,4,0,9,672748,6,0,0,28,13954628,13954372,5469/4/0/0,163529/6/0/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:18,db1d,1,758.813477,6.485883,0,0,-65,8,15,210,185,944,1,0,0,0,11,0.05747,11,688455,73,0,0.34468,25,14693636,14665588,5560/12/4/1,163795/125/18/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:19,db1d,1,1455.888062,16.079449,0,0,-63,5,15,350,295,1054,1,0,0,0,15,0.03336,16,724648,150,4,0.51621,14,15717779,15678641,5735/16/4/1,164047/267/75/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:20,db1d,1,1534.179565,34.511059,0,0,-53,1,15,340,295,1054,1,0,0,0,19,0.07308,25,802318,182,4,0.21552,6,16662410,16631997,6006/35/5/1,164565/299/87/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:21,db1d,1,1437.105713,41.469711,0,0,-53,14,15,380,295,1054,1,0,0,0,22,0.10136,23,878427,191,4,0.08685,6,17344400,17313987,6245/71/8/1,165147/308/87/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:22,db1d,1,1402.466064,46.20393,0,0,-53,10,15,310,290,1054,1,0,0,0,22,0.06443,23,956526,196,4,0.03542,10,18109939,18076735,6510/84/8/1,165738/313/87/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:23,db1d,1,1588.342896,62.319035,0,0,-54,7,15,320,285,1045,1,0,0,0,27,0.06191,23,1075979,248,4,0.08053,12,19226644,19191298,6821/103/11/1,166239/365/87/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:24,db1d,1,1746.007568,72.392036,0,0,-54,3,15,340,285,1045,1,0,0,0,30,0.0621,23,1204795,290,4,0.08576,12,20417368,20382694,7153/123/14/1,166756/407/87/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:25,db1d,1,1859.490845,74.8134,0,0,-54,16,15,330,280,1045,1,0,0,0,35,0.05887,24,1326920,344,4,0.10017,12,21563164,21527818,7467/142/16/1,167249/461/87/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:26,db1d,1,1939.813721,75.547737,0,0,-54,12,15,330,290,1046,1,0,0,0,47,0.10617,23,1449682,402,4,0.11253,12,22688476,22653802,7777/193/27/1,167732/519/87/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:27,db1d,1,2005.165161,77.034683,0,0,-53,9,15,350,295,1054,1,0,0,0,52,0.09871,23,1575006,448,4,0.09857,12,23863552,23828206,8100/220/31/1,168240/565/87/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:28,db1d,1,2046.453369,73.878693,0,0,-54,5,15,350,295,1052,1,0,0,0,58,0.07154,23,1689948,513,4,0.13591,12,24966754,24931408,8400/238/35/1,168712/628/89/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:29,db1d,1,2085.114014,75.814812,0,0,-55,2,15,340,285,1045,1,0,0,0,63,0.0671,23,1814641,559,4,0.10707,12,26146246,26108500,8722/257/38/1,169223/674/89/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:30,db1d,1,2107.586182,72.835548,0,0,-55,14,15,330,285,1043,1,0,0,0,68,0.06119,23,1928325,621,4,0.12393,12,27260008,27222262,9015/275/42/1,169700/736/89/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:31,db1d,1,2125.569336,71.43692,0,0,-55,11,15,320,275,1037,1,0,0,2,80,0.12583,22,2041955,682,4,0.12349,12,28380940,28343866,9314/328/50/3,170181/796/90/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:32,db1d,1,2138.339111,67.902695,0,0,-69,7,15,330,290,1046,1,0,0,2,82,0.05164,22,2145259,742,4,0.12498,12,29504272,29466526,9610/331/50/3,170662/856/90/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:33,db1d,1,2150.105957,73.774277,0,0,-57,4,15,350,285,1044,1,0,0,2,90,0.09426,23,2270093,790,4,0.10633,12,30669106,30631360,9935/370/57/3,171165/904/90/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:34,db1d,1,2159.874268,74.375618,0,0,0,0,15,340,285,1045,1,0,0,2,103,0.12736,23,2390275,841,4,0.10377,12,31826806,31789060,10246/413/69/3,171665/955/90/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:35,db1d,1,2166.642822,73.495842,0,0,-56,13,15,360,295,1054,1,0,0,2,111,0.09933,23,2507596,892,4,0.10478,12,32983162,32945416,10549/440/74/3,172163/1006/90/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:36,db1d,1,2170.996094,74.719879,0,0,-55,9,15,320,295,1053,1,0,0,2,115,0.06378,23,2628755,946,4,0.10871,12,34128286,34091212,10863/453/76/3,172655/1060/90/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:37,db1d,1,2174.852295,75.463531,0,0,-56,6,15,340,285,1043,1,0,0,2,118,0.06761,23,2750400,995,4,0.10211,12,35292130,35257456,11177/473/78/3,173157/1109/90/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:38,db1d,1,2177.503174,77.875961,0,0,-55,2,15,340,275,1035,1,0,0,2,122,0.06601,23,2879749,1043,4,0.10066,12,36457636,36422962,11511/497/82/3,173661/1156/91/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:39,db1d,1,2181.445557,78.061989,0,0,-55,15,15,330,275,1035,1,0,0,2,127,0.14172,24,3003233,1091,4,0.09563,12,37625896,37591222,11825/550/87/3,174166/1204/91/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:40,db1d,1,2184.955811,73.858925,0,0,-55,11,15,360,280,1036,1,0,0,2,131,0.07306,22,3116747,1135,4,0.08827,12,38808460,38773786,12144/558/89/3,174678/1248/91/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:41,db1d,1,2185.427734,74.527153,0,0,-54,8,15,330,285,1045,1,0,0,2,140,0.14738,24,3235013,1185,4,0.09489,12,39967822,39933148,12458/605/97/3,175180/1298/91/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:42,db1d,1,2186.540283,72.398399,0,0,-54,4,15,360,290,1046,1,0,0,3,143,0.06899,22,3348903,1235,4,0.09811,12,41131666,41097664,12778/617/100/4,175682/1347/91/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:21:43,db1d,1,2187.726318,73.718079,0,0,-54,1,15,320,285,1043,1,0,0,3,152,0.12235,24,3467871,1280,4,0.09403,12,42306742,42272068,13092/657/109/4,176190/1393/91/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
