tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds
21:47:24,e41c,1,82.203194,2.172025,0,0,-61,14,15,280,215,920,1,0,0,0,3727,0,10,22741232,10014,1,0.01351,28,318038580,318029667,107551/7286/285/0,868248/19265/87/4
21:47:25,e41c,1,339.279266,13.390597,0,0,-62,10,15,270,205,907,1,0,0,0,3731,0.01863,19,22773948,10036,1,0.33203,19,318488335,318484680,107752/7291/285/0,868620/19399/87/4
21:47:26,e41c,1,407.293854,22.996767,0,0,-50,7,15,380,265,1032,1,0,0,0,3733,0.12338,26,22824612,10040,1,0.12139,12,318851233,318848522,107945/7317/287/0,869210/19403/89/4
21:47:27,e41c,1,434.223206,29.501019,0,0,-50,3,15,380,320,1032,1,0,0,0,3733,0.11451,21,22881281,10040,1,0.04233,14,319156579,319153524,108165/7342/287/0,869810/19403/89/4
21:47:28,e41c,1,563.703613,30.264986,0,0,-53,16,15,380,325,1032,1,0,0,0,3741,0.07112,21,22928912,10054,1,0.02707,24,319688891,319684196,108366/7352/287/0,870382/19419/91/4
21:47:29,e41c,1,743.122986,39.608948,0,0,-52,12,15,380,315,1025,1,0,0,0,3758,0.07977,21,23000872,10125,1,0.13426,23,320333643,320329157,108646/7371/288/0,870872/19498/91/4
21:47:30,e41c,1,859.422974,39.681145,0,0,-51,9,15,360,310,1022,1,0,0,0,3766,0.04727,22,23068314,10140,1,0.06215,23,321030466,321025980,108936/7383/288/0,871450/19513/91/4
21:47:31,e41c,1,951.494873,37.365292,0,0,-51,5,15,350,315,1022,1,0,0,0,3784,0.13269,22,23124334,10183,1,0.08566,24,321697923,321693228,109134/7410/288/0,871978/19558/91/4
21:47:32,e41c,1,1028.305542,37.715561,0,0,-51,2,15,380,315,1022,1,0,0,0,3803,0.12944,22,23185200,10224,1,0.0906,24,322391849,322387154,109341/7432/289/0,872516/19601/91/4
21:47:33,e41c,1,1083.427734,38.58107,0,0,-50,14,15,400,320,1030,1,0,0,0,3818,0.1013,22,23247054,10264,1,0.08751,24,323087512,323082817,109553/7449/290/0,873058/19642/91/4
21:47:34,e41c,1,1122.810547,36.391827,0,0,-58,11,15,370,320,1033,1,0,0,0,3838,0.11444,22,23302389,10314,1,0.11264,24,323757368,323752673,109742/7470/292/0,873575/19695/91/4
21:47:35,e41c,1,1153.90918,35.496109,0,0,-61,7,15,350,315,1024,1,0,0,0,3855,0.10538,22,23358228,10368,1,0.10277,24,324433771,324428671,109932/7489/293/0,874101/19749/91/4
21:47:36,e41c,1,1149.277344,32.945274,0,0,-52,4,15,350,315,1022,1,0,0,0,3870,0.0964,21,23406665,10420,1,0.10198,22,325051107,325046503,110118/7504/295/0,874624/19801/91/4
21:47:37,e41c,1,1141.532227,31.747879,0,0,-52,16,15,340,310,1014,1,0,0,0,3879,0.09414,22,23456934,10451,1,0.07468,23,325688230,325683356,110325/7514/296/0,875182/19832/91/4
