tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds
1687045326,2fee,1,44.972942,0.74414,0,0,-59,12,15,270,210,920,1,0,0,0,3,0,9,219082,2,0,0.04972,28,5005448,5005216,1973/3/0/0,58654/184/1/0
1687045327,2fee,1,49.897606,284.796173,0,0,-60,8,15,260,200,907,1,0,0,0,3,0.00319,18,984373,2,0,0.05764,28,5041024,5040792,3066/8/0/0,59040/207/1/0
1687045328,2fee,1,53.619576,505.593536,0,0,-48,5,15,370,310,1034,1,0,0,0,5,0.16497,22,2092196,2,0,0.0291,28,5077491,5077259,3948/182/0/0,59429/215/2/1
1687045329,2fee,1,55.410221,687.622925,0,0,-48,1,15,380,305,1034,1,0,0,0,5,0.09103,20,3429351,2,0,0.01015,28,5113829,5113597,5094/231/0/0,59822/215/2/1
1687045330,2fee,1,57.427692,759.146301,0,0,-48,14,15,380,310,1034,1,0,0,0,7,0.05601,20,4743610,2,0,0.00611,28,5150159,5149927,6240/266/0/0,60211/216/3/2
1687045331,2fee,1,59.434593,775.231873,0,0,-48,10,15,380,315,1027,1,0,0,0,8,0.1254,23,6022807,2,0,0.00629,28,5187286,5187054,7224/404/1/0,60600/218/4/3
1687045332,2fee,1,59.229946,562.674316,0,0,-49,7,15,380,315,1024,1,0,0,0,9,0.13239,21,6640618,2,0,0.00219,28,5222398,5222166,7761/478/1/0,60982/218/4/3
1687045333,2fee,1,59.579117,463.881744,0,0,-49,3,15,380,320,1024,1,0,0,0,9,0.10536,21,7253015,2,0,0.00076,28,5258786,5258554,8343/535/1/0,61375/218/4/3
1687045334,2fee,1,59.817665,413.108887,0,0,-49,16,15,350,310,1024,1,0,0,0,9,0.10261,21,7844708,2,0,0.00027,28,5295058,5294826,8909/591/1/0,61767/218/4/3
1687045335,2fee,1,59.867504,390.896088,0,0,-49,12,15,380,325,1031,1,0,0,0,9,0.10062,21,8442022,2,0,0.00009,28,5331098,5330866,9474/644/2/0,62157/218/4/3
1687045336,2fee,1,59.881977,392.818695,0,0,-48,9,15,390,325,1034,1,0,0,0,9,0.09565,21,9068513,2,0,0.00003,28,5367022,5366790,10061/701/2/0,62546/218/4/3
1687045337,2fee,1,60.283901,400.078033,0,0,-50,5,15,380,320,1027,1,0,0,0,9,0.08228,21,9706609,2,0,0.00001,28,5403874,5403642,10668/748/2/0,62943/218/4/3
1687045338,2fee,1,60.579838,397.945984,0,0,-50,2,15,370,310,1024,1,0,0,0,9,0.07195,21,10337552,2,0,0,28,5440726,5440494,11264/786/2/0,63340/218/4/3
1687045339,2fee,1,60.634357,406.373932,0,0,-50,14,15,360,305,1016,1,0,0,0,9,0.05791,21,11002476,2,0,0,28,5477230,5476998,11881/818/2/0,63734/218/4/3
1687045340,2fee,1,60.386223,412.453735,0,0,-51,11,15,360,305,1021,1,0,0,0,9,0.06969,23,11674082,2,0,0,28,5513154,5512922,12484/855/2/0,64123/218/4/3
1687045341,2fee,1,59.645557,392.874329,0,0,-52,7,15,370,320,1024,1,0,0,0,9,0.13166,23,12272072,2,0,0,28,5547686,5547454,13005/944/2/0,64500/218/4/3
1687045342,2fee,1,59.209728,395.648193,0,0,-52,4,15,360,310,1024,1,0,0,0,9,0.14401,22,12902834,2,0,0,28,5582450,5582218,13547/1023/2/0,64879/218/4/3
1687045343,2fee,1,59.117245,395.900452,0,0,-52,16,15,380,315,1031,1,0,0,0,10,0.10529,22,13532493,5,0,0.00579,28,5617538,5617306,14090/1069/3/1,65260/221/4/3
1687045344,2fee,1,58.966408,407.924744,0,0,-51,13,15,370,320,1034,1,0,0,0,10,0.0998,22,14195360,5,0,0.00202,28,5652650,5652418,14647/1118/3/1,65642/221/4/3
1687045345,2fee,1,58.907196,418.095703,0,0,-50,9,15,370,310,1027,1,0,0,0,10,0.07497,22,14880192,5,0,0.0007,28,5687878,5687646,15227/1155/3/1,66025/221/4/3
1687045346,2fee,1,58.997463,414.026306,0,0,-51,6,15,370,300,1016,1,0,0,0,10,0.07419,22,15548566,5,0,0.00025,28,5723454,5723222,15795/1194/3/1,66411/221/4/3
1687045347,2fee,1,59.032383,416.427338,0,0,-50,2,15,370,290,1014,1,0,0,0,10,0.08542,22,16224662,5,0,0.00009,28,5758914,5758682,16365/1245/3/1,66796/221/4/3
1687045348,2fee,1,58.946941,428.366364,0,0,-50,15,15,370,295,1014,1,0,0,0,10,0.08852,22,16916948,5,0,0.00003,28,5794142,5793910,16947/1297/3/1,67179/221/4/3
1687045349,2fee,1,58.935524,417.355255,0,0,-50,11,15,370,295,1021,1,0,0,0,10,0.09123,22,17577793,5,0,0.00001,28,5829486,5829254,17500/1347/3/1,67563/221/4/3
1687045350,2fee,1,58.990768,415.463593,0,0,-49,8,15,360,310,1024,1,0,0,0,10,0.10012,22,18241726,5,0,0,28,5864946,5864714,18052/1400/4/1,67948/221/4/3
1687045351,2fee,1,58.831223,398.5466,0,0,-49,4,15,360,315,1024,1,0,0,0,10,0.10884,22,18855441,5,0,0,28,5899942,5899710,18578/1461/4/1,68329/221/4/3
1687045352,2fee,1,58.697243,408.874176,0,0,-50,1,15,370,295,1016,1,0,0,0,10,0.10503,22,19519528,5,0,0,28,5934846,5934590,19145/1519/4/1,68710/221/4/3
1687045353,2fee,1,58.705467,414.886383,0,0,-50,13,15,350,300,1014,1,0,0,0,10,0.10231,22,20188774,5,0,0,28,5970074,5969818,19714/1576/4/1,69093/221/4/3
1687045354,2fee,1,58.878635,422.77597,0,0,-50,10,15,380,305,1014,1,0,0,0,10,0.07999,22,20874829,5,0,0,28,6005650,6005394,20286/1616/4/1,69479/221/4/3
1687045355,2fee,1,58.885941,420.464722,0,0,-50,6,15,360,300,1014,1,0,0,0,10,0.08417,22,21544670,5,0,0,28,6040994,6040738,20851/1667/4/1,69863/221/4/3
1687045356,2fee,1,59.086304,422.699188,0,0,-50,3,15,350,305,1014,1,0,0,0,10,0.08434,22,22225173,5,0,0,28,6076802,6076546,21432/1714/4/1,70251/221/4/3
1687045357,2fee,1,58.685852,397.344025,0,0,-50,15,15,370,280,1014,1,0,0,0,10,0.10099,22,22827241,5,0,0,28,6111334,6111078,21951/1773/4/1,70628/221/4/3
1687045358,2fee,1,58.795158,415.476227,0,0,-50,12,15,350,310,1014,1,0,0,0,10,0.08007,22,23523208,5,0,0,28,6146794,6146538,22532/1812/4/1,71013/221/4/3
1687045359,2fee,1,58.935902,414.383728,0,0,-50,8,15,350,310,1006,1,0,0,0,10,0.09015,22,24189155,5,0,0,28,6182370,6182114,23100/1866/4/1,71399/221/4/3
1687045360,2fee,1,58.884209,415.855896,0,0,-50,5,15,340,295,1011,1,0,0,0,10,0.10122,22,24860624,5,0,0,28,6217598,6217342,23665/1924/4/1,71782/221/4/3
1687045361,2fee,1,58.625919,417.911835,0,0,-51,1,15,350,295,1006,1,0,0,0,10,0.08629,22,25537799,5,0,0,28,6252362,6252106,24245/1970/4/1,72161/221/4/3
1687045362,2fee,1,58.78241,430.3526,0,0,-51,14,15,340,290,1004,1,0,0,0,10,0.07909,22,26238999,5,0,0,28,6287938,6287682,24836/2013/4/1,72547/221/4/3
1687045363,2fee,1,58.828274,414.034027,0,0,-51,10,15,350,280,996,1,0,0,0,10,0.07923,22,26872952,5,0,0,28,6323282,6323026,25381/2056/4/1,72931/221/4/3
