tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds
1687200000,06da,1,37.708927,0.807653,0,0,-63,11,15,170,125,829,1,0,0,0,111,0,7,5277960,3959,908,0.16508,6,96811555,96731950,46546/104/5/2,909380/111244/16425/4847
1687200001,06da,1,84.186142,2.441108,0,0,-62,7,15,290,245,944,1,0,0,0,113,0.02141,7,5283801,3959,908,0.40268,6,96893842,96813209,46615/106/5/2,909694/111387/16438/4848
1687200002,06da,1,129.5298,3.881399,0,0,-52,4,15,300,245,944,1,0,0,0,113,0.00747,9,5292065,3959,908,0.14041,6,97049292,96968659,46691/106/5/2,910294/111387/16438/4848
1687200003,06da,1,164.168106,4.422076,0,0,-52,16,15,290,250,944,1,0,0,0,113,0.0026,9,5299765,3960,908,0.04896,7,97206495,97126092,46761/106/5/2,910892/111388/16438/4848
1687200004,06da,1,200.354431,4.753202,0,0,-58,13,15,300,245,944,1,0,0,0,113,0.00091,9,5307646,3990,908,0.08166,7,97358417,97278014,46832/106/5/2,911377/111421/16471/4848
1687200005,06da,1,227.314102,4.761059,0,0,-60,9,15,290,235,929,1,0,0,0,113,0.00032,9,5315492,4022,908,0.13281,7,97509805,97429402,46903/106/5/2,911861/111454/16504/4848
1687200006,06da,1,247.243607,4.915316,0,0,-53,6,15,290,240,929,1,0,0,0,113,0.00011,9,5323671,4031,908,0.04631,8,97684638,97604241,46977/106/5/2,912434/111463/16511/4848
1687200007,06da,1,261.938385,4.888207,0,0,-53,2,15,300,240,929,1,0,0,0,113,0.00004,9,5331301,4060,908,0.08754,7,97836656,97756253,47047/106/5/2,912914/111495/16545/4848
1687200008,06da,1,272.634583,4.836966,0,0,-58,15,15,280,235,929,1,0,0,0,113,0.00001,9,5339001,4090,908,0.14063,7,97989273,97908870,47117/106/5/2,913399/111526/16576/4848
1687200009,06da,1,280.919556,5.127679,0,0,-60,11,15,290,250,944,1,0,0,0,113,0,9,5347659,4098,908,0.04904,8,98165278,98084881,47195/106/5/2,913976/111534/16582/4848
1687200010,06da,1,280.142059,4.739115,0,0,-52,8,15,290,250,944,1,0,0,0,113,0,9,5354617,4131,908,0.09579,6,98300358,98220097,47258/106/5/2,914456/111567/16617/4848
1687200011,06da,1,279.574402,4.549677,0,0,-54,4,15,270,240,929,1,0,0,0,113,0,9,5361873,4161,908,0.12324,8,98438469,98357592,47324/106/5/2,914953/111598/16645/4848
1687200012,06da,1,285.767212,5.059206,0,0,-54,1,15,280,240,929,1,0,0,0,113,0,9,5370642,4164,908,0.05847,7,98617120,98536717,47403/106/5/2,915539/111601/16649/4848
1687200013,06da,1,290.272369,4.952497,0,0,-54,13,15,270,230,920,1,0,0,0,113,0,9,5378377,4194,908,0.09136,7,98769169,98688766,47473/106/5/2,916024/111633/16681/4848
1687200014,06da,1,293.960907,4.680033,0,0,-55,10,15,280,235,929,1,0,0,0,113,0,9,5385639,4232,908,0.17052,7,98914360,98833957,47540/106/5/2,916479/111673/16721/4848
1687200015,06da,1,285.184631,4.784823,0,0,-56,6,15,280,245,929,1,0,0,0,113,0,9,5393450,4232,908,0.05946,6,99070454,98990193,47611/106/5/2,917079/111673/16721/4848
1687200016,06da,1,286.751709,4.552146,0,0,-56,3,15,280,240,937,1,0,0,0,113,0,9,5400373,4278,908,0.15298,6,99199729,99119468,47674/106/5/2,917501/111722/16770/4848
1687200017,06da,1,279.58075,4.666991,0,0,-55,15,15,290,250,944,1,0,0,0,113,0,9,5408032,4278,908,0.05334,6,99355179,99274918,47743/106/5/2,918101/111722/16770/4848
1687200018,06da,1,280.357971,4.628003,0,0,-54,12,15,290,245,944,1,0,0,0,113,0,9,5415358,4321,908,0.11906,6,99485753,99405492,47809/106/5/2,918544/111766/16811/4849
1687200019,06da,1,277.03833,4.682689,0,0,-56,8,15,290,230,929,1,0,0,0,113,0,9,5423017,4331,908,0.04369,8,99637638,99556761,47878/106/5/2,919113/111776/16819/4849
1687200020,06da,1,276.384979,4.530201,0,0,-54,5,15,250,225,920,1,0,0,0,113,0,9,5429940,4360,908,0.10044,6,99770982,99690721,47941/106/5/2,919585/111811/16856/4849
1687200021,06da,1,276.839996,4.53897,0,0,-84,1,15,270,225,920,1,0,0,0,114,0.01667,9,5437377,4386,908,0.10618,8,99912459,99831582,48008/107/5/2,920090/111837/16882/4849
1687200022,06da,1,283.933685,5.00445,0,0,-56,14,15,270,230,920,1,0,0,0,114,0.00581,9,5445854,4397,908,0.06986,7,100082949,100002546,48085/107/5/2,920646/111850/16895/4849
