tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds
1687025347,4a06,1,48.537624,53.239635,0,0,-60,5,15,270,210,920,1,0,0,7,661,0,11,291108516,241,4,0.08703,28,61216483,61215458,245074/20402/34/11,711385/15301/98/34
1687025348,4a06,1,58.865181,382.4729,0,0,-61,1,15,250,195,907,1,0,0,7,687,0.0384,21,292113462,249,4,0.12202,28,61257116,61256091,246211/20477/34/11,711763/15351/103/35
1687025349,4a06,1,61.702164,641.843201,0,0,-52,14,15,390,315,1034,1,0,0,8,689,0.09583,21,293459173,249,4,0.05963,28,61295676,61294559,247282/20616/36/12,712152/15363/104/36
1687025350,4a06,1,61.568535,778.158508,0,0,-48,10,15,390,320,1034,1,0,0,8,689,0.08706,21,294882698,249,4,0.02079,28,61332408,61331291,248407/20703/36/12,712545/15363/104/36
1687025351,4a06,1,61.341045,829.334229,0,0,-48,7,15,370,330,1032,1,0,0,8,689,0.09328,21,296277403,249,4,0.00981,28,61368551,61367550,249512/20811/36/12,712935/15364/104/36
1687025352,4a06,1,61.863937,846.174927,0,0,-49,3,15,360,310,1027,1,0,0,8,691,0.10265,21,297662021,249,4,0.00342,28,61405465,61404348,250610/20925/36/12,713330/15365/105/36
1687025353,4a06,1,61.458958,848.655151,0,0,-49,16,15,370,310,1024,1,0,0,8,691,0.11285,21,299020701,249,4,0.00224,28,61441617,61440500,251690/21059/36/12,713718/15365/105/36
1687025354,4a06,1,61.445869,856.115356,0,0,-49,12,15,380,305,1024,1,0,0,8,691,0.1064,21,300403878,249,4,0.0018,28,61478053,61476936,252787/21174/36/12,714108/15366/105/36
1687025355,4a06,1,61.00008,859.736816,0,0,-49,9,15,360,320,1024,1,0,0,8,691,0.10893,21,301785614,249,4,0.00063,28,61513877,61512876,253883/21291/36/12,714497/15366/105/36
1687025356,4a06,1,61.011356,849.828064,0,0,-49,5,15,380,315,1030,1,0,0,8,691,0.11766,21,303134207,249,4,0.00181,28,61550009,61548892,254956/21430/36/12,714885/15367/105/36
1687025357,4a06,1,61.41029,842.910339,0,0,-49,2,15,380,320,1034,1,0,0,8,693,0.13446,21,304472713,249,4,0.003,28,61586509,61585508,256022/21577/36/12,715276/15368/106/36
1687025358,4a06,1,61.788708,855.120605,0,0,-49,14,15,380,310,1027,1,0,0,8,697,0.11836,21,305847244,250,4,0.00417,28,61622859,61621752,257113/21699/36/12,715663/15370/107/36
1687025359,4a06,1,61.388309,880.204102,0,0,-50,11,15,380,320,1023,1,0,0,8,697,0.08379,21,307288061,250,4,0.00145,28,61659017,61657900,258250/21774/36/12,716048/15370/107/36
1687025360,4a06,1,61.255589,886.300598,0,0,-51,7,15,370,305,1016,1,0,0,8,697,0.07856,21,308711586,250,4,0.00051,28,61695590,61694589,259375/21862/36/12,716441/15370/107/36
1687025361,4a06,1,61.203655,896.339539,0,0,-52,4,15,360,280,1020,1,0,0,8,697,0.0707,21,310159608,250,4,0.00018,28,61732202,61731201,260517/21933/36/12,716836/15370/107/36
1687025362,4a06,1,61.821808,903.405396,0,0,-52,16,15,360,295,1024,1,0,0,8,699,0.05862,21,311620599,250,4,0.00237,28,61769308,61768307,261668/21995/36/12,717233/15371/108/36
1687025363,4a06,1,61.688168,905.117798,0,0,-52,13,15,360,300,1023,1,0,0,8,699,0.05939,21,313072944,250,4,0.00313,28,61805576,61804575,262813/22063/36/12,717622/15372/108/36
1687025364,4a06,1,62.475544,917.694336,0,0,-52,9,15,360,315,1030,1,0,0,8,701,0.05687,22,314556759,250,4,0.00109,28,61842718,61841717,263961/22127/36/12,718018/15373/109/37
1687025365,4a06,1,63.196987,922.633362,0,0,-51,6,15,360,300,1034,1,0,0,8,703,0.08431,22,316046881,250,4,0.00279,28,61880356,61879355,265067/22234/36/12,718410/15375/110/37
1687025366,4a06,1,63.848022,916.603821,0,0,-51,2,15,370,320,1027,1,0,0,8,707,0.10284,22,317507800,251,4,0.00339,28,61917985,61916715,266155/22359/36/12,718806/15378/111/37
1687025367,4a06,1,64.318619,934.193542,0,0,-51,15,15,360,290,1016,1,0,0,8,711,0.09,22,319021465,253,4,0.00704,28,61956251,61955250,267276/22451/36/12,719204/15381/111/37
1687025368,4a06,1,63.364372,924.872314,0,0,-50,11,15,350,300,1013,1,0,0,8,711,0.1024,22,320488532,253,4,0.00245,28,61992661,61991660,268367/22572/36/12,719597/15381/111/37
1687025369,4a06,1,62.924236,925.601685,0,0,-50,8,15,360,285,1013,1,0,0,8,711,0.10172,22,321970969,253,4,0.00086,28,62029661,62028660,269468/22684/36/12,719993/15381/111/37
1687025370,4a06,1,63.390846,915.518188,0,0,-50,4,15,350,295,1020,1,0,0,8,715,0.11098,22,323430351,255,4,0.0053,28,62067183,62066182,270554/22810/36/12,720389/15384/111/37
