tmbuf,RNTI,UE num,ul_thr_ue,dl_thr_ue,ph,pcmax,avg_rsrp,num_rsrp_meas,cqi,pucch_snrx10,pusch_snrx10,raw_rssi,ri+1,pmi_x1,pmi_x2,dl.errors,pucch0_DTX,dl_bler_stats.bler,dl_bler_stats.mcs,dl.total_bytes,ulsch_DTX,ul.errors,ul_bler_stats.bler,ul_bler_stats.mcs,ulsch_total_bytes_scheduled,ul.total_bytes,dl.rounds,ul.rounds
20:10:40,c69f,1,45.242924,0.67488,0,0,-60,12,15,270,230,920,1,0,0,0,48,0,9,3934282,2374,0,0.06247,28,48847990,48847966,20296/298/7/0,383510/7187/2103/4
20:10:41,c69f,1,208.128174,5.672287,0,0,-61,8,15,250,210,907,1,0,0,0,48,0,14,3947682,2374,0,0.39329,24,49044791,49040149,20392/298/7/0,383772/7295/2104/4
20:10:42,c69f,1,365.132019,17.345953,0,0,-49,5,15,400,325,1026,1,0,0,0,48,0.11275,20,3988614,2374,0,0.34984,14,49411898,49409905,20587/330/7/0,384183/7389/2105/5
20:10:43,c69f,1,366.362,15.538662,0,0,-49,1,15,390,330,1025,1,0,0,0,48,0.09819,18,4013297,2387,0,0.15853,6,49626972,49626148,20717/349/7/0,384740/7402/2117/5
20:10:44,c69f,1,338.540192,12.362253,0,0,-49,14,15,380,320,1025,1,0,0,0,48,0.07068,18,4028894,2387,0,0.05528,6,49782422,49781598,20787/353/7/0,385340/7402/2117/5
20:10:45,c69f,1,328.993805,10.995454,0,0,-53,10,15,380,315,1022,1,0,0,0,50,0.07348,18,4044410,2421,0,0.09508,7,49932803,49931745,20858/358/9/0,385826/7436/2148/5
20:10:46,c69f,1,322.490631,10.20739,0,0,-72,7,15,330,310,1013,1,0,0,0,51,0.04257,18,4060304,2463,0,0.14768,8,50080992,50079072,20930/360/9/0,386300/7477/2180/5
20:10:47,c69f,1,307.470001,9.866473,0,0,-50,3,15,350,310,1014,1,0,0,0,51,0.02642,18,4075748,2467,0,0.07474,6,50234011,50233107,21000/361/9/0,386879/7482/2188/5
20:10:48,c69f,1,300.621643,9.535934,0,0,-52,16,15,360,315,1015,1,0,0,0,51,0.00921,18,4090670,2500,0,0.13762,6,50372017,50371113,21067/361/9/0,387364/7515/2219/5
20:10:49,c69f,1,290.583221,9.780601,0,0,-50,12,15,360,310,1019,1,0,0,0,51,0.00321,18,4106645,2500,0,0.04799,7,50528942,50527884,21138/361/9/0,387964/7515/2219/5
